total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5048576,0.54729813,0.4801214,0.43551615,0.44961047,0.42821512,0.481424,0.5013453,0.44340092,0.47077146,0.5195894,0.4130295,0.5160082,0.45573795,0.4341911,0.4570329,0.45588318,0.42575875,0.43171182,0.52087164,0.45571238,0.4523187,0.5072864,0.43127587,0.4388599,0.5219032,0.49803472,0.41777498,0.45823824,0.42414877,0.4117394,0.38074782,0.3896971,0.5054895,0.42783692,0.44491604,0.46003857,0.45354098,0.44622326,0.4269149,0.40868732,0.43691978,0.42623532,0.4554069,0.4300198,0.58376527,0.6335972
0.46831006,0.5539922,0.44968286,0.38776702,0.45392126,0.39455685,0.49696758,0.50702834,0.3940908,0.43537772,0.5166075,0.35434532,0.48509705,0.43143195,0.4143841,0.44409922,0.38896307,0.37880114,0.34812367,0.50268453,0.43411845,0.4313252,0.4924609,0.3644908,0.40516812,0.522136,0.48238194,0.3635045,0.43016025,0.36509106,0.35607252,0.33185533,0.2855621,0.50146323,0.3553683,0.40313846,0.43047932,0.42038482,0.44523272,0.40456954,0.36981896,0.38267657,0.3637533,0.42950323,0.3998204,0.6322884,0.73387295
0.44370508,0.56046855,0.42850363,0.3471008,0.4417131,0.38297006,0.49477294,0.52251637,0.37324056,0.41253278,0.50872844,0.30521497,0.45037225,0.42693785,0.4067063,0.44332713,0.35476187,0.3418475,0.3013004,0.48244998,0.40887693,0.42101452,0.47744069,0.3023077,0.3693145,0.524506,0.47022918,0.32897773,0.4057807,0.3214553,0.2918722,0.28437266,0.17917491,0.5014395,0.2926769,0.36281005,0.386455,0.38752684,0.41967776,0.36430934,0.32516634,0.34930798,0.28971648,0.41474485,0.38728803,0.6595066,0.81229484
0.41766185,0.5774336,0.4159047,0.30275166,0.42773685,0.3604461,0.5106579,0.5309306,0.34775865,0.39396164,0.5083063,0.23828655,0.43906954,0.4007954,0.40006498,0.4337321,0.32355496,0.30067053,0.25381538,0.46688753,0.38346905,0.39801708,0.4694178,0.24650225,0.33183402,0.52294964,0.46747887,0.29767224,0.38081977,0.27799764,0.22456236,0.24878225,0.08080931,0.5106692,0.23458077,0.3191423,0.35106698,0.3573913,0.39327085,0.3276611,0.26908845,0.30139622,0.20499769,0.41597253,0.38762102,0.68138236,0.88244295
0.3862426,0.58806443,0.38078696,0.25167602,0.42990515,0.324162,0.52539295,0.5661616,0.33449838,0.3789002,0.50986445,0.15785198,0.41118908,0.38932437,0.3747948,0.4465462,0.2877427,0.2672374,0.20117274,0.44495186,0.35165375,0.37612018,0.4599682,0.19590406,0.29016978,0.5329279,0.4650677,0.25807595,0.36380672,0.24570161,0.16329126,0.2260629,0.0,0.50900364,0.17505363,0.26210582,0.3064089,0.32602015,0.3635721,0.29297805,0.22404297,0.2315227,0.1334647,0.40943536,0.3901183,0.70407987,0.9608578
0.3643874,0.5987641,0.3524172,0.19744666,0.4175196,0.27844456,0.54016143,0.6008729,0.3085312,0.36059237,0.50850654,0.092492856,0.3930124,0.39715517,0.35452366,0.4389296,0.24901612,0.22953373,0.15597562,0.42209834,0.33907583,0.35401776,0.45970434,0.12336588,0.24988239,0.54081625,0.46434417,0.20423746,0.33652502,0.17953803,0.08635621,0.19066368,0.0,0.5177038,0.10077841,0.20852235,0.25618744,0.28638867,0.33199248,0.24802129,0.16621134,0.18381594,0.06512756,0.40770233,0.38359192,0.7401742,1.0
0.33223975,0.6118296,0.30506432,0.14239247,0.41498637,0.25552022,0.5670211,0.62159264,0.27635825,0.3493049,0.4903543,0.033416685,0.39052582,0.39219618,0.34544218,0.45127708,0.20738523,0.18971902,0.09771727,0.38378805,0.31621075,0.3227887,0.4602902,0.074037634,0.20697601,0.54735297,0.47188562,0.16602758,0.31729332,0.10177179,0.02283533,0.16911897,0.0,0.53137577,0.039428934,0.15250662,0.20654973,0.24203959,0.2917393,0.19590472,0.109994106,0.115780145,0.0,0.4093909,0.3794487,0.7870752,1.0
0.29608023,0.6266941,0.26152703,0.08320176,0.41518268,0.21904694,0.57263577,0.65438485,0.23861484,0.3345004,0.475361,0.0,0.3914371,0.40820035,0.33224452,0.44091406,0.15693696,0.1510394,0.049288396,0.34341323,0.28572226,0.28240582,0.4490231,0.023958294,0.16290301,0.5495746,0.4521832,0.11940916,0.28740045,0.032893654,0.0,0.12738447,0.0,0.53292453,0.0,0.09381268,0.13983029,0.19589797,0.24716908,0.15712449,0.056145817,0.04021908,0.0,0.40584958,0.37384528,0.81647563,1.0
0.26178178,0.6485439,0.22927925,0.02198479,0.39815542,0.19391277,0.595824,0.6687523,0.20903768,0.31408536,0.4644902,0.0,0.363728,0.41632524,0.3187002,0.45792013,0.11240859,0.11379748,0.020935953,0.3210912,0.26174852,0.24331935,0.4391111,0.0,0.11481321,0.5607782,0.42920884,0.07403704,0.2574856,0.0,0.0,0.0816614,0.0,0.5418931,0.0,0.029096438,0.0882478,0.14354321,0.21773344,0.10978837,0.0,0.0,0.0,0.39761728,0.35822228,0.8608827,1.0
