name,target,calibrated,residual_ratio,coef
日前电价三分量分解,total_lmp_da,False,2.2771349450298016e-08,
日前电价三分量分解,total_lmp_da,True,2.2764007956933457e-08,"[0.9999999999861533, 1.0000000016698578, 1.000000014780782, -1.1131947732347277e-08]"
实时电价三分量分解,total_lmp_rt,False,0.00011660475853775265,
实时电价三分量分解,total_lmp_rt,True,0.00011544945180485834,"[1.0000058530905622, 0.9994829557945641, 0.994615588005555, -0.0004387488643836902]"
净交换功率账目关系,net_actual_interchange_mw,False,1.7894115977906079e-16,
净交换功率账目关系,net_actual_interchange_mw,True,3.4655628042676647e-15,"[1.0000000000000018, 1.0000000000000016, 4.835016037570793e-14]"
总交换功率同式（对照）,gross_actual_interchange_mw,False,7.661550453935764,
总交换功率同式（对照）,gross_actual_interchange_mw,True,0.5498514081890172,"[0.18103870369546185, -0.6950203870418461, 3958.6232432737575]"
分燃料出力求和,total_gen,False,0.1315081493890678,
分燃料出力求和,total_gen,True,0.06839587760444057,"[0.978879182128895, 1.0141029208747228, 1.577572326243074, 1.0121353486970448, 0.9569149209649221, 0.8640441734075859, -2.756560592302045, 1.2938742230079063, 18.19415981663285, 1.0510009712079722, 145.77190371054178]"
功率平衡（教科书写法）,total_gen,False,0.5262608685292869,
功率平衡（教科书写法）,total_gen,True,0.010093710813435528,"[1.0000239206354855, 0.018810292238757246, -1.0039703506186102, -27.023432037185426]"
功率平衡（符号修正）,total_gen,False,0.026883102812755834,
功率平衡（符号修正）,total_gen,True,0.010093710813435528,"[1.0000239206354855, 0.018810292238757246, 1.0039703506186102, -27.023432037185426]"
