tol,n_relations,plateau
1e-13,11,True
1e-12,11,True
1e-11,11,True
1e-10,11,True
1e-09,11,True
1e-08,12,True
1e-07,12,True
1e-06,13,False
1e-05,14,False
0.0001,15,False
