field,residual_ratio,group
total_gen,0.003050392375717615,统计型
total_losses,0.26638490974139745,统计型
wind_generation_mw,0.028139566183911335,统计型
solar_generation_mw,0.05839218700427145,统计型
gen_fuel_coal_mw,0.06350165875126888,统计型
gen_fuel_gas_mw,0.0564329108325818,统计型
gen_fuel_hydro_mw,0.1226429268701528,统计型
gen_fuel_multiple_fuels_mw,0.20640142314014992,统计型
gen_fuel_nuclear_mw,0.1957099431505485,统计型
gen_fuel_oil_mw,0.22454337459586532,统计型
gen_fuel_other_renewables_mw,0.6230578665916257,统计型
gen_fuel_solar_mw,0.054861902465649884,统计型
gen_fuel_storage_mw,0.7136557110896842,统计型
gen_fuel_wind_mw,0.02708953624947715,统计型
gen_fuel_coal_pct,0.06610229313858815,统计型
gen_fuel_gas_pct,0.0633322925179163,统计型
gen_fuel_hydro_pct,0.14406660086043174,统计型
gen_fuel_multiple_fuels_pct,0.25521141063965297,统计型
gen_fuel_nuclear_pct,0.0633251761596294,统计型
gen_fuel_oil_pct,0.2901350432996418,统计型
gen_fuel_other_renewables_pct,0.5511292944215739,统计型
gen_fuel_solar_pct,0.0911594244881946,统计型
gen_fuel_storage_pct,0.0,公式型
gen_fuel_wind_pct,0.08539206407179999,统计型
forecast_load_mw_latest_available,0.08154773046909577,统计型
prelim_load_avg_hourly,0.005071335936079075,统计型
metered_load_mw,0.009829203524044192,统计型
rmccp,0.16203072020568002,统计型
rmpcp,0.39062615165477954,统计型
total_pjm_rt_load_mwh,0.004358485899443177,统计型
total_pjm_loc_credit,0.7667687280905795,统计型
total_pjm_reg_purchases,0.32489619146624493,统计型
total_pjm_self_sched_reg,0.611906351418403,统计型
total_pjm_assigned_reg,0.3362719144066179,统计型
total_pjm_rmccp_cr,0.15503726851447927,统计型
total_pjm_rmpcp_cr,0.3839201017165853,统计型
da_as_mcp_primary_reserve,0.20339619615808077,统计型
da_as_mcp_synchronized_reserve,0.19731529431991401,统计型
da_as_mcp_thirty_minutes_reserve,0.0,公式型
da_as_as_req_mw_primary_reserve,0.0259905442606134,统计型
da_as_as_req_mw_synchronized_reserve,0.02527065807894148,统计型
da_as_as_req_mw_thirty_minutes_reserve,0.09482867964999468,统计型
da_as_total_mw_primary_reserve,2.5387184938846633e-14,公式型
da_as_total_mw_synchronized_reserve,2.2415657654084196e-14,公式型
da_as_total_mw_thirty_minutes_reserve,1.1064953272622502e-13,公式型
da_as_as_mw_primary_reserve,2.0764229066231557e-14,公式型
da_as_as_mw_synchronized_reserve,1.933642117976938e-14,公式型
da_as_as_mw_thirty_minutes_reserve,1.1068170373897732e-13,公式型
da_as_ss_mw_primary_reserve,8.685419162275219e-14,公式型
da_as_ss_mw_synchronized_reserve,8.685419162275219e-14,公式型
da_as_ss_mw_thirty_minutes_reserve,8.685419162275219e-14,公式型
da_as_ircmwt2_primary_reserve,0.0,公式型
da_as_ircmwt2_synchronized_reserve,0.0,公式型
da_as_ircmwt2_thirty_minutes_reserve,0.0,公式型
da_as_nsr_mw_primary_reserve,8.604734094547985e-06,公式型
system_energy_price_da,2.593802735253493e-08,公式型
total_lmp_da,2.2679843705751407e-08,公式型
congestion_price_da,1.2566035822624385e-07,公式型
marginal_loss_price_da,1.3843921723361167e-06,公式型
system_energy_price_rt,0.00011559728404271026,公式型
total_lmp_rt,0.00011514391886331445,公式型
congestion_price_rt,0.023405237053713685,公式型
marginal_loss_price_rt,0.11379479159471237,统计型
net_actual_interchange_mw,3.2297212131433834e-14,公式型
net_sched_interchange_mw,1.9574111704275453e-14,公式型
net_inadv_interchange_mw,5.959082736427422e-13,公式型
gross_actual_interchange_mw,0.478691742621037,统计型
gross_sched_interchange_mw,0.5906790289907592,统计型
gross_inadv_interchange_mw,0.46019504988684395,统计型
