wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.86944133,0.810442,1.0721723,1.1443065,0.7916597,0.86084026,1.1812732,0.9364857,0.85692996,1.0102922,0.67621255,0.79554445,0.9813747,0.8081187,0.8597504,0.7781057,1.1308328,0.90340835,0.89339334,0.71195614,0.8284809,0.7086709,0.7036162,0.73829144,0.717152,0.6787346,0.6716098,0.7855458,0.7168384,0.8696515,0.8965507,0.84225184,0.71073586,0.80865806,0.7707575,0.7065273,0.70494515,1.0035695,0.7870058,0.767642,0.79434097,0.749401,0.73572713
0.6525931,0.60036755,0.97190803,1.0866631,0.58250546,0.6576038,1.062612,0.7711068,0.6095515,0.85493,0.45942628,0.6278172,0.8138052,0.60453117,0.6724297,0.51843905,1.0677147,0.7500621,0.6960999,0.4786037,0.57620585,0.48140275,0.5176225,0.52795035,0.4751769,0.4485329,0.44547975,0.640251,0.49789646,0.70909494,0.7650075,0.6520375,0.512385,0.61873436,0.53858775,0.48980498,0.46445674,0.9408931,0.59330434,0.5812534,0.58841115,0.5567843,0.5053329
0.47901377,0.4278191,0.86474603,0.98398817,0.4155876,0.49237356,0.9133979,0.60214245,0.4126377,0.7035856,0.30533755,0.47668386,0.658367,0.42116436,0.509478,0.33460468,0.9810478,0.59807366,0.5250557,0.30753654,0.38415173,0.31707,0.36801454,0.3635321,0.31027693,0.28482002,0.2874901,0.4911084,0.32991117,0.5509335,0.6239495,0.47948948,0.35831305,0.45903745,0.36906385,0.3191006,0.29067287,0.86481696,0.43674156,0.42486542,0.41706392,0.3967485,0.33463103
0.34240767,0.2960335,0.7609146,0.8739339,0.28751817,0.35817647,0.7769413,0.45241472,0.26690158,0.56687236,0.19496068,0.3500965,0.5210755,0.28040227,0.3711258,0.20880206,0.8878987,0.46154812,0.38690904,0.18888284,0.2468319,0.19966222,0.2501312,0.24159001,0.19607812,0.1728803,0.17858605,0.3641233,0.20917228,0.41310588,0.49117666,0.34045163,0.24081627,0.3279901,0.24744004,0.19902226,0.17566614,0.7840342,0.30888724,0.29595894,0.2860493,0.27849707,0.21176453
0.24528192,0.19816476,0.6558916,0.7744182,0.1977185,0.25593424,0.6600203,0.33053848,0.16630481,0.4552542,0.12092292,0.25105464,0.39705727,0.179106,0.26770064,0.12610051,0.80402714,0.34805888,0.2792427,0.111267745,0.15376495,0.12091534,0.16340776,0.15326141,0.12164176,0.100011386,0.10669011,0.2598919,0.12795554,0.30078655,0.37431705,0.23244753,0.15522437,0.22840694,0.16481714,0.11855269,0.101674356,0.6960464,0.20929503,0.19985257,0.18918681,0.20100395,0.13042143
0.17359847,0.12813993,0.5614735,0.6865296,0.13423505,0.1805135,0.5579082,0.2355192,0.10036048,0.36411968,0.071570545,0.17619215,0.29518643,0.11168893,0.1895825,0.07276224,0.72863287,0.2556697,0.19449739,0.061956644,0.09162959,0.06985746,0.10280735,0.09297091,0.07566995,0.05511121,0.06216465,0.17907901,0.0753275,0.21319829,0.27686465,0.15428038,0.09731729,0.15356739,0.11175576,0.06760355,0.056588624,0.6083058,0.13687696,0.13075581,0.120694146,0.15124331,0.077528045
0.12690493,0.0802059,0.4827562,0.6219243,0.091665946,0.12689446,0.48341158,0.16636802,0.057840973,0.2960168,0.04043994,0.12331064,0.21258184,0.06717466,0.13495268,0.039832678,0.66147476,0.1838741,0.13227992,0.032560606,0.05291015,0.038333163,0.062001295,0.0540641,0.04833387,0.028805165,0.03608162,0.11887726,0.04230047,0.14649424,0.20088746,0.09989299,0.05873245,0.10254775,0.07603493,0.036849782,0.030002888,0.52851456,0.085740454,0.08419367,0.07380585,0.11712396,0.044691056
0.09546473,0.047926176,0.40956783,0.5634856,0.06289021,0.09050387,0.42073652,0.114112824,0.032111205,0.24357446,0.021884687,0.0867063,0.15005663,0.038883083,0.0965085,0.020833274,0.6037521,0.12809949,0.08631542,0.01608342,0.029168725,0.019952687,0.03617936,0.030089404,0.032742772,0.014212969,0.02070007,0.07600007,0.022778833,0.09864188,0.14153726,0.06343832,0.034444638,0.06714386,0.056283087,0.019033492,0.015035496,0.4543678,0.051563133,0.053776313,0.043308817,0.09059463,0.024241224
0.07201628,0.026864734,0.3461537,0.51073635,0.042837333,0.066543624,0.37328717,0.07777407,0.016839018,0.1967235,0.011176815,0.060532782,0.10373184,0.02156273,0.06979614,0.010231563,0.5555466,0.088831924,0.05428858,0.007418227,0.015066115,0.009794564,0.020376965,0.015845753,0.024362743,0.0065536196,0.011755151,0.04698085,0.011694888,0.064582996,0.09727765,0.03950426,0.019392887,0.04375295,0.04441913,0.009250132,0.0070174136,0.39568916,0.029652199,0.03301437,0.024340382,0.07526724,0.0123410635
