lambda,n_selected,val_loss
0.0,43,0.23053346574306488
3.2768,43,0.27098128199577287
3.3423360000000004,43,0.27570968866348267
3.4091827200000004,43,0.2621826231479645
3.4773663744000003,43,0.2516782879829407
3.546913701888,43,0.247594952583313
3.61785197592576,43,0.2441670298576355
3.6902090154442755,43,0.24121716618537903
3.764013195753161,43,0.2386038899421692
3.8392934596682244,43,0.2362796664237976
3.916079328861589,43,0.23419708013534546
3.994400915438821,43,0.2322966754436493
4.074288933747598,43,0.23053628206253052
4.1557747124225495,43,0.2289232611656189
4.238890206671001,43,0.2274370640516281
4.323668010804421,43,0.22605682909488678
4.41014137102051,43,0.2247646450996399
4.49834419844092,43,0.2235407680273056
4.588311082409739,43,0.22236007452011108
4.680077304057933,43,0.22120951116085052
4.773678850139092,43,0.2201034277677536
4.869152427141874,43,0.2190374732017517
4.9665354756847115,43,0.21800528466701508
5.065866185198406,43,0.2169923335313797
5.167183508902374,43,0.21601134538650513
5.270527179080422,43,0.21505312621593475
5.37593772266203,43,0.21411050856113434
5.483456477115271,43,0.21317119896411896
5.593125606657576,43,0.21223956346511796
5.704988118790728,43,0.21131126582622528
5.819087881166542,43,0.2103876918554306
5.935469638789873,43,0.2094581425189972
6.0541790315656705,43,0.20852358639240265
6.175262612196984,43,0.20760105550289154
6.298767864440924,43,0.20669245719909668
6.424743221729742,43,0.20579947531223297
6.553238086164337,43,0.20490679144859314
6.684302847887624,43,0.20402249693870544
6.817988904845376,43,0.20315003395080566
6.954348682942284,43,0.20226861536502838
7.093435656601129,43,0.20139849185943604
7.235304369733152,43,0.2005271017551422
7.380010457127815,43,0.19966313242912292
7.5276106662703715,43,0.19880974292755127
7.678162879595779,43,0.1979445219039917
7.831726137187695,43,0.19708189368247986
7.988360659931449,43,0.19623181223869324
8.148127873130079,43,0.19539082050323486
8.311090430592682,43,0.19454893469810486
8.477312239204535,43,0.19369962811470032
8.646858483988625,43,0.1928567886352539
8.819795653668399,43,0.19201605021953583
8.996191566741766,43,0.1911594122648239
9.176115398076602,43,0.19030316174030304
9.359637706038134,43,0.1894485205411911
9.546830460158898,43,0.18860560655593872
9.737767069362075,43,0.18775571882724762
9.932522410749316,43,0.1869097203016281
10.131172858964302,43,0.18607792258262634
