eco_max,emerg_max,total_committed,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,total_gen,total_losses,wind_generation_mw,solar_generation_mw,forecast_load_mw,prelim_load_avg_hourly,mw,mcp,mcp_capped,as_req_mw,total_mw,as_mw,ss_mw,ircmwt2,nsr_mw,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,actual_flow,sched_flow,inadv_flow,system_energy_price_rt
地区电力最大经济效益,地区电力最大投入经济收益,地区电力收入总值,调节市场容量结算价格,监管市场表现结算价格,地区电力总负载功率,地区电力总信用值,地区电力总功角消耗值,地区电力总规划功角耗值,地区电力总记录功角消耗值,地区电力总调节市场容量结算价格预测值,地区电力总监管市场表现结算价格预测值,地区电力总发电量,地区电力总损失,风力发电量,太阳能发电量,地区电力每小时负荷预测值,地区电力每小时负荷计算值,地区新能源电力功率值,市场容量结算价格,实际测量市场容量结算价格,地区传输线预测功率值,地区传输线实际总功率值,地区传输线需求预测功率值,地区传输线计划功率值,地区传输线预测电压幅值,电压节点消耗功率,地区系统电能价格,地区节点边际电价数据,地区节点阻塞价格,地区节点边际损失价格,实际潮流,计划潮流,测量潮流,地区节点系统电能价格预测值
173230.7,174839.1,171707.2,20.39,3.44,80611.607,2228.74122,359.26381,268.94307,147.0693,8408.04,3324.18,76781.047,330.8,74.956,-1.929,24185,24552,2249.343,0,0,2618.5,3466,2643.8,188,822.2,1657,24.21,24.49,0,0.28,0,71,71,21.63
173494.6,175083.2,171707.2,4.99,0.87,82791.078,375.87827,517.72592,295.00594,301.73606,2941.08,1223.47,75621.906,317.1,75.609,-1.874,24439,23743.7,2195.09,0,0,2618.5,2618.5,1728.8,188,889.7,361,23.54,23.87,0.07,0.26,0,69,69,20.62
172908.5,174614.7,171707.2,7.59,2.92,84931.076,60.35896,525.84517,372.20999,233.22789,4591.21,6386.84,73786.614,295.1,79.679,-2.912,24439,23077.8,2148.694,0,0,2618.5,2618.5,1790.6,188,827.9,361,22.84,23.34,0.22,0.28,0,75,75,19.32
172553,174257,171707.2,18.91,3.75,87299.25,614.13893,558.66157,301.17045,330.58621,11986.01,6785.34,73177.14,281.6,85.16,-2.898,24439,22730.6,2086.674,0,0,2624.5,2624.5,1641.6,188,982.9,361,22.7,23.08,0.07,0.31,0,79,79,20.14
172418.8,174042.9,171707.2,23.26,1.89,89534.036,1263.31051,570.4611,301.30124,333.08756,14754.68,3335.58,72595.691,281.9,83.347,-1.853,24439,22722.3,2063.242,0,0,2624.5,2624.5,1641.6,188,982.9,361,22.71,22.48,-0.56,0.33,0,80,80,20.04
172631.2,174015.1,171707.2,22.14,0,91333.972,1128.71025,550.91844,441.25855,190.74634,14074.65,0,72986.567,282,72.136,-1.877,23164,23115.6,2090.192,0,0,2629,2629,1604.6,151,1024.4,361,22.84,22.79,-0.41,0.36,0,82,82,18.73
173308.5,174476.4,171707.2,9.8,1.55,92719.179,4618.02219,572.40582,392.82622,239.61977,6192.78,3347.35,74492.361,277,56.712,-1.834,23381,23813.3,2153.28,0,0,2629,3473,2429.8,77,1043.2,1657,24.57,24.8,-0.09,0.32,0,82,82,19.47
174097.5,175272.9,171707.2,19.89,2.05,92654.748,2998.9916,569.24927,385.78731,242.26359,12528.46,3662.6,76052.262,269.2,39.87,-1.833,23381,24396.6,2190.121,0,0,2629,3524,2199.5,77,1324.5,1708,27.28,28.89,1.34,0.27,0,85,85,21.61
174238.2,175439.1,171707.2,13.49,2.54,88336.31,867.16009,555.584,370.89001,236.48747,8297.25,3608.28,77206.531,258.3,19.479,17.833,23381,24689,2216.11,0,0,2611,3512,2095.3,77,1416.7,1708,28.41,29.13,0.42,0.3,0,79,79,20.43
