方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9495666131475454,marginal_loss_price_rt|total_lmp_rt|gen_fuel_nuclear_mw|gen_fuel_coal_mw|total_gen|net_actual_interchange_mw|wind_generation_mw|gen_fuel_other_renewables_mw|gross_actual_interchange_mw|da_as_as_req_mw_primary_reserve|marginal_loss_price_da|gen_fuel_multiple_fuels_mw|gross_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|gen_fuel_solar_pct|forecast_load_mw_latest_available|gen_fuel_hydro_pct|congestion_price_rt|congestion_price_da|total_pjm_reg_purchases
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9472579368347224,gen_fuel_hydro_pct|marginal_loss_price_da|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_wind_mw|marginal_loss_price_rt|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|net_actual_interchange_mw|net_sched_interchange_mw|gen_fuel_coal_mw|gross_actual_interchange_mw|wind_generation_mw|gen_fuel_multiple_fuels_mw|prelim_load_avg_hourly|system_energy_price_da|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_nsr_mw_primary_reserve|total_gen|congestion_price_da
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9486420069773578,gen_fuel_coal_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|wind_generation_mw|gross_actual_interchange_mw|net_sched_interchange_mw|net_actual_interchange_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gross_inadv_interchange_mw|gen_fuel_wind_mw|da_as_nsr_mw_primary_reserve|gen_fuel_multiple_fuels_mw|marginal_loss_price_rt|metered_load_mw|gen_fuel_coal_pct|prelim_load_avg_hourly|gen_fuel_gas_mw|da_as_as_req_mw_thirty_minutes_reserve|total_gen|gen_fuel_solar_mw
XGBoost,树模型特征重要性（2016）,0.9542891384338961,gen_fuel_coal_mw|metered_load_mw|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_wind_mw|marginal_loss_price_da|marginal_loss_price_rt|net_sched_interchange_mw|wind_generation_mw|forecast_load_mw_latest_available|da_as_as_req_mw_primary_reserve|net_actual_interchange_mw|gen_fuel_coal_pct|gen_fuel_oil_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|gross_actual_interchange_mw|gen_fuel_solar_mw
Lasso,线性稀疏（1996）,0.9422171995962216,total_pjm_rt_load_mwh|total_gen|prelim_load_avg_hourly|net_actual_interchange_mw|gen_fuel_coal_mw|gen_fuel_coal_pct|gen_fuel_gas_mw|system_energy_price_rt|solar_generation_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|marginal_loss_price_da|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|total_pjm_rmccp_cr|rmccp|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_mw|wind_generation_mw|gen_fuel_solar_pct
Pearson,相关系数排序（只看两两关系）,0.9242273758550682,gen_fuel_coal_mw|prelim_load_avg_hourly|metered_load_mw|gen_fuel_coal_pct|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|total_gen|gen_fuel_nuclear_mw|marginal_loss_price_da|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_gas_mw|gross_actual_interchange_mw|total_lmp_da|system_energy_price_da|gen_fuel_other_renewables_pct|marginal_loss_price_rt|gen_fuel_oil_mw|da_as_as_mw_primary_reserve|gen_fuel_oil_pct|total_lmp_rt
