方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8660082290701272,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|prelim_load_avg_hourly|gen_fuel_coal_pct|gen_fuel_gas_pct|total_losses|gen_fuel_multiple_fuels_pct|net_actual_interchange_mw|gen_fuel_nuclear_pct|total_pjm_self_sched_reg|total_pjm_reg_purchases|system_energy_price_da|total_pjm_rmpcp_cr|gen_fuel_oil_mw|gen_fuel_wind_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8515565722530292,da_as_as_req_mw_thirty_minutes_reserve|total_losses|total_pjm_reg_purchases|total_pjm_self_sched_reg|gen_fuel_hydro_mw|da_as_mcp_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|total_pjm_rt_load_mwh|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_hydro_pct|total_pjm_rmpcp_cr|total_gen|system_energy_price_da|congestion_price_da|net_actual_interchange_mw|net_sched_interchange_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8699464408588418,da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_self_sched_reg|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_hydro_pct|total_gen|gen_fuel_hydro_mw|metered_load_mw|total_pjm_rt_load_mwh|system_energy_price_da|da_as_mcp_primary_reserve|prelim_load_avg_hourly|gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_coal_pct
XGBoost,树模型特征重要性（2016）,0.8756597963108781,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|total_pjm_rt_load_mwh|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_mw|metered_load_mw|forecast_load_mw_latest_available|system_energy_price_da|total_pjm_self_sched_reg|gen_fuel_nuclear_pct
Lasso,线性稀疏（1996）,0.8822536983593096,prelim_load_avg_hourly|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|da_as_as_req_mw_primary_reserve|gen_fuel_gas_pct|da_as_mcp_synchronized_reserve|gen_fuel_hydro_mw|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|net_actual_interchange_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_multiple_fuels_mw|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct
Pearson,相关系数排序（只看两两关系）,0.8757437686226546,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|net_actual_interchange_mw|net_sched_interchange_mw|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|total_gen|total_losses|prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_coal_mw|gen_fuel_gas_pct|gross_sched_interchange_mw
