方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9685783147256419,area_1_fuel_coal_mw|area_1_load_actual_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|system_losses_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|area_3_net_export_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9773898217944691,area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_solar_mw|gen_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_2_fuel_hydro_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9442643234549856,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_fuel_wind_mw
XGBoost,树模型特征重要性（2016）,0.9564796285733603,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_generation_mw|area_1_fuel_wind_mw|area_3_net_export_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw
Lasso,线性稀疏（1996）,0.9840446608202603,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_load_actual_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw
Pearson,相关系数排序（只看两两关系）,0.8431902732451846,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw
