wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4671313,0.56088775,0.54912394,0.54414487,0.5297613,0.4635315,0.4808647,0.49367413,0.43044606,0.51841146,0.49600133,0.58167094,0.510773,0.4535563,0.47237873,0.5456796,0.56175476,0.46875727,0.47148967,0.44171244,0.5038092,0.4967227,0.5081805,0.45061213,0.49644312,0.5359344,0.42749467,0.52277666,0.41475397,0.45399934,0.4870202,0.6232407
0.46389675,0.63278097,0.6018317,0.55480397,0.5675752,0.45222577,0.473758,0.4749905,0.4282567,0.54412174,0.5207577,0.6166681,0.5308085,0.44826704,0.4601905,0.5590761,0.5888785,0.4518867,0.4793793,0.41519868,0.48345605,0.4886154,0.5223125,0.40198943,0.4933459,0.5549688,0.3695865,0.5803163,0.38781536,0.44369316,0.53435117,0.7164273
0.46051294,0.68495196,0.63735634,0.55555063,0.6256713,0.4433178,0.4677041,0.43035793,0.4298384,0.58732724,0.54636246,0.64434355,0.53865474,0.4379938,0.4552576,0.5871539,0.62743574,0.4255253,0.4860936,0.38699704,0.46611127,0.4880323,0.5397394,0.36532307,0.4944907,0.5936346,0.31627136,0.6412368,0.35514522,0.42590004,0.59341425,0.7769126
0.4430414,0.74475724,0.6819876,0.57312405,0.6702902,0.4206629,0.47994348,0.4018826,0.41295972,0.6366678,0.54843783,0.67095757,0.54212517,0.42052138,0.4510358,0.61598253,0.66514635,0.38033664,0.50485563,0.3478672,0.44897437,0.4908105,0.5511799,0.31855023,0.4931433,0.61095214,0.25081745,0.6813475,0.30653992,0.40404922,0.62237006,0.8306945
0.43261763,0.77953076,0.71918035,0.57384515,0.7278656,0.39848962,0.5091252,0.3766493,0.4165743,0.6634447,0.5692959,0.71014,0.56114686,0.40631884,0.42871967,0.60678446,0.6875874,0.34297243,0.5331459,0.29541123,0.4324318,0.48902658,0.5648717,0.24961391,0.4840684,0.64887017,0.17708902,0.7270555,0.26421446,0.37175405,0.6613422,0.8934778
0.43160424,0.834301,0.77507126,0.5870623,0.782792,0.36793616,0.54568267,0.33256382,0.42737237,0.70543325,0.5734149,0.7465632,0.56212735,0.39111105,0.40738985,0.60564566,0.70068526,0.29779404,0.547442,0.26601544,0.43400845,0.47890547,0.57689965,0.17363958,0.5016195,0.70696574,0.11379498,0.76949435,0.22274937,0.3435334,0.6869448,0.95349884
0.42033327,0.8800366,0.81722826,0.5817729,0.8243955,0.35104454,0.60156834,0.29186136,0.42260474,0.7512806,0.5814934,0.77094364,0.55674684,0.3792533,0.37506166,0.6078453,0.7285552,0.24791189,0.55372417,0.23224512,0.41988084,0.48650792,0.5922133,0.11028802,0.51116604,0.7367866,0.04461548,0.8181829,0.18108222,0.32025695,0.72283137,1.0
0.40659457,0.9235022,0.8536552,0.58621156,0.8872259,0.34423637,0.6645323,0.24604818,0.4300081,0.79082423,0.61399114,0.78544414,0.55184704,0.35619998,0.37421283,0.6014742,0.75211704,0.19643009,0.5726208,0.20418273,0.41144946,0.48325336,0.6132126,0.04841953,0.52187943,0.7707794,0.0,0.8668486,0.13206792,0.29510927,0.7470526,1.0
0.3979473,0.9687641,0.88217413,0.5777423,0.930515,0.33479443,0.72069025,0.20436208,0.4318834,0.82819974,0.6216327,0.8145998,0.56539416,0.34755492,0.35268742,0.60204893,0.76320547,0.12456669,0.592583,0.1719382,0.3986543,0.4831814,0.6261303,0.0,0.5200528,0.79166156,0.0,0.9162756,0.08573935,0.27132887,0.7764562,1.0
0.3999652,1.0,0.913145,0.57050097,0.9748139,0.30900726,0.77751637,0.16271293,0.43783244,0.8692425,0.6428109,0.84430987,0.5776658,0.33480713,0.33468235,0.6013345,0.7877135,0.060254585,0.5999284,0.13760959,0.39470583,0.490349,0.63136286,0.0,0.5255565,0.8230954,0.0,0.966671,0.043813113,0.24375086,0.81438947,1.0
0.3950135,1.0,0.9404266,0.56341183,1.0,0.28422007,0.8411588,0.10650209,0.43134594,0.88182205,0.64295524,0.8779539,0.5829932,0.3044744,0.3150814,0.58827823,0.8049742,0.0,0.61164314,0.103200644,0.38827348,0.47244737,0.64996904,0.0,0.5347959,0.8573701,0.0,1.0,0.0,0.20382564,0.8454929,1.0
0.42051873,1.0,0.96161205,0.55669683,1.0,0.25163957,0.8972967,0.06292027,0.44092986,0.9319368,0.6692967,0.90985054,0.58196187,0.2903091,0.28598294,0.58173084,0.8308127,0.0,0.6325142,0.06528592,0.39860988,0.48230276,0.6808335,0.0,0.52030927,0.89587986,0.0,1.0,0.0,0.1601189,0.89632773,1.0
0.41505018,1.0,0.9867818,0.569929,1.0,0.2277207,0.95823437,0.0067016534,0.43672884,0.9734619,0.6758772,0.9484966,0.5784077,0.25756523,0.25275677,0.5717653,0.84455454,0.0,0.6361242,0.018400466,0.3995361,0.503958,0.7044372,0.0,0.5310074,0.9420622,0.0,1.0,0.0,0.12255706,0.9347958,1.0
0.42448488,1.0,1.0,0.55177194,1.0,0.2153574,1.0,0.0,0.44705185,1.0,0.7038925,0.9672316,0.58107805,0.23945439,0.23920056,0.56237584,0.8648154,0.0,0.643602,0.0,0.4004159,0.51127315,0.7303275,0.0,0.52234334,0.9721972,0.0,1.0,0.0,0.08415598,0.95754194,1.0
0.43757814,1.0,1.0,0.5387387,1.0,0.20805764,1.0,0.0,0.4347753,1.0,0.7128479,0.9991019,0.58290035,0.19719137,0.20599112,0.5574779,0.8810531,0.0,0.6624891,0.0,0.39026073,0.5214108,0.769432,0.0,0.5210756,0.99049526,0.0,1.0,0.0,0.045563143,0.9891789,1.0
0.42499405,1.0,1.0,0.5371298,1.0,0.18015206,1.0,0.0,0.41792902,1.0,0.7285998,1.0,0.5749869,0.15351318,0.17125952,0.5488493,0.89829594,0.0,0.6720448,0.0,0.3932103,0.52298284,0.79610705,0.0,0.53145874,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.42354354,1.0,1.0,0.54463995,1.0,0.17200963,1.0,0.0,0.4163869,1.0,0.74975425,1.0,0.5981272,0.105362296,0.14832354,0.53934103,0.9249042,0.0,0.68459606,0.0,0.36510718,0.5176001,0.81651056,0.0,0.5253253,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.40629232,1.0,1.0,0.54550153,1.0,0.14200455,1.0,0.0,0.40150633,1.0,0.77062184,1.0,0.59482527,0.06266339,0.102986425,0.5184818,0.9416982,0.0,0.702247,0.0,0.35305882,0.5118678,0.84699684,0.0,0.5227604,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.39659005,1.0,1.0,0.54002243,1.0,0.11479652,1.0,0.0,0.3994754,1.0,0.7961807,1.0,0.6102468,0.017757598,0.0616968,0.5079679,0.96175826,0.0,0.72948784,0.0,0.34135693,0.5085694,0.862643,0.0,0.51943487,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.3939296,1.0,1.0,0.53159815,1.0,0.07679964,1.0,0.0,0.3926646,1.0,0.80869323,1.0,0.6195438,0.0,0.017672906,0.49136934,0.9743641,0.0,0.7372095,0.0,0.31454194,0.5228753,0.8869489,0.0,0.51730573,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.37142804,1.0,1.0,0.51887476,1.0,0.05185611,1.0,0.0,0.36389416,1.0,0.83305085,1.0,0.61338395,0.0,0.0,0.4828758,0.9920299,0.0,0.74852926,0.0,0.3068058,0.53877985,0.92578095,0.0,0.51983637,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.35704964,1.0,1.0,0.5042141,1.0,0.020363567,1.0,0.0,0.34284833,1.0,0.85524315,1.0,0.6297457,0.0,0.0,0.45716053,1.0,0.0,0.7666152,0.0,0.2968235,0.5311589,0.95549756,0.0,0.49874112,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.3654143,1.0,1.0,0.48024574,1.0,0.0,1.0,0.0,0.3424205,1.0,0.8765201,1.0,0.65103155,0.0,0.0,0.43350226,1.0,0.0,0.78551036,0.0,0.2715436,0.53645164,0.9875701,0.0,0.4959928,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.33989477,1.0,1.0,0.4600532,1.0,0.0,1.0,0.0,0.3178343,1.0,0.90176713,1.0,0.65768737,0.0,0.0,0.41594517,1.0,0.0,0.8198515,0.0,0.24154852,0.5481869,1.0,0.0,0.48388955,1.0,0.0,1.0,0.0,0.0,1.0,1.0
