gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_oil_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5157111,0.519048,0.45282093,0.4801286,0.5346035,0.47004744,0.5218989,0.42982873,0.48901975,0.42055213,0.48793334,0.5713405,0.48834017,0.46385822,0.52323055,0.51164746,0.49273545,0.5115228,0.46593618,0.5061515,0.50216657,0.43701586,0.49978527,0.5537939,0.4074146,0.40823925,0.4278064,0.41450447,0.52533424,0.46276557,0.5955505,0.4656905,0.5208952,0.5258136,0.49865898
0.533838,0.5100588,0.42291844,0.43940493,0.5630292,0.42575237,0.53484154,0.39887753,0.45200586,0.33775544,0.44321725,0.5881909,0.4758348,0.4162268,0.5258737,0.5071575,0.48585442,0.5226557,0.42979464,0.49818602,0.4698079,0.41027224,0.5099098,0.56506175,0.31403616,0.3105624,0.34919563,0.3603629,0.54632115,0.413658,0.68442905,0.45338252,0.519781,0.5230803,0.53114647
0.5312715,0.49818677,0.3883124,0.39301324,0.5714507,0.36746523,0.55031675,0.3769664,0.40334013,0.24890259,0.4066056,0.5949013,0.44441545,0.38641256,0.5192687,0.49277583,0.46937025,0.51241344,0.395375,0.47279042,0.43864968,0.39126703,0.5096652,0.56755686,0.20900428,0.22923295,0.2616907,0.28812152,0.5509705,0.35021526,0.76344454,0.45073852,0.50241256,0.5212468,0.5548167
0.5229561,0.4844771,0.35768574,0.34482616,0.57752407,0.31099793,0.5419206,0.34251183,0.34885672,0.16515206,0.3624201,0.6072928,0.4128796,0.32691407,0.5172901,0.4912454,0.4468823,0.4969203,0.3515285,0.44058076,0.4001558,0.37343302,0.5323315,0.58299667,0.0831244,0.12282503,0.16800967,0.20044897,0.55594134,0.26787955,0.83361,0.44699895,0.4945474,0.52183247,0.5579166
0.51118547,0.46911192,0.3284463,0.30527446,0.58087546,0.24382496,0.5461536,0.32506058,0.28448683,0.08545212,0.32152236,0.615108,0.3822621,0.26907593,0.51225245,0.4875711,0.42174977,0.47827145,0.292707,0.41724092,0.356337,0.35491133,0.5334556,0.59079903,0.0,0.036605615,0.09901585,0.10870771,0.56800777,0.19356038,0.8732033,0.42923388,0.4874695,0.5258566,0.5665905
0.4965939,0.45525777,0.294269,0.25441128,0.591236,0.16768757,0.55058205,0.30571696,0.2118783,0.0,0.2668616,0.62081444,0.3413167,0.20907854,0.5051471,0.47495893,0.39381188,0.4595982,0.2482029,0.39182723,0.318501,0.32376546,0.52932346,0.5929919,0.0,0.0,0.015172134,0.003626613,0.56940264,0.10296937,0.9237245,0.41848904,0.48328853,0.52345496,0.56983435
0.49053437,0.44274008,0.2591434,0.19616562,0.59757936,0.08407009,0.55342984,0.3059257,0.13846669,0.0,0.21295498,0.6323335,0.30062097,0.14154972,0.5081122,0.4503949,0.37585717,0.45662993,0.19859844,0.35599872,0.26610827,0.29790044,0.5329767,0.6014308,0.0,0.0,0.0,0.0,0.5677452,0.015547096,0.9725844,0.40690094,0.46899495,0.5184495,0.5678109
0.473513,0.42097947,0.22259186,0.124182284,0.59205157,0.0,0.55158293,0.28562558,0.07354491,0.0,0.15243833,0.6334041,0.2424785,0.07206397,0.49426144,0.4238504,0.34880766,0.4452239,0.13571918,0.32835662,0.20242594,0.26828757,0.53499633,0.60651386,0.0,0.0,0.0,0.0,0.56318766,0.0,1.0,0.38207743,0.46470228,0.51217616,0.5576409
0.46061972,0.38880444,0.18432589,0.04607706,0.59548277,0.0,0.53705037,0.2483384,0.0,0.0,0.0771052,0.6477084,0.1852251,0.0,0.47998583,0.4041454,0.32596722,0.445672,0.06745095,0.28534293,0.1524147,0.23841113,0.54204786,0.6199017,0.0,0.0,0.0,0.0,0.56589866,0.0,1.0,0.36450607,0.4627186,0.5105355,0.5471025
0.4403888,0.36410335,0.1364865,0.0,0.5987483,0.0,0.53468055,0.2261993,0.0,0.0,0.0,0.6465736,0.12255935,0.0,0.46164936,0.38060006,0.2871279,0.4304779,0.02188185,0.24033381,0.080153435,0.19390737,0.53919643,0.6265054,0.0,0.0,0.0,0.0,0.5694311,0.0,1.0,0.34520322,0.44665968,0.5055267,0.5527531
0.42225537,0.33757916,0.086136825,0.0,0.59686065,0.0,0.526453,0.18850748,0.0,0.0,0.0,0.65019125,0.056473777,0.0,0.45347697,0.35759506,0.23588993,0.4094153,0.0,0.19103414,0.014000062,0.15393013,0.5337982,0.62981486,0.0,0.0,0.0,0.0,0.5592004,0.0,1.0,0.3238814,0.41968006,0.49987587,0.5640346
0.4037244,0.30359092,0.031908013,0.0,0.594376,0.0,0.5160067,0.1475148,0.0,0.0,0.0,0.6469245,0.0,0.0,0.4312688,0.33445707,0.20396851,0.3820338,0.0,0.12854634,0.0,0.11021886,0.53359514,0.6371999,0.0,0.0,0.0,0.0,0.551093,0.0,1.0,0.30570853,0.39906716,0.49418342,0.5606601
0.37910855,0.26827294,0.0,0.0,0.5894389,0.0,0.503195,0.11264067,0.0,0.0,0.0,0.6375326,0.0,0.0,0.41830555,0.31081474,0.14256366,0.35593772,0.0,0.0779472,0.0,0.06507912,0.52550834,0.64577705,0.0,0.0,0.0,0.0,0.5360405,0.0,1.0,0.27388614,0.398745,0.48668724,0.55181867
0.35381684,0.22516547,0.0,0.0,0.583259,0.0,0.4943021,0.06608605,0.0,0.0,0.0,0.6363438,0.0,0.0,0.40480137,0.28003743,0.10751133,0.3348306,0.0,0.014673011,0.0,0.0,0.51632875,0.65009284,0.0,0.0,0.0,0.0,0.5260975,0.0,1.0,0.25290903,0.3843109,0.478774,0.5499594
0.32704118,0.17248887,0.0,0.0,0.58568686,0.0,0.47807384,0.012353374,0.0,0.0,0.0,0.6395107,0.0,0.0,0.39482167,0.24997562,0.05374663,0.32952103,0.0,0.0,0.0,0.0,0.5242957,0.6470206,0.0,0.0,0.0,0.0,0.51122934,0.0,1.0,0.22429056,0.36113763,0.46349278,0.5452949
0.2971727,0.11805315,0.0,0.0,0.5755344,0.0,0.47077155,0.0,0.0,0.0,0.0,0.64002395,0.0,0.0,0.37173897,0.21760716,0.0002279575,0.2955099,0.0,0.0,0.0,0.0,0.52089137,0.65081054,0.0,0.0,0.0,0.0,0.4950795,0.0,1.0,0.19648273,0.34186873,0.4613777,0.52942806
0.26138115,0.06664168,0.0,0.0,0.56594396,0.0,0.44148722,0.0,0.0,0.0,0.0,0.6297458,0.0,0.0,0.3494381,0.17098963,0.0,0.2620237,0.0,0.0,0.0,0.0,0.51851153,0.64902616,0.0,0.0,0.0,0.0,0.47166082,0.0,1.0,0.1734494,0.31973663,0.4527699,0.50726277
0.2329971,0.011713469,0.0,0.0,0.56134635,0.0,0.42313284,0.0,0.0,0.0,0.0,0.6292949,0.0,0.0,0.32414943,0.12473434,0.0,0.22770242,0.0,0.0,0.0,0.0,0.51602167,0.6501176,0.0,0.0,0.0,0.0,0.44456035,0.0,1.0,0.15058197,0.2890288,0.4463802,0.4979599
0.18805034,0.0,0.0,0.0,0.55381733,0.0,0.38892183,0.0,0.0,0.0,0.0,0.6280873,0.0,0.0,0.2936385,0.07046517,0.0,0.1877972,0.0,0.0,0.0,0.0,0.5139896,0.6445748,0.0,0.0,0.0,0.0,0.4186154,0.0,1.0,0.11258521,0.25278333,0.4350801,0.4751405
0.13575102,0.0,0.0,0.0,0.5448891,0.0,0.35591748,0.0,0.0,0.0,0.0,0.62370944,0.0,0.0,0.26231176,0.02041778,0.0,0.14158979,0.0,0.0,0.0,0.0,0.5033762,0.6517393,0.0,0.0,0.0,0.0,0.3990925,0.0,1.0,0.0820258,0.22261958,0.4280539,0.45633078
0.08389332,0.0,0.0,0.0,0.53319657,0.0,0.3192538,0.0,0.0,0.0,0.0,0.6182762,0.0,0.0,0.23143472,0.0,0.0,0.091619335,0.0,0.0,0.0,0.0,0.49703962,0.6457429,0.0,0.0,0.0,0.0,0.3704367,0.0,1.0,0.055171654,0.19250482,0.41331735,0.4286854
0.034271784,0.0,0.0,0.0,0.53283185,0.0,0.27445173,0.0,0.0,0.0,0.0,0.61273736,0.0,0.0,0.19576819,0.0,0.0,0.044503644,0.0,0.0,0.0,0.0,0.49014086,0.6486071,0.0,0.0,0.0,0.0,0.3373378,0.0,1.0,0.022261528,0.15648203,0.4056511,0.39622235
0.0,0.0,0.0,0.0,0.52040535,0.0,0.24154314,0.0,0.0,0.0,0.0,0.6017855,0.0,0.0,0.1554699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48219287,0.6403905,0.0,0.0,0.0,0.0,0.30191845,0.0,1.0,0.0,0.121780016,0.38511693,0.36708573
0.0,0.0,0.0,0.0,0.49975574,0.0,0.19825166,0.0,0.0,0.0,0.0,0.58870214,0.0,0.0,0.11719101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47358057,0.63157845,0.0,0.0,0.0,0.0,0.259103,0.0,1.0,0.0,0.08696074,0.3663091,0.33514595
0.0,0.0,0.0,0.0,0.49715787,0.0,0.15236542,0.0,0.0,0.0,0.0,0.5863013,0.0,0.0,0.07160569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46029234,0.6471443,0.0,0.0,0.0,0.0,0.20466334,0.0,1.0,0.0,0.043979034,0.35191578,0.30581862
0.0,0.0,0.0,0.0,0.48036337,0.0,0.10079242,0.0,0.0,0.0,0.0,0.570497,0.0,0.0,0.02407496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4509827,0.643094,0.0,0.0,0.0,0.0,0.1571421,0.0,1.0,0.0,0.00014226409,0.331058,0.26519212
0.0,0.0,0.0,0.0,0.4662171,0.0,0.044590022,0.0,0.0,0.0,0.0,0.5597873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45005387,0.64103967,0.0,0.0,0.0,0.0,0.10517634,0.0,1.0,0.0,0.0,0.303881,0.22719489
0.0,0.0,0.0,0.0,0.4475439,0.0,0.0,0.0,0.0,0.0,0.0,0.5454247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4361857,0.63428205,0.0,0.0,0.0,0.0,0.042936925,0.0,1.0,0.0,0.0,0.27973655,0.19066301
0.0,0.0,0.0,0.0,0.42846107,0.0,0.0,0.0,0.0,0.0,0.0,0.51952195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41649893,0.6229735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2533032,0.14030595
0.0,0.0,0.0,0.0,0.40645894,0.0,0.0,0.0,0.0,0.0,0.0,0.51677793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003693,0.6065596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21739581,0.10476807
0.0,0.0,0.0,0.0,0.37763897,0.0,0.0,0.0,0.0,0.0,0.0,0.49655223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38275558,0.5905782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18267637,0.041033775
0.0,0.0,0.0,0.0,0.3468043,0.0,0.0,0.0,0.0,0.0,0.0,0.477346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36451864,0.58496803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15163204,0.0
