metric,cutoff,dropped_count,retained_count
final_gate_abs,1e-08,41,14
final_effective_group_l2,1e-08,41,14
final_gate_abs,1e-06,41,14
final_effective_group_l2,1e-06,41,14
final_gate_abs,0.0001,41,14
final_effective_group_l2,0.0001,42,13
final_gate_abs,0.001,42,13
final_effective_group_l2,0.001,42,13
final_gate_abs,0.01,42,13
final_effective_group_l2,0.01,47,8
final_gate_abs,0.05,49,6
final_effective_group_l2,0.05,52,3
final_gate_abs,0.1,52,3
final_effective_group_l2,0.1,54,1
