epoch,train_standardized_mse,validation_standardized_mse,validation_macro_r2,validation_median_r2
1,0.8163537596368758,0.48069870471954346,0.4233312483695222,0.42209936678409576
2,0.3838811235316946,0.2593285143375397,0.6772151987363653,0.766662210226059
3,0.2789565495511659,0.2192235141992569,0.7287329091667766,0.7803604900836945
4,0.22572452308841548,0.16836786270141602,0.7846375384890452,0.8549120128154755
5,0.17433907359683365,0.13885080814361572,0.8168894354163146,0.8852090835571289
6,0.143855311466101,0.12295492738485336,0.8339673533308797,0.9058925807476044
7,0.12793507266525486,0.1085650622844696,0.852245973741136,0.9225926697254181
8,0.11566979779813999,0.10021008551120758,0.8595309228431888,0.9315891563892365
9,0.10540075840340005,0.09264486283063889,0.8697908847797208,0.9394418001174927
10,0.09774108043954834,0.08813121169805527,0.8653165961547595,0.943922221660614
11,0.09588282848614411,0.08323246985673904,0.877693549525447,0.9474370777606964
12,0.08882423732417624,0.07645943015813828,0.8871358862010444,0.9516918659210205
13,0.0828854538059188,0.07329953461885452,0.8884239792823792,0.9540240168571472
14,0.07984221852205757,0.06911619752645493,0.892610375110696,0.9573060870170593
15,0.07668914537811404,0.06672444939613342,0.8979387715822313,0.9607013165950775
16,0.07326511695505973,0.06378714740276337,0.9017764024618196,0.962804764509201
17,0.07313637654542457,0.06004714220762253,0.9063169062137604,0.9645558893680573
18,0.07014549126583179,0.058605343103408813,0.9084264279865637,0.9637652933597565
19,0.06689316778890328,0.05643170326948166,0.9078745176879371,0.967440128326416
20,0.06501118063917002,0.05316024646162987,0.9156776030616063,0.9690589606761932
21,0.06202689945460258,0.04957563057541847,0.9178131033734578,0.9729236960411072
22,0.059923258272563784,0.051010504364967346,0.9177088025139599,0.9723673760890961
23,0.06068052684012061,0.048256658017635345,0.920827073294942,0.972495824098587
24,0.057748356152982704,0.04646594077348709,0.9224330579362264,0.9745533168315887
25,0.05597984041865956,0.04611983895301819,0.924752323729236,0.9693988263607025
26,0.05577061659303205,0.0452086515724659,0.9236717029679112,0.9753997623920441
27,0.05545499417918723,0.0412529893219471,0.9316285655992788,0.9769063293933868
28,0.05278263141679236,0.0441216342151165,0.9290320357171501,0.974335789680481
29,0.053921912272661326,0.03967643156647682,0.9306382500543827,0.9774254560470581
30,0.050698589624457724,0.03787270560860634,0.9343346655368805,0.980393797159195
31,0.04884491793971288,0.03773025423288345,0.9350869041390535,0.9812309145927429
32,0.04994001911884015,0.037597209215164185,0.9349735193863148,0.9799078404903412
33,0.04974661828682224,0.03546977415680885,0.9376551145460548,0.9826450049877167
34,0.04670841094632388,0.0432155504822731,0.9162407179431218,0.9755839109420776
35,0.053317179493775756,0.036575328558683395,0.932859892525324,0.9813722372055054
36,0.04776971646879661,0.03385862708091736,0.9408222767637997,0.9819309115409851
37,0.04535867305679723,0.032927412539720535,0.9408620872148653,0.9848978817462921
38,0.04407425075478576,0.032082777470350266,0.9401379878201136,0.9851305484771729
39,0.04347259680593293,0.031629860401153564,0.9433449572179375,0.9821627140045166
40,0.04358292333224259,0.0346192792057991,0.9380303483183791,0.9839673638343811
41,0.045154175075787804,0.032200220972299576,0.9410481671007668,0.9834123253822327
42,0.04245108995700549,0.03231918811798096,0.9366563206038824,0.9828636646270752
43,0.04275199405669623,0.031248988583683968,0.9407954303229727,0.9837033152580261
44,0.04195921821550029,0.03009539470076561,0.9457239065228439,0.985744833946228
45,0.042004334660357245,0.028569873422384262,0.9475715138563295,0.9844339489936829
46,0.03965581529128451,0.028894411399960518,0.9444511365599748,0.9865497946739197
47,0.04160915654232615,0.028378525748848915,0.9473586195125813,0.9850049316883087
48,0.03963118018164368,0.02766706608235836,0.9493134236190377,0.9849870800971985
49,0.0390642886204559,0.027527861297130585,0.949339269501407,0.9833933115005493
50,0.03860580358986313,0.026311691850423813,0.9515715150571451,0.986466109752655
51,0.038026585861090416,0.02757449448108673,0.9495921164024167,0.9843059778213501
52,0.03783888883631805,0.037729427218437195,0.9371429663605806,0.9780147075653076
53,0.04418449841982642,0.02735917456448078,0.951450873075462,0.9840443432331085
54,0.038133052966655,0.025905409827828407,0.9541195712801886,0.9872494637966156
55,0.03666769713648124,0.02776479534804821,0.9485553666585829,0.9812602996826172
56,0.03922946093314331,0.025608327239751816,0.9535847749651932,0.9861093163490295
57,0.03632491247494576,0.02623707428574562,0.9531568821247031,0.9855386316776276
58,0.03600532790705339,0.027590246871113777,0.9490797650523302,0.9872960150241852
59,0.03605979617634181,0.024598633870482445,0.956307928736617,0.9864492416381836
60,0.03543278591182609,0.02871459722518921,0.9519141828868447,0.9817916452884674
61,0.039509615136786726,0.02900703251361847,0.9490482847138149,0.9853334724903107
62,0.0375484010736684,0.02588106319308281,0.9557301034787442,0.9857425689697266
63,0.03570027048557163,0.02299850806593895,0.9566711857914925,0.9873619377613068
