方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9585410030735877,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_nuclear_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9123979646274661,area_1_fuel_wind_mw|area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|gen_fuel_wind_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9374778003478557,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_1_net_export_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw
XGBoost,树模型特征重要性（2016）,0.9089820552740522,area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_3_fuel_coal_mw|system_losses_mw
Lasso,线性稀疏（1996）,0.934482400850167,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_natural_gas_mw|area_3_net_export_mw|area_3_fuel_solar_mw
Pearson,相关系数排序（只看两两关系）,0.879818509995017,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw|area_2_net_export_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_1_fuel_solar_mw
