partition,seed,target,sensitivity_tier,target_kind,r2,rmse,mae,test_std,nrmse_by_test_std,pearson_r,test_r2_evaluable,accuracy,balanced_accuracy,roc_auc,description,n_input_declared,n_input_variable
02_public27_grouped/branch,43,branch_c2_p_to_mw,T3_high,continuous,0.9576371312141418,10.273086547851562,7.302671432495117,49.91236114501953,0.20582249760627747,0.9787243008613586,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_c2_q_to_mvar,T3_high,continuous,0.9148421883583069,1.167494773864746,0.8433237671852112,4.000762939453125,0.2918180227279663,0.9570494890213013,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_c2_loading_pct,T3_high,continuous,0.9608913064002991,5.229248046875,3.7473552227020264,26.442508697509766,0.19775915145874023,0.9804670214653015,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_a34_p_from_mw,T3_high,continuous,0.9872839450836182,18.613222122192383,13.531939506530762,165.061279296875,0.11276552826166153,0.9940046668052673,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_a34_q_from_mvar,T3_high,continuous,0.9912288188934326,4.636351108551025,3.422123432159424,49.50482177734375,0.09365453571081161,0.9956453442573547,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_a34_p_to_mw,T3_high,continuous,0.988474428653717,18.48373031616211,13.449762344360352,172.17042541503906,0.10735717415809631,0.994349479675293,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_a34_q_to_mvar,T3_high,continuous,0.9389200806617737,1.80428946018219,1.3004381656646729,7.300573825836182,0.24714350700378418,0.9714757800102234,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_a34_loading_pct,T3_high,continuous,0.9885780215263367,3.484081983566284,2.53167986869812,32.60000228881836,0.10687367618083954,0.9944701790809631,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_b10_p_from_mw,T3_high,continuous,0.6615004539489746,3.5179429054260254,2.401026964187622,6.046579360961914,0.5818071365356445,0.8555263876914978,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_b10_q_from_mvar,T3_high,continuous,0.6847409009933472,0.8748927712440491,0.5709407925605774,1.5581921339035034,0.561479389667511,0.8667306900024414,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_b10_p_to_mw,T3_high,continuous,0.6716797947883606,3.514042377471924,2.4226136207580566,6.132791519165039,0.5729923248291016,0.8612390160560608,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_b10_q_to_mvar,T3_high,continuous,0.8750531077384949,0.661137044429779,0.4243774116039276,1.8703747987747192,0.3534783720970154,0.9488564133644104,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
02_public27_grouped/branch,43,branch_b10_loading_pct,T3_high,continuous,0.5694969296455383,0.8638870120048523,0.5856626629829407,1.3166453838348389,0.6561273336410522,0.820304811000824,1,,,,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24
