tag,lambda_l1,active_threshold,source_feature_count,selected_count,source_best_test_r2,selected_dnn_best_test_r2,selected_dnn_best_epoch,run_dir
lam002_thr010,0.002,0.1,40,38,0.6781716346740723,0.673505425453186,30,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam002_thr010/L1GateDNN_source
lam003_thr010,0.003,0.1,40,36,0.6963774561882019,0.6900202035903931,67,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam003_thr010/L1GateDNN_source
lam0035_thr010,0.0035,0.1,40,35,0.6738897562026978,0.6834285855293274,24,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam0035_thr010/L1GateDNN_source
lam004_thr010,0.004,0.1,40,31,0.6753180027008057,0.7166743278503418,51,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam004_thr010/L1GateDNN_source
lam0045_thr010,0.0045,0.1,40,31,0.6752921342849731,0.7050018906593323,63,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam0045_thr010/L1GateDNN_source
lam004_thr008,0.004,0.08,40,32,0.6753180027008057,0.691596508026123,41,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam004_thr008/L1GateDNN_source
lam004_thr012,0.004,0.12,40,30,0.6753180027008057,0.6959766149520874,91,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam004_thr012/L1GateDNN_source
lam003_thr015,0.003,0.15,40,33,0.6963774561882019,0.6690375804901123,34,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam003_thr015/L1GateDNN_source
lam004_thr015,0.004,0.15,40,27,0.6753180027008057,0.6884466409683228,25,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam004_thr015/L1GateDNN_source
lam005_thr015,0.005,0.15,40,24,0.686975359916687,0.6867067813873291,49,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/congestion_rt_gate_debug_grid/lam005_thr015/L1GateDNN_source
