目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,DGatingDNN,0.9639973483723585,0.9918190004028908,35,area_3_fuel_natural_gas_mw|area_1_fuel_coal_mw|reserve_spin_r1_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,STG,0.9007867378469163,0.9918190004028908,35,area_3_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_hydro_mw|area_2_fuel_coal_mw
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,LassoNet,0.9068287120895451,0.9918190004028908,35,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|system_losses_mw
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,XGBoost,0.8686557676726985,0.9918190004028908,35,area_1_fuel_wind_mw|area_1_fuel_solar_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,Lasso,0.9333113586375131,0.9918190004028908,35,area_1_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_solar_mw|area_3_fuel_wind_mw|system_losses_mw
bus_315_va_deg,节点315电压相角,95%,5,DGatingDNN,Pearson,0.8622019566583419,0.9918190004028908,35,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw|area_2_net_export_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,DGatingDNN,0.9639973483723585,0.9918190004028908,35,area_3_fuel_natural_gas_mw|area_1_fuel_coal_mw|reserve_spin_r1_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,STG,0.9007867378469163,0.9918190004028908,35,area_3_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_hydro_mw|area_2_fuel_coal_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,LassoNet,0.9068287120895451,0.9918190004028908,35,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|system_losses_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,XGBoost,0.8686557676726985,0.9918190004028908,35,area_1_fuel_wind_mw|area_1_fuel_solar_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,Lasso,0.9333113586375131,0.9918190004028908,35,area_1_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_solar_mw|area_3_fuel_wind_mw|system_losses_mw
bus_315_va_deg,节点315电压相角,97%,5,DGatingDNN,Pearson,0.8622019566583419,0.9918190004028908,35,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw|area_2_net_export_mw|area_3_fuel_solar_mw
