wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.53714037,0.49067375,0.53829324,0.49305922,0.43574798,0.4342948,0.57557505,0.42121193,0.5168108,0.49450338,0.38200292,0.53380173,0.5682918,0.53675216,0.47195414,0.52389854,0.45594037,0.47413898,0.5089994,0.51668787,0.56519467,0.5425903,0.41774055,0.52699476,0.4066715,0.42666644,0.43601805,0.4107758,0.41706732,0.4895214,0.48037165,0.47205007,0.42164984,0.5221692,0.43721664,0.49117282,0.5460266,0.4156313,0.49241725,0.52035016,0.45551017,0.5323945
0.55643314,0.48385245,0.55679077,0.49219754,0.4111887,0.4595829,0.6295382,0.36754936,0.5236077,0.50577253,0.29405802,0.55751884,0.5953877,0.559502,0.44876996,0.51365364,0.41877446,0.45275864,0.5038025,0.5319216,0.59998876,0.5670136,0.3414721,0.5515037,0.33300292,0.3805976,0.38775566,0.32959774,0.3439959,0.4713246,0.4488731,0.42564952,0.37383455,0.52617246,0.42097622,0.46044844,0.5645604,0.35871837,0.4778945,0.57466304,0.46876478,0.55786544
0.5796595,0.47829917,0.5706999,0.4807568,0.3705144,0.4698363,0.67027587,0.3460211,0.5437954,0.5112779,0.21855378,0.5706681,0.6198782,0.5939367,0.4502694,0.49196017,0.401839,0.43055877,0.49085006,0.55648196,0.61014843,0.58723897,0.25276747,0.572401,0.28336206,0.34988323,0.34816638,0.26539877,0.28722268,0.4543647,0.41464067,0.37273988,0.310939,0.53594285,0.3754413,0.4355689,0.56567866,0.3358418,0.47165224,0.64495975,0.48601398,0.57176787
0.6052054,0.496305,0.5808606,0.47708258,0.33045542,0.4704574,0.70039433,0.3240223,0.55227906,0.51467705,0.13296203,0.60472846,0.6502443,0.6199605,0.42724252,0.4870763,0.3752834,0.40493622,0.49847496,0.55557376,0.62611693,0.607302,0.15753476,0.5872504,0.2386668,0.33311298,0.30809933,0.20054129,0.24868852,0.42914942,0.37778404,0.31456596,0.24597125,0.56689465,0.34995756,0.39607412,0.57760507,0.28597322,0.46466377,0.72241324,0.52866435,0.5678999
0.62687606,0.503737,0.5896955,0.47217906,0.29696843,0.46370167,0.7296896,0.30227384,0.5808601,0.51394784,0.042246323,0.6234423,0.67973953,0.65802467,0.41558877,0.46693602,0.34748596,0.38562343,0.511081,0.5655297,0.65025586,0.64465034,0.095539846,0.6086801,0.18508124,0.30642265,0.25743812,0.14947419,0.21119174,0.41006163,0.33955947,0.24438831,0.19461627,0.58463264,0.31848115,0.35525006,0.58151144,0.24319704,0.46152577,0.78720707,0.54532975,0.5626665
0.64697623,0.4875694,0.59587204,0.4658147,0.27851903,0.4519028,0.7638221,0.27696016,0.60387194,0.5085916,-0.04993595,0.6476242,0.69777197,0.6901856,0.40105164,0.44302422,0.3258224,0.35915822,0.52098274,0.57849777,0.66258836,0.6591667,0.019282429,0.6253206,0.1359817,0.29064113,0.21633498,0.07065597,0.17280771,0.3916924,0.30627748,0.17298815,0.12811312,0.6087245,0.29086873,0.32207775,0.5770684,0.18650585,0.43131214,0.84897137,0.5729432,0.537335
0.673981,0.47655538,0.6081842,0.45383835,0.24924693,0.4526841,0.7894703,0.23323493,0.6317382,0.4933775,-0.13834974,0.67238045,0.7401115,0.72216904,0.40923992,0.41781604,0.28647158,0.32811126,0.51829594,0.59658617,0.66968185,0.68599015,-0.04245203,0.6420753,0.08582419,0.2723316,0.17114533,-0.0137252305,0.12703362,0.3620659,0.278392,0.10723434,0.07546446,0.64265984,0.26429868,0.2985879,0.58091414,0.14365447,0.40542465,0.909185,0.60963297,0.5528445
0.6870932,0.47340435,0.6224863,0.44113547,0.22362329,0.45380098,0.8162064,0.18881367,0.65064436,0.49602473,-0.2313447,0.6913315,0.75231147,0.7470155,0.3906913,0.39565742,0.2652936,0.296788,0.51676625,0.60428673,0.6790042,0.70851994,-0.08544099,0.6578575,0.032337554,0.25720012,0.11400731,-0.07041967,0.08499615,0.33578286,0.24543087,0.028411137,0.013518216,0.6765096,0.22124153,0.25851047,0.5825624,0.08982908,0.3853627,0.95850456,0.6336202,0.5665806
0.7016799,0.4542138,0.6282156,0.42329544,0.17804722,0.4650751,0.848775,0.14546135,0.67912793,0.48623013,-0.31123534,0.7068502,0.7810389,0.7778304,0.36773053,0.37167105,0.23485993,0.2526813,0.53301734,0.61115694,0.687353,0.730639,-0.14946623,0.6668123,-0.01788437,0.21601614,0.06693714,-0.14033079,0.024258744,0.30200252,0.20880595,-0.025886497,-0.04296992,0.698785,0.17979044,0.21144274,0.5837126,0.03755997,0.36524028,1.0221044,0.66706955,0.5667459
0.71272224,0.42571577,0.6336782,0.4058379,0.13824797,0.46801126,0.8716416,0.09471624,0.70273554,0.47592518,-0.39233384,0.7215061,0.8117178,0.810486,0.33476412,0.34052372,0.19538489,0.19117711,0.5307625,0.6145441,0.69535077,0.7508106,-0.20671923,0.6852938,-0.07331785,0.1780938,0.021236844,-0.19217968,-0.024180172,0.26757228,0.19209515,-0.10822635,-0.10402097,0.7192526,0.15651968,0.16680194,0.5931709,-0.018879648,0.32806084,1.0706853,0.7063947,0.5618351
0.7255894,0.40366316,0.6406006,0.38205945,0.105018124,0.45880696,0.8968444,0.05170579,0.7346714,0.4530877,-0.4571856,0.73366547,0.82940906,0.8416872,0.31980988,0.3132621,0.15332243,0.14210716,0.538976,0.6063749,0.6972251,0.769508,-0.26364473,0.67814153,-0.12239106,0.13300097,-0.03872995,-0.21313451,-0.069837414,0.24306543,0.14868322,-0.18257415,-0.17108305,0.7560982,0.12052224,0.13010804,0.59644544,-0.078883104,0.29434195,1.128067,0.7404955,0.5711378
0.7521337,0.37084284,0.65148157,0.3732138,0.061436262,0.45771676,0.9277056,0.0019243911,0.75405,0.44386414,-0.5204415,0.74769884,0.8551732,0.86618376,0.28824243,0.2795488,0.11350545,0.085558645,0.54277635,0.606764,0.70321,0.80242646,-0.31272563,0.69216716,-0.17493768,0.0860611,-0.109363124,-0.24908838,-0.11309926,0.21029232,0.109061934,-0.2568642,-0.23289996,0.79259,0.07535962,0.085793026,0.6097516,-0.13623488,0.2643191,1.1814866,0.78297,0.57372856
0.7714177,0.34691373,0.65932435,0.35425135,0.01727825,0.4474604,0.9660224,-0.060087524,0.801704,0.4222359,-0.58194894,0.76820946,0.8846281,0.8945871,0.25670186,0.23943287,0.059697505,0.028461568,0.5245443,0.6054039,0.7096351,0.83774674,-0.36363566,0.6904861,-0.23418938,0.040030517,-0.17497341,-0.2873985,-0.15801701,0.18654627,0.07008401,-0.3251524,-0.29855868,0.8203458,0.03487488,0.036098003,0.61681575,-0.20238744,0.22495227,1.227734,0.8228599,0.58005357
