gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,total_pjm_reg_purchases,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9407592,0.69746286,0.69705623,1.1120034,0.66951317,0.8057671,0.6914638,0.7506248,1.2176944,0.6761592,0.6968117,0.7737574,0.67913043,0.78909063,0.6973397,0.66104,0.7998741,0.8570592,0.77607864,0.7670716,0.66809857,0.68109864
0.7324526,0.44392496,0.43989998,0.9614168,0.43648273,0.5563959,0.43322918,0.51481676,1.1962308,0.43626225,0.48368785,0.60655046,0.44127232,0.5549177,0.4654066,0.42342687,0.5210637,0.68971384,0.6307069,0.6160962,0.42138547,0.44626197
0.5532336,0.27117696,0.26938364,0.82819307,0.27394062,0.3695067,0.26268896,0.3345042,1.1182901,0.2715571,0.32128298,0.45318297,0.27643386,0.37243354,0.29678544,0.2594956,0.33739027,0.53933537,0.48714828,0.47122264,0.26429975,0.28333122
0.40144637,0.15907122,0.15895143,0.70580214,0.16440596,0.23553982,0.15278436,0.20710342,1.0250288,0.16319539,0.20416026,0.32589096,0.16418126,0.23867598,0.18139721,0.15195422,0.21813105,0.40952355,0.35970902,0.34691867,0.16702826,0.17323582
0.2808403,0.088567846,0.0896462,0.5930411,0.09356083,0.14414547,0.08435271,0.12215787,0.9283963,0.094418675,0.12395934,0.22627334,0.0927062,0.14540988,0.10606205,0.084466964,0.14045511,0.30438444,0.25687274,0.2444234,0.11178529,0.1019017
0.1891511,0.04712358,0.048461795,0.49101132,0.05050467,0.08471792,0.043811493,0.06925888,0.83842814,0.052571848,0.07171938,0.15077373,0.05001412,0.08496229,0.059805837,0.044630397,0.09419868,0.22163323,0.17794853,0.16756824,0.07927245,0.05792832
0.12237948,0.024119323,0.025056867,0.4040087,0.025966287,0.04804894,0.021436702,0.037780985,0.75062007,0.028638862,0.03950629,0.096791185,0.025658844,0.048338912,0.03257572,0.022232622,0.0696719,0.16016369,0.12006598,0.1104344,0.061541237,0.031345673
0.07615437,0.011661805,0.012069359,0.33529502,0.012525316,0.02617675,0.009784975,0.0198458,0.67902464,0.0153036015,0.020598395,0.059653006,0.012483125,0.026855215,0.017272513,0.010396717,0.05739668,0.113872655,0.07827681,0.07005744,0.051843457,0.016122235
0.045154005,0.0053335098,0.0053490885,0.28258586,0.0056193997,0.01376332,0.0041438183,0.01010496,0.61363864,0.007870706,0.010123685,0.03545018,0.0057278965,0.014702067,0.00875639,0.004530386,0.05434063,0.08355861,0.0498405,0.04280793,0.04341652,0.0077358223
0.025529869,0.0022178867,0.0021591203,0.24128702,0.0023228296,0.006850402,0.0016166611,0.004794669,0.55107945,0.0037147922,0.0046783816,0.020261643,0.0024389892,0.0077697127,0.004090431,0.0018291464,0.052052252,0.06083049,0.030881938,0.025138412,0.039801013,0.0034192128
0.013654596,0.00082981767,0.00078953826,0.21032791,0.0008790944,0.0031537693,0.00057788903,0.002081443,0.50081354,0.0015768929,0.0020146405,0.011046108,0.0009461627,0.0037996843,0.001721674,0.0006744569,0.05193916,0.044405393,0.01851146,0.014150401,0.036557697,0.0013716761
