处置方式,target,中文名,选中数,R2
未处置,bus_115_va_deg,节点115电压相角,7,0.9799413312032131
加噪62%,bus_115_va_deg,节点115电压相角,7,0.7574339816150203
加噪65%,bus_115_va_deg,节点115电压相角,7,0.7410458892354472
加噪68%,bus_115_va_deg,节点115电压相角,7,0.7237722127502992
未处置,bus_215_va_deg,节点215电压相角,9,0.960408034373721
加噪62%,bus_215_va_deg,节点215电压相角,9,0.7964444028917568
加噪65%,bus_215_va_deg,节点215电压相角,9,0.7818916674152692
加噪68%,bus_215_va_deg,节点215电压相角,9,0.7668643470240306
未处置,bus_315_va_deg,节点315电压相角,7,0.9632693895620178
加噪62%,bus_315_va_deg,节点315电压相角,7,0.7699849661815185
加噪65%,bus_315_va_deg,节点315电压相角,7,0.7554812607387258
加噪68%,bus_315_va_deg,节点315电压相角,7,0.7410215401944078
未处置,branch_ab1_loading_pct,线路AB1负载率,7,0.9616055162618513
加噪62%,branch_ab1_loading_pct,线路AB1负载率,7,0.17865976138050899
加噪65%,branch_ab1_loading_pct,线路AB1负载率,7,0.16271976963287205
加噪68%,branch_ab1_loading_pct,线路AB1负载率,7,0.14321163261880243
未处置,branch_ab2_loading_pct,线路AB2负载率,11,0.9767851724220087
加噪62%,branch_ab2_loading_pct,线路AB2负载率,11,0.7893097192172124
加噪65%,branch_ab2_loading_pct,线路AB2负载率,11,0.7774453733969005
加噪68%,branch_ab2_loading_pct,线路AB2负载率,11,0.7678095326895008
未处置,branch_ab3_loading_pct,线路AB3负载率,9,0.9086988861041618
加噪62%,branch_ab3_loading_pct,线路AB3负载率,9,0.5012661543773458
加噪65%,branch_ab3_loading_pct,线路AB3负载率,9,0.482974031690534
加噪68%,branch_ab3_loading_pct,线路AB3负载率,9,0.46852154926438816
未处置,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9681977650914451
加噪62%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8162647386877174
加噪65%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8059453576128286
加噪68%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.7964672821397479
未处置,branch_cb_1_loading_pct,线路CB-1负载率,12,0.97185511082534
加噪62%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.8014760690301229
加噪65%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.7898924688599844
加噪68%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.7782571567835898
未处置,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9990158298957732
加噪62%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.543227748192509
加噪65%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.5192305093964533
加噪68%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.497209091551449
未处置,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9974364970533391
加噪62%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.5809520596031617
加噪65%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.5644318873290577
加噪68%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.5467633136886944
未处置,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9213162260045409
加噪62%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7224460199034963
加噪65%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7099284818208648
加噪68%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7046110961780621
未处置,gen_321_cc_1_status,机组321投入状态,4,0.9928930758296541
加噪62%,gen_321_cc_1_status,机组321投入状态,4,0.7791414721374269
加噪65%,gen_321_cc_1_status,机组321投入状态,4,0.7656580062956793
加噪68%,gen_321_cc_1_status,机组321投入状态,4,0.7519537961827462
