feature,gate_abs,effective_norm,gate_score,mask_sensitivity,mask_sensitivity_score,combined_score
gen_fuel_other_renewables_mw,1.186263,2.0395656,0.9917398,0.0266324877738952,0.999999999962452,0.995869904737772
congestion_price_da,1.1448677,2.0565531,1.0,0.0154948830604553,0.5818038176313876,0.7909019088156938
total_losses,0.7975844,1.1169289,0.5431073,0.0144556760787963,0.5427835432040572,0.5429454071992577
marginal_loss_price_da,0.8707309,1.2396343,0.6027728,0.0098981857299804,0.3716583224835215,0.4872155473978429
metered_load_mw,0.72480303,0.954903,0.46432206,0.0114330649375915,0.4292901599815534,0.4468061101640784
marginal_loss_price_rt,1.0439852,1.8200859,0.8850177,-0.0016490817070007,0.0,0.4425088465213775
total_lmp_da,0.965745,1.4562701,0.70811206,0.004617691040039,0.1733856438448031,0.4407488524342576
total_pjm_rmccp_cr,0.87775403,1.4462857,0.70325714,0.0034471750259399,0.1294349613553328,0.4163460524263999
system_energy_price_da,0.95492876,1.6547909,0.8046429,-0.000432550907135,0.0,0.402321457862854
total_pjm_loc_credit,0.92244965,1.4800366,0.71966857,0.001803696155548,0.0677254100628302,0.3936969886217319
rmccp,0.864036,1.3990997,0.68031293,0.0026565790176391,0.0997495630184179,0.3900312472780231
gross_inadv_interchange_mw,0.80653,1.1863451,0.5768609,0.0048686861991882,0.1828100416431104,0.379835473168357
total_pjm_self_sched_reg,0.7598964,1.0559287,0.51344585,0.0047440528869628,0.1781302943630675,0.3457880742750396
gen_fuel_multiple_fuels_pct,0.75601083,1.0987085,0.5342476,0.0040385723114013,0.1516408209978892,0.3429441990941442
total_pjm_assigned_reg,0.6359191,0.92577404,0.4501581,0.0062639117240905,0.2351981451013811,0.3426781172503594
