feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,best_gate
1,marginal_loss_price_da,1,40,congestion_price_da,0.1617378629391626,0.283599662652051,0.4233929153246037,0.1738935223797609,0.4899871938064103,0.110632090699062,1,1,1,1,1,1,6,0.4899871938064103,0.26097247
2,gen_fuel_oil_pct,2,20,congestion_price_da,0.1848507054221532,0.1386308431279842,0.3695687981983996,0.0988170697803725,0.4424444710075455,0.0919378041059711,1,1,1,1,1,1,6,0.4424444710075455,0.27489883
3,prelim_load_avg_hourly,3,26,congestion_price_da,0.1801206857875812,0.1805447662009532,0.3218401861652861,0.1517139282735613,0.4158044198471795,0.0744777295652294,1,1,1,1,1,1,6,0.4158044198471795,0.3342141
4,forecast_load_mw_latest_available,4,24,congestion_price_da,0.2059925520504627,0.2293026969006131,0.350588198316197,0.1533653044203503,0.4059239271862482,0.0746145022029865,1,1,1,1,1,1,6,0.4059239271862482,0.36655545
5,forecast_load_mw_day_ahead,5,25,congestion_price_da,0.138512696725938,0.1480261406030497,0.3263315043001288,0.1070058381984987,0.400582877589294,0.0737427111345988,1,1,1,1,1,1,6,0.400582877589294,0.25824988
6,total_gen,6,1,congestion_price_da,0.1497121999549725,0.23503722491249,0.3304045306909396,0.151541562413122,0.3877818787293857,0.0733420326529821,1,1,1,1,1,1,6,0.3877818787293857,0.27740628
7,gen_fuel_nuclear_pct,7,19,congestion_price_da,0.1055813877957346,-0.2041524615138545,-0.248930635033691,-0.1519001946066166,0.3569082382393115,0.0799583538707182,1,1,1,1,1,1,6,0.3569082382393115,0.039890993
8,metered_load_mw,8,27,congestion_price_da,0.1807599650192735,0.1866937832504293,0.2821491610871289,0.1269655268279121,0.3568973649975724,0.0738769391152588,1,1,1,1,1,1,6,0.3568973649975724,0.24552867
9,gen_fuel_hydro_mw,9,7,congestion_price_da,0.1184552606252907,0.2247424652566622,0.1788335580219601,0.1668223519599666,0.3518461467407828,0.0639098886730325,1,1,1,1,1,1,6,0.3518461467407828,0.20799334
10,da_as_mcp_synchronized_reserve,10,29,congestion_price_da,0.1130529205797234,0.2450768033375654,0.2757692930567105,0.1436655546288573,0.3394535512537061,0.0578603154899421,1,1,1,1,1,1,6,0.3394535512537061,0.24141136
