target,中文名,layer,band,residual_ratio,r2_of_relation,n_support,support,relation,removed,n_pool_after,test_r2_after
total_gen,总发电量,1,近似关系,0.09611543092615936,0.9907618239378787,16,wind_generation_mw|solar_generation_mw|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|prelim_load_avg_hourly|total_pjm_rt_load_mwh|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_rt|total_lmp_rt|gross_sched_interchange_mw,total_gen = +0.5571*wind_generation_mw +0.4712*solar_generation_mw -1.348e+05*gen_fuel_multiple_fuels_pct -2.464e+04*gen_fuel_nuclear_pct -4.391e+04*gen_fuel_solar_pct -5.429e+04*gen_fuel_wind_pct -1.932*prelim_load_avg_hourly +2.928*total_pjm_rt_load_mwh -5682*da_as_as_req_mw_primary_reserve +8525*da_as_as_req_mw_synchronized_reserve -3108*da_as_as_mw_primary_reserve +3109*da_as_as_mw_synchronized_reserve +3108*da_as_nsr_mw_primary_reserve +468.2*system_energy_price_rt -468.7*total_lmp_rt +0.7109*gross_sched_interchange_mw -5.304e+05,da_as_as_req_mw_synchronized_reserve,38,0.9915907776880183
total_gen,总发电量,2,近似关系,0.09743859359693385,0.9905057204778516,11,gen_fuel_multiple_fuels_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|total_pjm_reg_purchases|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_rt|total_lmp_rt|gross_sched_interchange_mw,total_gen = -1.016e+05*gen_fuel_multiple_fuels_pct +0.03837*forecast_load_mw_latest_available -2.129*prelim_load_avg_hourly +3.183*total_pjm_rt_load_mwh -4.377*total_pjm_reg_purchases -5266*da_as_as_mw_primary_reserve +5268*da_as_as_mw_synchronized_reserve +5267*da_as_nsr_mw_primary_reserve +795.3*system_energy_price_rt -794.6*total_lmp_rt +0.7436*gross_sched_interchange_mw -4387,da_as_nsr_mw_primary_reserve,37,0.9915781833121633
total_gen,总发电量,3,近似关系,0.09685499614765578,0.9906191097212376,9,gen_fuel_multiple_fuels_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|total_pjm_reg_purchases|da_as_as_req_mw_thirty_minutes_reserve|system_energy_price_rt|total_lmp_rt|gross_sched_interchange_mw,total_gen = -1.069e+05*gen_fuel_multiple_fuels_pct +0.03332*forecast_load_mw_latest_available -2.185*prelim_load_avg_hourly +3.241*total_pjm_rt_load_mwh -4.383*total_pjm_reg_purchases +2.79*da_as_as_req_mw_thirty_minutes_reserve +740.1*system_energy_price_rt -739.5*total_lmp_rt +0.7491*gross_sched_interchange_mw -9076,total_pjm_rt_load_mwh,36,0.9907725832122618
total_gen,总发电量,4,近似关系,0.09727875843859009,0.9905368431566465,17,solar_generation_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_wind_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|total_pjm_reg_purchases|total_pjm_rmccp_cr|da_as_as_mw_thirty_minutes_reserve|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,total_gen = +0.75*solar_generation_mw +6.14e+04*gen_fuel_coal_pct +7.308e+04*gen_fuel_gas_pct +7.833e+04*gen_fuel_hydro_pct +3.502e+04*gen_fuel_nuclear_pct +1.165e+05*gen_fuel_oil_pct +6.104e+04*gen_fuel_wind_pct +0.1084*forecast_load_mw_latest_available +0.8054*prelim_load_avg_hourly -10.86*rmccp -5.115*total_pjm_reg_purchases +0.01359*total_pjm_rmccp_cr +0.3115*da_as_as_mw_thirty_minutes_reserve +1124*system_energy_price_rt -1103*total_lmp_rt -2.323e+04*marginal_loss_price_rt +0.7964*gross_sched_interchange_mw -5.388e+04,system_energy_price_rt,35,0.9907254197215769
total_gen,总发电量,5,近似关系,0.0976176760666379,0.990470789319349,16,solar_generation_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_wind_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|total_pjm_reg_purchases|total_pjm_rmccp_cr|da_as_as_mw_thirty_minutes_reserve|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,total_gen = +0.7749*solar_generation_mw +6.4e+04*gen_fuel_coal_pct +7.55e+04*gen_fuel_gas_pct +8.13e+04*gen_fuel_hydro_pct +3.665e+04*gen_fuel_nuclear_pct +1.169e+05*gen_fuel_oil_pct +6.299e+04*gen_fuel_wind_pct +0.1107*forecast_load_mw_latest_available +0.7995*prelim_load_avg_hourly -12.43*rmccp -5.171*total_pjm_reg_purchases +0.01566*total_pjm_rmccp_cr +0.3147*da_as_as_mw_thirty_minutes_reserve +18.63*total_lmp_rt -2.321e+04*marginal_loss_price_rt +0.7964*gross_sched_interchange_mw -5.572e+04,prelim_load_avg_hourly,34,0.9862187018981208
metered_load_mw,计量负荷,1,高精度近似,0.00710130301257814,0.9999495714955235,6,prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve,metered_load_mw = +1.001*prelim_load_avg_hourly +114.1*da_as_as_req_mw_primary_reserve -171.2*da_as_as_req_mw_synchronized_reserve +139.6*da_as_as_mw_primary_reserve -139.6*da_as_as_mw_synchronized_reserve -139.6*da_as_nsr_mw_primary_reserve +1.041e+04,da_as_nsr_mw_primary_reserve,48,0.999923280616764
metered_load_mw,计量负荷,2,高精度近似,0.007107442794758658,0.9999494842569192,3,prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve,metered_load_mw = +1.001*prelim_load_avg_hourly +124.4*da_as_as_req_mw_primary_reserve -186.6*da_as_as_req_mw_synchronized_reserve +1.138e+04,da_as_as_req_mw_synchronized_reserve,47,0.9999231271109017
metered_load_mw,计量负荷,3,高精度近似,0.0071366881519125515,0.9999490676822224,1,prelim_load_avg_hourly,metered_load_mw = +1*prelim_load_avg_hourly -489,prelim_load_avg_hourly,46,0.9998805401200477
metered_load_mw,计量负荷,4,高精度近似,0.01409932354206537,0.9998012090756562,1,total_pjm_rt_load_mwh,metered_load_mw = +1.026*total_pjm_rt_load_mwh -442.1,total_pjm_rt_load_mwh,45,0.9949368124889444
metered_load_mw,计量负荷,5,近似关系,0.08753503318691766,0.9923376179649652,3,forecast_load_mw_latest_available|system_energy_price_rt|total_lmp_rt,metered_load_mw = +0.9835*forecast_load_mw_latest_available -463.4*system_energy_price_rt +467*total_lmp_rt +650.2,total_lmp_rt,44,0.9949269690561378
metered_load_mw,计量负荷,6,近似关系,0.0884864236560745,0.9921701528285577,1,forecast_load_mw_latest_available,metered_load_mw = +0.9896*forecast_load_mw_latest_available +302.6,forecast_load_mw_latest_available,43,0.9875966664217488
