total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4544657,0.53859633,0.4205178,0.47076982,0.49317282,0.489152,0.38714615,0.4504502,0.44922596,0.4197265,0.44850343,0.49705002,0.42926848,0.3994665,0.4780311,0.4500412,0.46298733,0.47301015,0.42398012,0.42967945,0.49084347,0.503201,0.3846711,0.42549938,0.42533958,0.4218673,0.40659013,0.41530865,0.4909762,0.47941345,0.5298382,0.3786358,0.5039405,0.39984506,0.43111244,0.41278285,0.4245317,0.3818938,0.40402105,0.41744733,0.4242109,0.40058523,0.43320057,0.46066028,0.43925294,0.41835037,0.4382948,0.46160954,0.41278666,0.44976124,0.40715745,0.41527978,0.42935857,0.41137114,0.42016688,0.40348783,0.5781134,0.620813
0.40957844,0.5673059,0.37099177,0.4561161,0.44344753,0.47127643,0.3349063,0.42651266,0.4495335,0.3690825,0.4178747,0.48208484,0.39858073,0.33878586,0.44217294,0.41749597,0.47037405,0.47059822,0.36681524,0.3454355,0.46062854,0.48417273,0.32483682,0.3717922,0.38388994,0.36205938,0.32928622,0.37953198,0.46219763,0.4755231,0.53942776,0.30977127,0.50290793,0.29944023,0.42789367,0.38143218,0.397411,0.29062742,0.32896432,0.34258735,0.3571852,0.35251805,0.40554696,0.4351539,0.37559977,0.3717452,0.38183922,0.43323115,0.3935195,0.41664055,0.33009246,0.3732086,0.43189806,0.37140968,0.4153824,0.3407188,0.6199329,0.7495699
0.3973144,0.5709719,0.32323164,0.42956588,0.3978925,0.4728595,0.3140909,0.4100594,0.44271109,0.33236322,0.38474244,0.4711874,0.3613027,0.28489354,0.4194038,0.3867981,0.47641608,0.46373883,0.3189956,0.27875388,0.4379314,0.46371603,0.27133542,0.33677617,0.33905536,0.31092033,0.2447784,0.3511724,0.44945183,0.45941237,0.54244083,0.23081769,0.49645862,0.22541717,0.42333186,0.31052545,0.36392656,0.21650976,0.26963398,0.2808617,0.29989606,0.2913031,0.37014672,0.4157531,0.3100967,0.33254644,0.3239194,0.40649065,0.37252977,0.38036275,0.28078434,0.31679177,0.41161203,0.31581947,0.3874517,0.2622085,0.6490428,0.8363392
0.36956,0.58633924,0.26449773,0.3985398,0.3404299,0.44613367,0.27243283,0.40820622,0.4556156,0.3037834,0.35919392,0.45323953,0.31388628,0.2330892,0.39007163,0.36837152,0.48016533,0.45707554,0.28100684,0.22325163,0.41607976,0.44650254,0.22796509,0.3032795,0.29615438,0.25808707,0.16333851,0.31765255,0.4231443,0.43394858,0.5570245,0.17104107,0.49748185,0.1471757,0.42034504,0.25766298,0.32867253,0.1395194,0.21647988,0.22778717,0.23901656,0.231414,0.3322402,0.40247372,0.249823,0.3010164,0.26868233,0.37072012,0.34167883,0.33791956,0.23219599,0.26331547,0.38911045,0.27826044,0.37685555,0.1892277,0.6853938,0.90416926
0.33322346,0.604096,0.20172662,0.37975806,0.2777633,0.44013265,0.24075349,0.40407526,0.4758599,0.28463843,0.31425837,0.43513316,0.27320677,0.16930282,0.35469744,0.3297153,0.46852306,0.45747963,0.25301012,0.15731817,0.3974525,0.4297022,0.16819939,0.2778854,0.26609382,0.21932624,0.08277804,0.27456665,0.40405145,0.41017795,0.56491697,0.10341884,0.47948483,0.069075085,0.42150977,0.21319306,0.2997197,0.07015978,0.13723928,0.15280205,0.1646005,0.1692227,0.29284406,0.3915438,0.17363149,0.26394504,0.19246079,0.33769402,0.30715,0.29233974,0.16870728,0.19969209,0.36626926,0.24271666,0.3643771,0.104092196,0.71311283,0.9813398
0.300132,0.6245248,0.14859103,0.3545661,0.23559691,0.4335863,0.21432902,0.40735114,0.4848784,0.25380245,0.28869778,0.41638094,0.21580926,0.10511199,0.31601188,0.3236299,0.47572252,0.48217496,0.20317957,0.092686795,0.38484764,0.4097908,0.10299943,0.24116246,0.22597976,0.18811916,0.0,0.23283096,0.37888575,0.40401882,0.5804137,0.023038259,0.48761722,0.004522739,0.42515168,0.15418363,0.26464576,0.0,0.06465948,0.10035675,0.101389885,0.106308796,0.24360003,0.38164356,0.09199359,0.22708558,0.11853541,0.31029755,0.26607814,0.24159008,0.09081826,0.13486537,0.34070757,0.20343484,0.35311115,0.0149681615,0.7497487,1.0
0.2721654,0.6307947,0.112064354,0.3306352,0.18369363,0.43150875,0.17195162,0.3923594,0.49849108,0.22064982,0.25875196,0.39124244,0.16819237,0.034982946,0.28826064,0.31099212,0.46754867,0.49373528,0.16151994,0.036226634,0.36119416,0.4025425,0.056469604,0.21852572,0.1725698,0.15092997,0.0,0.182308,0.35269538,0.3857547,0.58402497,0.0,0.47405767,0.0,0.40818372,0.09055206,0.22892372,0.0,0.0,0.06163777,0.025009295,0.03738678,0.20276746,0.36118087,0.020838067,0.18213287,0.031604547,0.25825828,0.21583831,0.18500546,0.006503673,0.061848518,0.30306512,0.17098053,0.33965173,0.0,0.77352226,1.0
0.24602936,0.63796675,0.04809033,0.3185043,0.13750285,0.42785692,0.14997013,0.3889402,0.5000417,0.18077372,0.23015384,0.37231377,0.12003509,0.0,0.25390995,0.28302398,0.475993,0.5085312,0.11971254,0.0,0.35347566,0.3844062,0.012908245,0.18653065,0.1334901,0.09446287,0.0,0.1339984,0.32638666,0.35576323,0.6064062,0.0,0.46030957,0.0,0.40272883,0.0316075,0.19784921,0.0,0.0,0.01085233,0.0,0.0,0.17155157,0.351105,0.0,0.12897596,0.0,0.22252044,0.1807994,0.11627633,0.0,0.0,0.2698796,0.1240893,0.31185225,0.0,0.81014705,1.0
0.21552831,0.65529054,0.006749813,0.2716295,0.080862015,0.41367498,0.10846698,0.37395746,0.51571596,0.13753568,0.19956627,0.33634028,0.050896045,0.0,0.21901916,0.27030843,0.47972706,0.5282829,0.06642173,0.0,0.3459538,0.35660085,0.0,0.1471179,0.08108381,0.04680713,0.0,0.086111784,0.29816023,0.32852304,0.62654936,0.0,0.4485151,0.0,0.40280896,0.0,0.15908295,0.0,0.0,0.0,0.0,0.0,0.123568445,0.3374441,0.0,0.06304793,0.0,0.17821339,0.15148024,0.042779706,0.0,0.0,0.23096018,0.10783679,0.30844194,0.0,0.84086597,1.0
