wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.79513127,0.78505653,0.7596341,0.75728124,0.7630717,0.98909646,0.7132224,0.8049343,0.8140302,0.7357843,0.95193034,0.78819144,0.81120753,0.8116215,0.76791024,0.9683144,0.9084806,1.006445,0.70904624,0.8165945,0.7922234,0.9724227,0.7331528,0.880549,0.72373617,0.837415,0.809743,0.7778451,0.71603036,0.7445206,1.0155231,0.7322175,0.7227176,0.8598884,0.7936841,0.7223421,0.711225,0.75249445,0.8231746,0.77956617,0.79569274,0.77663815,0.9349524,1.0709345,1.0626355,0.7436942,0.83420634,0.7922741
0.6881812,0.68495566,0.5898124,0.5950871,0.66139305,0.934549,0.5852541,0.7392738,0.6935025,0.5578595,0.9155408,0.6372646,0.71048355,0.80261284,0.62257814,0.93145335,0.84010184,1.0100543,0.50542873,0.70548207,0.6664363,0.85469884,0.5840626,0.80279166,0.56005687,0.7237999,0.7293488,0.6404415,0.5600138,0.59873724,0.9502345,0.5938364,0.6463384,0.83533204,0.6995467,0.50941664,0.5578646,0.5636714,0.7109455,0.691612,0.64803755,0.65493757,0.8499343,1.1173006,1.0904524,0.5578474,0.76263654,0.6909551
0.6333759,0.64066625,0.49878845,0.47315633,0.60096294,0.88053113,0.5338699,0.70909315,0.6179191,0.44859627,0.90071326,0.5381119,0.69188726,0.8259964,0.5350594,0.9048599,0.77365375,0.99264205,0.3927797,0.6397025,0.6099687,0.7786395,0.49695528,0.75256133,0.4704974,0.6463161,0.7008137,0.51547277,0.4656431,0.5156822,0.89929414,0.53854495,0.645825,0.8035569,0.64670557,0.4068906,0.46351886,0.47380614,0.63791394,0.63643223,0.58949023,0.5604691,0.774265,1.0837848,1.048055,0.44673765,0.7272932,0.619967
0.56923616,0.6180492,0.43524858,0.41265756,0.56763023,0.83907413,0.4959081,0.71807814,0.57714564,0.37977254,0.8865674,0.47072902,0.67095935,0.81073856,0.48870018,0.8772274,0.73259586,1.0285939,0.30838102,0.6117605,0.555731,0.7229833,0.41436395,0.68978333,0.40203774,0.584515,0.64527124,0.45286146,0.38536736,0.4669149,0.8626717,0.49613184,0.63251054,0.7722489,0.6146572,0.33893293,0.40306875,0.41661084,0.5650443,0.6179178,0.54609436,0.50022745,0.7405937,1.0873303,1.0272672,0.38751757,0.719395,0.56747746
0.53396004,0.5851779,0.3918951,0.34888324,0.52648634,0.77618533,0.4534575,0.7034149,0.5319759,0.3223865,0.84136677,0.4226651,0.657912,0.7931028,0.43715948,0.8319255,0.6887941,1.0184301,0.2492145,0.5836561,0.52980703,0.661625,0.35520345,0.6325357,0.3489747,0.5242847,0.64487207,0.38317606,0.3366254,0.44029862,0.82507885,0.46711335,0.6253118,0.7761974,0.58347476,0.28507102,0.3511124,0.35298675,0.5000722,0.57458115,0.5242494,0.42790458,0.7099486,1.0737936,0.996963,0.34315184,0.7019058,0.5424518
0.52691644,0.5604754,0.35501206,0.29168102,0.5020665,0.72040373,0.4336001,0.69062656,0.505842,0.28272018,0.8124338,0.37768364,0.6412437,0.8020871,0.3944604,0.80232733,0.63618153,1.0073773,0.20689386,0.58302015,0.5060383,0.5917341,0.29436702,0.62616384,0.3178707,0.46496254,0.6447272,0.333884,0.28156182,0.4151653,0.8127913,0.43348587,0.61896384,0.7640281,0.5694198,0.23942079,0.30060667,0.31390446,0.46516627,0.5361212,0.5120591,0.3715096,0.6784881,1.0615488,0.9631308,0.30195934,0.733301,0.5089961
0.5218207,0.52029884,0.32052237,0.24875917,0.47474357,0.6735446,0.4019024,0.6659472,0.47122988,0.23580253,0.7817368,0.3679597,0.6110081,0.7766474,0.37322626,0.77733,0.6113544,0.99588543,0.16610081,0.56497383,0.4913955,0.55396974,0.24894373,0.6029699,0.2861389,0.40872574,0.62075424,0.30355722,0.23800544,0.39134416,0.7865111,0.42161104,0.6086751,0.75395995,0.54309064,0.19644167,0.2668368,0.2805168,0.41462386,0.5092589,0.54015416,0.32540828,0.6551466,1.047058,0.93385744,0.26931345,0.71513927,0.5055447
0.50146025,0.4846365,0.28894013,0.21112181,0.44846514,0.6419973,0.37289852,0.65571845,0.46032488,0.20103857,0.7459014,0.32282758,0.58893657,0.7757816,0.34458807,0.7515861,0.5730925,0.98599946,0.13743341,0.55713534,0.47082382,0.50133836,0.21038388,0.5888413,0.24980995,0.3609109,0.59622896,0.2715753,0.20322095,0.4015424,0.74359834,0.405557,0.58719254,0.74366087,0.52021074,0.16275683,0.24460576,0.24850243,0.38213426,0.48289445,0.53446317,0.28130028,0.63816255,1.0356705,0.91561097,0.2473907,0.69391316,0.49613982
0.48109913,0.46993807,0.2607746,0.18226722,0.43503693,0.6136715,0.34066963,0.6499048,0.43372622,0.17414394,0.73226064,0.29831657,0.5725311,0.75167614,0.3250287,0.74346244,0.5461,0.9737718,0.10953161,0.5478223,0.45465216,0.4765432,0.17777316,0.56293344,0.22831109,0.31270766,0.58030206,0.24625663,0.18002938,0.3913895,0.72352546,0.4008944,0.5505425,0.7245558,0.51185995,0.13780199,0.21777731,0.2239433,0.35360926,0.46066207,0.5367573,0.2492349,0.6274997,1.0214552,0.8972655,0.22493064,0.68409413,0.4956017
0.4706337,0.44827855,0.2422945,0.16003673,0.4052679,0.5897268,0.31637228,0.6277118,0.41648138,0.14950426,0.67430836,0.26837948,0.5516239,0.7557098,0.30560616,0.7264263,0.5186583,0.949616,0.08857479,0.52381444,0.44908845,0.43711612,0.14888304,0.54728043,0.20652448,0.27646497,0.55234885,0.21234201,0.15832226,0.38091388,0.7088949,0.38870582,0.5576118,0.72321266,0.5101136,0.11244605,0.1928974,0.2047492,0.33198527,0.4355521,0.52412045,0.22211438,0.60839045,1.0010868,0.8668936,0.2026788,0.7029774,0.5012366
0.46567714,0.41685164,0.22244304,0.13645853,0.4053704,0.55675787,0.29347515,0.61495197,0.412152,0.12416593,0.67756474,0.24673487,0.54095066,0.7279812,0.28876987,0.711087,0.5058934,0.9654682,0.07378036,0.50686705,0.4378458,0.43494424,0.12343895,0.5217053,0.17998667,0.23600557,0.53533375,0.20480081,0.14135177,0.3798261,0.6619701,0.370268,0.5160677,0.6899095,0.50863713,0.08960899,0.16579917,0.18546438,0.31271312,0.4357975,0.52889746,0.2023491,0.60921603,0.99358845,0.84839475,0.18395482,0.69592506,0.49548617
