方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9970968414271708,area_3_fuel_solar_mw|area_3_fuel_wind_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9970811115424044,area_3_fuel_solar_mw|area_3_fuel_wind_mw|area_3_load_actual_mw|area_3_fuel_coal_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9973703828522416,area_3_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_load_day_ahead_mw
XGBoost,树模型特征重要性（2016）,0.9162391142367272,area_3_fuel_coal_mw|reserve_spin_r3_mw|area_3_load_actual_mw|area_3_fuel_wind_mw
Lasso,线性稀疏（1996）,0.8782595610337847,area_3_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|gen_fuel_coal_mw
Pearson,相关系数排序（只看两两关系）,0.8574540656167551,area_3_fuel_coal_mw|gen_fuel_coal_mw|area_3_fuel_wind_mw|gen_fuel_wind_mw
