area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.71809137,0.6651031,0.70964074,0.69088817,0.72385496,0.7035784,0.69694364,0.72413594,0.6993375,1.0448359,0.77720636,0.73850787,0.73872,0.67945945,0.7293463,0.92244804,0.77213526,0.6670765,1.1140975,1.0481223
0.5340192,0.43879175,0.5383758,0.48141187,0.54370326,0.45198616,0.5339377,0.57208586,0.497087,0.90777934,0.66565055,0.54265934,0.6401643,0.4841491,0.5943457,1.0870109,0.7852536,0.42367432,1.0050962,0.9682801
0.43738776,0.28728446,0.43112662,0.33292413,0.430589,0.29238603,0.41233522,0.4752851,0.36265832,0.8163536,0.57325214,0.40185997,0.57674897,0.34393618,0.4990073,1.0403568,0.7297634,0.2823912,0.9191453,0.9102903
0.37537453,0.18384749,0.34846303,0.22958423,0.3469765,0.19108124,0.3183752,0.4056253,0.26956484,0.73848575,0.48403746,0.29278037,0.53023946,0.2522377,0.43081293,0.99057466,0.6874248,0.18834211,0.833898,0.85311234
0.3271433,0.11514337,0.28188035,0.15587904,0.28534934,0.1259822,0.24664928,0.34953412,0.20571311,0.6648975,0.40524083,0.21171872,0.48572525,0.19073868,0.3730753,0.9391787,0.6567105,0.123836964,0.77020884,0.81231534
0.29119143,0.07056391,0.2284628,0.10297305,0.2368872,0.08214675,0.18934295,0.3072909,0.15714636,0.59534836,0.33855557,0.15191847,0.45362186,0.15089492,0.32871768,0.8922621,0.63097113,0.07755729,0.70952404,0.7711832
0.26192242,0.04153184,0.18646327,0.0662673,0.19793645,0.053068217,0.14336163,0.2782022,0.11977015,0.5396191,0.29250184,0.10444762,0.43059695,0.12483181,0.29175857,0.852793,0.6066055,0.04689903,0.6565346,0.7265047
0.2322016,0.023415275,0.15560268,0.041273527,0.16252588,0.033298932,0.10841816,0.2504813,0.089582555,0.48631462,0.2513927,0.06940642,0.4031193,0.10548115,0.26809686,0.8168203,0.5870851,0.026421532,0.6189156,0.6978833
0.20977509,0.012503422,0.12672381,0.025052035,0.1358445,0.020336023,0.07884093,0.23112069,0.06707105,0.44230503,0.2165093,0.045023844,0.3835983,0.09331896,0.24375401,0.7823861,0.57045394,0.013486978,0.58582646,0.67068887
