target_label,DNN_AllFeatures,ElasticNet,L1GateDNN,Lasso,NMI,Pearson,RandomForest,Spearman,XGBoost
congestion_price_da,0.9407544732093811,0.9953500628471375,0.9953500628471375,0.9953500628471375,0.17332786321640015,0.2578301429748535,0.9953500628471375,0.3458625078201294,0.2316361665725708
congestion_price_rt,0.7255069017410278,0.5912782549858093,0.6961325407028198,0.5624282956123352,0.6261767148971558,0.5851618647575378,0.6659987568855286,0.5886321067810059,0.6367721557617188
da_as_total_mw_primary_reserve,0.8494500517845154,0.4537014961242676,0.8844594955444336,0.49200254678726196,0.7539109587669373,0.7215263843536377,0.8169963955879211,0.7215263843536377,0.8673925399780273
da_as_total_mw_thirty_minutes_reserve,0.8967359662055969,0.8574366569519043,0.8978617191314697,0.8611561059951782,0.812332034111023,0.8586293458938599,0.8949406147003174,0.8436543941497803,0.8846973180770874
gross_actual_interchange_mw,0.8499119877815247,0.815561056137085,0.8613854050636292,0.7833449840545654,0.7590274810791016,0.8353278636932373,0.8546140789985657,0.8163120746612549,0.8021014928817749
marginal_loss_price_da,0.8936111927032471,0.8888623714447021,0.8871117234230042,0.902501106262207,0.8091385364532471,0.7324895858764648,0.8935073614120483,0.8115472197532654,0.8711026906967163
metered_load_mw,0.9157376885414124,0.8939256072044373,0.9110333323478699,0.8854235410690308,0.8417706489562988,0.861942708492279,0.8921175599098206,0.8514848351478577,0.8848270773887634
net_actual_interchange_mw,0.967963695526123,0.9427754282951355,0.9622367024421692,0.941131591796875,0.7950670719146729,0.8376451134681702,0.8956519365310669,0.8281574845314026,0.8963561058044434
net_sched_interchange_mw,0.9691498875617981,0.9440496563911438,0.9573473930358887,0.9381153583526611,0.7969028949737549,0.8236398100852966,0.8822248578071594,0.8240293264389038,0.8742449879646301
total_gen,0.9252952337265015,0.8907139897346497,0.9173318147659302,0.8922024965286255,0.8447401523590088,0.8717396259307861,0.9068204164505005,0.8417447209358215,0.8931435942649841
total_lmp_da,0.9622096419334412,0.9141140580177307,0.9572558403015137,0.916833221912384,0.9172274470329285,0.8990747332572937,0.9300695061683655,0.9073359370231628,0.9208559393882751
total_losses,0.9412600994110107,0.9108103513717651,0.9507260918617249,0.9253013134002686,0.9164354801177979,0.9054287672042847,0.9355309009552002,0.9012232422828674,0.9248039126396179
