方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool,目标
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9777906260046706,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9707203299911368,area_1_fuel_wind_mw|area_1_fuel_coal_mw|gen_fuel_nuclear_mw|system_losses_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9492126468483167,system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_3_net_export_mw|area_1_fuel_hydro_mw|area_1_net_export_mw|area_1_fuel_nuclear_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
XGBoost,树模型特征重要性（2016）,0.9705454190399242,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
Lasso,线性稀疏（1996）,0.9702233850886778,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_hydro_mw|area_3_net_export_mw|area_1_fuel_coal_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
Pearson,相关系数排序（只看两两关系）,0.8782003108534545,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw,bus_115_va_deg,节点115电压相角,7,0.9880940106453325,42,bus_115_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9713702961487317,area_1_fuel_coal_mw|area_1_load_day_ahead_mw|gen_fuel_wind_mw|area_1_fuel_solar_mw|gen_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_2_fuel_coal_mw|area_1_net_export_mw,bus_215_va_deg,节点215电压相角,9,0.987103300333146,34,bus_215_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9641270789822987,gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_load_day_ahead_mw|area_1_load_actual_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|system_losses_mw|area_1_net_export_mw|area_1_fuel_wind_mw,bus_215_va_deg,节点215电压相角,9,0.987103300333146,34,bus_215_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9467791645421352,system_losses_mw|area_3_fuel_solar_mw|area_1_net_export_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_1_fuel_solar_mw|reserve_spin_r1_mw|reserve_reg_down_mw,bus_215_va_deg,节点215电压相角,9,0.987103300333146,34,bus_215_va_deg
XGBoost,树模型特征重要性（2016）,0.9398539571443565,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_fuel_wind_mw|area_1_generation_mw|reserve_reg_up_mw|area_3_fuel_coal_mw|area_1_load_actual_mw,bus_215_va_deg,节点215电压相角,9,0.987103300333146,34,bus_215_va_deg
