area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45308414,0.38866168,0.40077877,0.4012719,0.46468583,0.44826588,0.42491066,0.3955014,0.54575646,0.5253865,0.5224193,0.47152767,0.5251238,0.58476806,0.43637645,0.44554707,0.3819473,0.469103,0.54110724,0.48695314,0.49177903,0.5350326,0.53597283,0.44647363,0.4968447,0.46317026,0.5924985,0.55297565,0.4366579,0.49756452,0.48526347,0.4403484,0.47589576,0.42494184,0.58550364,0.5614212,0.4835916,0.55066067,0.41351804,0.41106614
0.40896928,0.29502302,0.3392412,0.3291031,0.43616053,0.40905586,0.3478296,0.31321296,0.56823975,0.5174416,0.5099615,0.48333117,0.5413238,0.6041484,0.41057798,0.391846,0.30429423,0.46453607,0.556812,0.46772453,0.4725857,0.5604194,0.54662645,0.4045181,0.49246824,0.41464108,0.66562337,0.5970526,0.36690244,0.50907177,0.5110327,0.41023707,0.4902976,0.37124136,0.62849516,0.6063628,0.4521412,0.58928216,0.32679534,0.31912863
0.35981318,0.20192657,0.28134608,0.28762025,0.39206085,0.35677582,0.277532,0.2244701,0.5816786,0.5134391,0.5031717,0.4860092,0.556919,0.6297035,0.35365236,0.31300348,0.24406025,0.44163015,0.57764035,0.44596374,0.45617375,0.57827556,0.56052816,0.37576032,0.49417925,0.34833646,0.73520064,0.62105846,0.30065256,0.5043551,0.50004,0.4139281,0.48041317,0.313855,0.67218304,0.6464,0.4188614,0.6173377,0.27347758,0.22805102
0.30518562,0.12481161,0.23351404,0.24612193,0.35458997,0.29120108,0.20555307,0.14206567,0.60621643,0.50027996,0.49666047,0.5139813,0.5634686,0.6519198,0.29609653,0.22813307,0.17370859,0.43567902,0.5981138,0.42907268,0.43160218,0.6190683,0.5682415,0.348449,0.4758409,0.27542046,0.8079984,0.64141524,0.21940514,0.50858265,0.4964518,0.41303465,0.48763987,0.25432903,0.7012377,0.69586575,0.38362446,0.64822686,0.23182218,0.13024788
0.24349712,0.05793198,0.1893126,0.20293887,0.30177122,0.22591186,0.15364407,0.049986497,0.62621987,0.472385,0.47914356,0.5518455,0.57638025,0.6850977,0.22669338,0.14050537,0.12148598,0.40974653,0.6037425,0.39869156,0.40541717,0.6443171,0.5630505,0.30640388,0.46192878,0.19530429,0.86628467,0.6575164,0.12963577,0.5059706,0.48294893,0.40287256,0.4728113,0.17406133,0.72919893,0.7401887,0.37174582,0.6760925,0.18497291,0.03594171
0.17458817,-0.023393825,0.13317454,0.14421643,0.22248138,0.15445238,0.10136694,-0.036149923,0.6292547,0.44555405,0.47629935,0.57444155,0.5972054,0.7070794,0.15443152,0.05645152,0.072068624,0.4093731,0.6207906,0.36097574,0.38727084,0.6581978,0.56540465,0.2674793,0.42547867,0.10698325,0.9008074,0.6816027,0.03423218,0.4924284,0.46523505,0.40201557,0.46665844,0.08714582,0.76138353,0.7851041,0.33488053,0.70574236,0.15896046,-0.047637716
0.094513364,-0.10982683,0.093475714,0.090013936,0.1537744,0.07544662,0.045485392,-0.12845728,0.64443755,0.42067796,0.47183537,0.59277153,0.61248094,0.73460555,0.08326601,-0.05044905,0.03605439,0.3768548,0.6232816,0.32827932,0.36240083,0.67571,0.56189376,0.22031167,0.38872674,0.009602169,0.9534454,0.70777047,-0.061535936,0.4818371,0.4497408,0.3789263,0.44190422,0.016067252,0.7768391,0.827627,0.30843505,0.7331894,0.1293819,-0.1367336
0.015759602,-0.1949665,0.05346102,0.030180048,0.07361272,-0.0010548639,-0.0055459808,-0.2084356,0.6643044,0.38235122,0.45961663,0.6147136,0.61591804,0.7609153,-0.0036974824,-0.1487378,0.00053147215,0.3503358,0.62968165,0.290632,0.35515717,0.691772,0.5553615,0.16517656,0.36648682,-0.0793718,0.9905053,0.7180559,-0.16431028,0.46945894,0.43889868,0.36935082,0.44499192,-0.056950446,0.80138725,0.8749878,0.2687507,0.7670217,0.09907306,-0.22675002
-0.06751145,-0.286059,0.02262113,-0.027158557,0.008332438,-0.09238073,-0.04731721,-0.2854021,0.67861474,0.3526189,0.44885936,0.6565707,0.63002735,0.7875189,-0.08930637,-0.2383434,-0.028871808,0.32510263,0.6298796,0.23822185,0.33286703,0.70008785,0.5535299,0.110015504,0.31973487,-0.17430979,1.0329187,0.74471253,-0.26514432,0.46286544,0.41322613,0.363551,0.42868406,-0.12857485,0.814493,0.90181386,0.218458,0.7843632,0.06750885,-0.29994908
-0.15411872,-0.36903197,-0.0011020299,-0.09950969,-0.07090125,-0.17835632,-0.07637862,-0.35574412,0.69896805,0.29788414,0.4410771,0.69183445,0.63783,0.8069641,-0.17848341,-0.3309515,-0.069505565,0.29332948,0.63433397,0.17274876,0.31945387,0.70973605,0.54719853,0.045312017,0.27050823,-0.27561548,1.0839591,0.76518464,-0.35269323,0.43796915,0.38741937,0.35662228,0.41682658,-0.20114535,0.83733153,0.9408484,0.18151693,0.8049394,0.03872485,-0.37554792
-0.2410919,-0.44251728,-0.03934536,-0.16047445,-0.13993976,-0.25734946,-0.13637753,-0.42133266,0.7145175,0.2432553,0.43771213,0.7308239,0.6602248,0.8298716,-0.26596338,-0.416957,-0.12351607,0.25638616,0.6338715,0.10111741,0.2922011,0.7294582,0.53596604,-0.021452563,0.22100216,-0.35241958,1.1227254,0.78326505,-0.439682,0.42586207,0.37790617,0.35244772,0.40335038,-0.28261328,0.8614915,0.9950211,0.12622893,0.8228308,0.022228688,-0.43234777
-0.31750104,-0.514838,-0.07367555,-0.21911208,-0.22438896,-0.3420308,-0.17807107,-0.48008016,0.7190981,0.20072374,0.43278402,0.7786874,0.6956421,0.86091137,-0.34117237,-0.49251464,-0.16208541,0.21576017,0.6294463,0.03340095,0.26219288,0.7365478,0.5300168,-0.08354095,0.17399041,-0.4329229,1.1717545,0.79463035,-0.5080314,0.4110568,0.35872254,0.3388479,0.37927714,-0.3566833,0.8775979,1.0212628,0.08308838,0.84606445,-0.005077322,-0.49307486
-0.39417502,-0.5826738,-0.104297705,-0.27828893,-0.3064464,-0.4151292,-0.215549,-0.54602414,0.745272,0.1349169,0.43922868,0.82075787,0.70941055,0.8868254,-0.41098744,-0.56315356,-0.18412559,0.16528744,0.631557,-0.04081106,0.23374104,0.76267123,0.5198616,-0.15195599,0.099296115,-0.5020027,1.2022047,0.8054378,-0.56783646,0.37510905,0.32620144,0.31549898,0.36224744,-0.421657,0.8798855,1.0490203,0.046726495,0.8828076,-0.025148066,-0.5530534
