name,group,note,feature_count,best_test_mse,best_test_r2,best_epoch
all_55,baseline,,55,0.02927605013317633,0.9690972566604614,103
B_only,core,,9,0.07702879792238336,0.9186911582946777,118
I1_only,increment,,4,0.689688260780602,0.27198994159698486,98
I2_only,increment,,4,0.7738563391130145,0.18314522504806519,108
I1_union_I2_only,increment,,8,0.622254284916491,0.3431709408760071,70
S1_B_union_I1,path,,13,0.06711576952280976,0.9291549921035767,98
S2_B_union_I2,path,,13,0.07215121717805542,0.923839807510376,119
S12_B_union_I1_I2,path,,17,0.067159227884897,0.9291091561317444,111
without_B,removed,,46,0.08780686131951104,0.9073142409324646,92
without_I1,removed,,51,0.029489502259643703,0.9688719511032104,115
without_I2,removed,,51,0.02930979471562839,0.9690616130828857,94
without_I1_I2,removed,,47,0.033088128746873356,0.9650733470916748,98
without_S1,removed,,42,0.09926188544074936,0.8952227234840393,97
without_S2,removed,,42,0.09370359443355261,0.9010899066925049,95
without_S12,removed,,38,0.08554874374190481,0.9096978306770325,97
without_B_keep_I1_I2_only_remainder,removed,,38,0.0894692066954676,0.9055595397949219,111
B_minus__gen_fuel_nuclear_mw,leave_one_base_from_B,gen_fuel_nuclear_mw,8,0.17016840068532563,0.8203763961791992,118
S1_minus__gen_fuel_nuclear_mw,leave_one_base_from_S1,gen_fuel_nuclear_mw,12,0.11603116481451363,0.8775216937065125,120
S2_minus__gen_fuel_nuclear_mw,leave_one_base_from_S2,gen_fuel_nuclear_mw,12,0.14977665596482595,0.8419011831283569,117
all_minus_base__gen_fuel_nuclear_mw,leave_one_base_from_all,gen_fuel_nuclear_mw,54,0.03858205344721039,0.959274172782898,120
B_minus__gen_fuel_gas_mw,leave_one_base_from_B,gen_fuel_gas_mw,8,0.3079757476452647,0.6749119758605957,114
S1_minus__gen_fuel_gas_mw,leave_one_base_from_S1,gen_fuel_gas_mw,12,0.26109180038386004,0.7244009375572205,120
S2_minus__gen_fuel_gas_mw,leave_one_base_from_S2,gen_fuel_gas_mw,12,0.2540721123720088,0.7318106889724731,120
all_minus_base__gen_fuel_gas_mw,leave_one_base_from_all,gen_fuel_gas_mw,54,0.034331658673359126,0.9637607336044312,114
B_minus__gen_fuel_wind_mw,leave_one_base_from_B,gen_fuel_wind_mw,8,0.2314904102396856,0.7556470632553101,106
S1_minus__gen_fuel_wind_mw,leave_one_base_from_S1,gen_fuel_wind_mw,12,0.1916512338240154,0.7976998686790466,112
S2_minus__gen_fuel_wind_mw,leave_one_base_from_S2,gen_fuel_wind_mw,12,0.21429763902433036,0.7737951874732971,118
all_minus_base__gen_fuel_wind_mw,leave_one_base_from_all,gen_fuel_wind_mw,54,0.03336209886730081,0.9647841453552246,109
B_minus__gen_fuel_coal_mw,leave_one_base_from_B,gen_fuel_coal_mw,8,0.23442720440102788,0.7525471448898315,108
S1_minus__gen_fuel_coal_mw,leave_one_base_from_S1,gen_fuel_coal_mw,12,0.20421615229328957,0.784436821937561,106
S2_minus__gen_fuel_coal_mw,leave_one_base_from_S2,gen_fuel_coal_mw,12,0.22664035070778393,0.7607666254043579,118
all_minus_base__gen_fuel_coal_mw,leave_one_base_from_all,gen_fuel_coal_mw,54,0.0348378976312943,0.9632263779640198,113
B_minus__total_pjm_rt_load_mwh,leave_one_base_from_B,total_pjm_rt_load_mwh,8,0.07117424315841096,0.924871027469635,120
S1_minus__total_pjm_rt_load_mwh,leave_one_base_from_S1,total_pjm_rt_load_mwh,12,0.0680236518666966,0.9281966686248779,111
