total_gen,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0145305,1.0933057,0.7740916,1.0014935,0.7876972,0.7711662,0.87889487,1.0824783,0.9445324,0.882975,0.799979,0.8906398,1.124172,0.889065,0.7576475,0.81694776,0.835576,0.88049203,0.98589283,0.7824375,0.8537071,0.709956,0.9062235,0.7285961,0.7678309,0.7310158,0.6927973,0.9343507,0.7838893,0.7074278,0.7584237,1.001104,0.72432166,0.94880736,0.84924835,0.8551127,1.0316755,0.7476503,0.8187839,0.8190324,0.8893334,1.1734862,0.81336343,0.9496448,0.74075043,0.9105976
0.9481751,0.99939877,0.5878527,0.9444596,0.6356028,0.64999205,0.7376935,0.9932952,0.8235935,0.7876868,0.6136647,0.7898464,1.0602047,0.74379885,0.6201611,0.6623113,0.6298522,0.74242246,0.8796844,0.6039293,0.65042293,0.56499106,0.74951327,0.5417246,0.58929634,0.5198298,0.48771027,0.8205249,0.5906281,0.49850926,0.5911088,0.90564907,0.5612373,0.8556071,0.71285444,0.7052346,0.99273336,0.5922282,0.6880043,0.72442263,0.8503182,1.1109527,0.6952733,0.8107745,0.584734,0.78185457
0.89282715,0.9241726,0.43758282,0.90145075,0.50458807,0.52109706,0.644582,0.9050858,0.6960749,0.70594615,0.46770373,0.7043887,1.0153009,0.6462748,0.49148434,0.5198631,0.45370197,0.6274389,0.7890659,0.44999224,0.48324144,0.43331435,0.619266,0.4057776,0.46747848,0.38709137,0.36198014,0.71974146,0.44031808,0.34268606,0.4533696,0.83181417,0.41710135,0.7579932,0.5677532,0.55893236,0.9369231,0.49919942,0.6120099,0.6246265,0.82955533,1.0173655,0.5707093,0.6973588,0.4545681,0.6783279
0.84297365,0.86855304,0.31921482,0.841194,0.40903506,0.425104,0.5671088,0.83448493,0.59635246,0.65251994,0.3535718,0.62567705,0.9433897,0.5483693,0.39314154,0.4011986,0.32284442,0.5339663,0.69804734,0.34158584,0.35457742,0.33467826,0.5136355,0.3127684,0.3796579,0.28429395,0.2713328,0.62790847,0.31963018,0.22779907,0.3446141,0.73501945,0.31472513,0.6529361,0.4497559,0.4459761,0.8547303,0.41152444,0.5446832,0.5423714,0.8175156,0.9204913,0.4719141,0.60519826,0.35475564,0.5854501
0.7906392,0.78502786,0.21927293,0.7986317,0.32226747,0.34240556,0.50416577,0.7565126,0.4988071,0.60910106,0.25716844,0.5487365,0.8834408,0.46821386,0.30499536,0.3137099,0.22241634,0.45802936,0.6031066,0.24928546,0.25076163,0.25741976,0.4111935,0.23356886,0.30720598,0.21069264,0.19377124,0.544398,0.23182723,0.14503698,0.25800225,0.6568751,0.23761106,0.5649333,0.35247612,0.36853135,0.7719192,0.34462,0.49581406,0.48310181,0.80299175,0.8450248,0.3809215,0.5472772,0.28704038,0.5016172
0.74051625,0.7327208,0.15313996,0.7510969,0.25772798,0.28115076,0.44631186,0.68912786,0.42007592,0.5658744,0.18482544,0.49358866,0.81084305,0.40163606,0.24335928,0.243302,0.14952329,0.39482358,0.52786213,0.18443732,0.18099551,0.19342022,0.3330628,0.17312586,0.25036472,0.15728894,0.13829274,0.48681483,0.1681996,0.08893809,0.19430104,0.5812988,0.17982335,0.4779837,0.2676679,0.30420536,0.69417405,0.28994694,0.4556335,0.42495072,0.7904415,0.77351254,0.3090525,0.47604123,0.23871307,0.43923733
0.69359285,0.67175835,0.10301351,0.7113844,0.20172983,0.21812256,0.40621567,0.6385049,0.35350582,0.5230598,0.13371123,0.4303714,0.75168985,0.3519931,0.18749748,0.18143591,0.10076692,0.33876383,0.45595646,0.13173251,0.12378912,0.1410713,0.26038572,0.12750678,0.21379359,0.11498734,0.09513548,0.44331393,0.1173014,0.052004457,0.14150186,0.5229863,0.13840654,0.40359712,0.21271092,0.24518055,0.6321401,0.25764862,0.44001353,0.3680407,0.76325554,0.7002398,0.24641676,0.4271169,0.19952697,0.39062217
0.64984214,0.61281866,0.06679989,0.6655346,0.16038343,0.17375539,0.36275887,0.5988193,0.29824057,0.47546571,0.09158258,0.36850828,0.6849598,0.30438074,0.14545932,0.13893384,0.063934304,0.2979825,0.3954769,0.09199739,0.08452623,0.10315003,0.20586038,0.09198346,0.1739845,0.08323788,0.06463235,0.40633485,0.080238916,0.029675784,0.10586446,0.46831015,0.111611255,0.33762658,0.16495436,0.20935513,0.57974625,0.23212379,0.4287372,0.32791018,0.7594602,0.6598792,0.20334852,0.37873402,0.17087524,0.33551237
0.61343634,0.5600536,0.042410064,0.6294216,0.12812108,0.14279905,0.33560288,0.5550237,0.25186598,0.42851603,0.06182673,0.32158756,0.6260684,0.26652926,0.11424124,0.108115494,0.03843818,0.2608279,0.35664555,0.06258885,0.05673717,0.07218517,0.16476469,0.06593484,0.15091033,0.05945639,0.041507825,0.37172645,0.052758466,0.015959676,0.076729685,0.4140913,0.08655651,0.2828893,0.12828888,0.17075853,0.51994234,0.21015127,0.4200658,0.29512334,0.74710727,0.6016887,0.16231054,0.3461049,0.15675257,0.30457762
0.5860007,0.52519107,0.02594468,0.5983139,0.101032645,0.11665378,0.30290508,0.52921706,0.21287891,0.40055636,0.040584084,0.28313994,0.5641319,0.23349665,0.0899257,0.07941957,0.022041246,0.2310345,0.31641328,0.04163067,0.036408186,0.048641995,0.12589796,0.046918143,0.12616748,0.03989744,0.025677297,0.35046795,0.033989057,0.008112439,0.054133147,0.37309068,0.069290824,0.2278469,0.09819901,0.14395191,0.47844312,0.19398826,0.42313454,0.26958242,0.7263373,0.5650214,0.13121635,0.3202177,0.14374618,0.26617858
0.55858016,0.4918968,0.015030473,0.5720145,0.07862382,0.092797205,0.28292063,0.50238246,0.1818408,0.37907267,0.025402486,0.24892591,0.5187998,0.2083957,0.06826622,0.062453475,0.011923157,0.20725387,0.29125506,0.026275188,0.022565728,0.032570012,0.09829332,0.033874948,0.11338763,0.027215881,0.015544886,0.32694155,0.020663658,0.0038370884,0.037578702,0.34307742,0.056465577,0.18522222,0.07305343,0.12354741,0.43776292,0.17630795,0.41518453,0.25268242,0.68923235,0.525142,0.10438215,0.29171023,0.14134096,0.2397531
0.52825236,0.45815817,0.008127102,0.5461378,0.061426662,0.07351268,0.27052137,0.48127034,0.1582465,0.3570771,0.015114465,0.21439347,0.46964553,0.18923225,0.05192937,0.04743099,0.0060069566,0.19059959,0.27066305,0.01598534,0.013506337,0.021181658,0.07576098,0.023065848,0.10084957,0.017360158,0.008819404,0.31663454,0.012263246,0.0017043244,0.025733864,0.3184585,0.048671715,0.14976351,0.056102548,0.10232441,0.39173356,0.16223614,0.41369504,0.21738228,0.67834413,0.49103376,0.083118096,0.27431285,0.13943031,0.21988773
0.50190926,0.42870477,0.004085712,0.52084076,0.045505624,0.056855455,0.25635117,0.45324856,0.13585907,0.32866123,0.008484526,0.19125226,0.43226528,0.16849633,0.038798045,0.034401514,0.0028207027,0.17564964,0.25501207,0.009284145,0.007819742,0.01284644,0.057361964,0.014928315,0.089880325,0.0104201,0.004672769,0.2903769,0.006785453,0.00069941394,0.016685802,0.29017153,0.04084068,0.12177137,0.041734155,0.093016624,0.3717371,0.14862351,0.4112045,0.19912663,0.6747129,0.47088096,0.0647033,0.24539264,0.13967387,0.20115337
0.48640165,0.4019899,0.0018754888,0.50192904,0.034141373,0.04514216,0.23888499,0.4327813,0.115458295,0.3029772,0.004357631,0.168449,0.39982232,0.15063168,0.028904416,0.024736924,0.0012154492,0.1578725,0.24033113,0.005182031,0.00428229,0.0076526995,0.043603007,0.009489488,0.0807549,0.0058181416,0.0023511397,0.27904138,0.0035761076,0.00026557574,0.010096707,0.26744425,0.034024127,0.09553082,0.02990965,0.07927437,0.33717135,0.13720314,0.411848,0.18276772,0.6600207,0.4362279,0.048251167,0.2297307,0.1377251,0.18476376
0.46192303,0.3769856,0.00080608216,0.47764644,0.024591113,0.033964783,0.23415087,0.41566068,0.10293336,0.2914509,0.002117046,0.1458272,0.36081192,0.14133601,0.020588722,0.017430833,0.00048861635,0.14826423,0.23200828,0.0027258645,0.0022369572,0.0042490507,0.032414448,0.005532262,0.07512478,0.0030596885,0.0010932146,0.2571738,0.001758225,9.2358416e-05,0.0057029794,0.24343674,0.028339952,0.07436965,0.021332609,0.071411595,0.31529146,0.12491131,0.40973985,0.16678964,0.6425988,0.41049406,0.035890616,0.20925085,0.13374,0.17214586
0.44820786,0.35692564,0.0003189722,0.46360812,0.017388258,0.026072301,0.21904978,0.40455493,0.089762725,0.27496192,0.00095643464,0.13084915,0.33645073,0.1327956,0.014576114,0.011484584,0.00018123287,0.13650912,0.221595,0.0013611261,0.0010988069,0.002239564,0.023806995,0.0030905562,0.06961609,0.0014587529,0.00047557117,0.24600796,0.000821333,2.9384766e-05,0.0030261818,0.2309041,0.023777537,0.057808015,0.014659863,0.065744855,0.29073378,0.11383061,0.40696397,0.15487123,0.6160642,0.3886417,0.025969373,0.20090586,0.13426101,0.16066594
0.4304915,0.34121096,0.000116068535,0.44480288,0.011884404,0.019281758,0.21318859,0.3926716,0.080722384,0.26137146,0.0004018288,0.11155764,0.3116989,0.12508231,0.009975246,0.0073323776,6.175234e-05,0.1275226,0.209888,0.00064026925,0.0005082068,0.0011040757,0.01677487,0.0015853479,0.0631086,0.00064684753,0.00019240721,0.23418137,0.00035771166,8.495475e-06,0.0015112703,0.2131963,0.019720249,0.044047017,0.009888874,0.058288157,0.2719727,0.10163337,0.3977617,0.14009815,0.6067307,0.36748406,0.018338785,0.19349982,0.12364677,0.14829397
0.41112176,0.32517123,3.877129e-05,0.42950267,0.007608556,0.013204073,0.20337309,0.37120798,0.072534986,0.2464655,0.000156479,0.10184468,0.28399658,0.11603488,0.0065008653,0.0043742657,1.9216855e-05,0.11662863,0.20170197,0.00028304663,0.00022111814,0.00051658606,0.0116243,0.00076457334,0.056223273,0.00026480167,7.223284e-05,0.22753406,0.00014565431,2.214251e-06,0.0006960094,0.20568264,0.01577997,0.03291282,0.006382273,0.054101158,0.26358628,0.09190572,0.39121547,0.13831197,0.59469897,0.35001525,0.012520998,0.18094304,0.12329473,0.14195547
0.397612,0.31088147,1.17882255e-05,0.41423884,0.0047893943,0.008950806,0.19777216,0.35745972,0.06473111,0.2325286,5.6360197e-05,0.09155354,0.26608902,0.11346179,0.0041202116,0.0023974557,5.4293655e-06,0.11176422,0.19412552,0.00011710756,8.99176e-05,0.00022592895,0.007843961,0.0003395994,0.053838205,0.00010066604,2.4996833e-05,0.21312976,5.491729e-05,5.167069e-07,0.00029389345,0.19228938,0.012581593,0.02392136,0.0039772224,0.05078032,0.24534395,0.08388585,0.39195743,0.12468664,0.57817745,0.33388272,0.008336573,0.17357533,0.12281969,0.13082446
0.38232553,0.29708898,3.2583132e-06,0.39970714,0.002823512,0.005808437,0.19400792,0.35283762,0.056614283,0.21297534,1.8674982e-05,0.079842515,0.25234258,0.10323841,0.0024870054,0.0012361932,1.3848224e-06,0.10634707,0.18874848,4.511634e-05,3.400474e-05,9.224111e-05,0.005164776,0.00013904118,0.050665412,3.518987e-05,7.926176e-06,0.19951835,1.9152034e-05,1.0706054e-07,0.000115513554,0.18141292,0.010000624,0.017070604,0.0023944208,0.045867868,0.23592533,0.07427114,0.38488606,0.11833488,0.56672,0.3243983,0.0054252646,0.16612571,0.11666433,0.12184278
