wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.93461376,0.6534945,1.0258497,0.6914919,0.6735967,0.7210287,0.82964927,0.6828079,0.6849952,0.70088243,0.68426895,0.9447211,1.0789396,0.73419064,0.682221,0.725251,0.6580837,0.7132258,0.6784671,0.6907354,0.8903877,1.0162575,0.76475084,0.7522814,0.70049137,0.679343,0.68745595,0.7186456,0.71781117,0.7091396,0.7097731,0.67529476,0.662111,0.7897179,0.67384744,0.77961624,0.75383127,0.7272155,0.86397594,0.7522303,0.7611721,0.74575233
0.7476606,0.43120727,0.8745025,0.48751754,0.47812715,0.53602266,0.6824699,0.48230642,0.46521267,0.5358254,0.45810997,0.7571771,0.95946276,0.5678209,0.48780558,0.51505595,0.43968198,0.5138337,0.48889026,0.47169304,0.7368684,0.9193612,0.59783125,0.59709466,0.50201094,0.45839486,0.47663048,0.49962574,0.50612724,0.49894616,0.5037169,0.45076647,0.43009442,0.60064846,0.4703317,0.5908479,0.61266464,0.54212433,0.7724682,0.6273592,0.60837466,0.5639928
0.61381465,0.28208134,0.73593897,0.3495076,0.35395074,0.39333725,0.57111245,0.36313602,0.31879166,0.4237021,0.31043783,0.6113471,0.8517309,0.4438869,0.34466937,0.37112468,0.28880847,0.36583644,0.34845328,0.31695378,0.600859,0.8318648,0.45664927,0.4826992,0.3510871,0.3002022,0.32711333,0.35948893,0.3456489,0.3412486,0.34924698,0.29037583,0.26887608,0.48076808,0.31778675,0.43165827,0.49558637,0.4205708,0.702211,0.5764403,0.4957074,0.41251802
0.50033855,0.18107562,0.61490005,0.25940996,0.27591193,0.280626,0.47424567,0.2708613,0.21766402,0.33347332,0.20560862,0.4937037,0.7449775,0.35702947,0.24723037,0.27849746,0.19083871,0.25398144,0.24351566,0.20853463,0.49376833,0.76302856,0.33985814,0.39358288,0.23613308,0.20260039,0.21798871,0.25263146,0.23104824,0.23906356,0.23611963,0.17931898,0.16469903,0.3871681,0.21291903,0.31249118,0.38661176,0.33033782,0.61726063,0.5432391,0.4205349,0.30488396
0.4099508,0.11613198,0.5059785,0.20802654,0.21242362,0.2022277,0.401234,0.2076931,0.1498046,0.27060917,0.1362037,0.3996235,0.6557688,0.29612526,0.16926561,0.2160189,0.12692508,0.17385887,0.17058423,0.13324255,0.39826214,0.7101767,0.2518963,0.32300255,0.15747523,0.13899687,0.14345144,0.1737197,0.15193358,0.16631822,0.15659325,0.109010145,0.09908847,0.31606185,0.14162245,0.22600083,0.30253723,0.28840816,0.53379345,0.5408723,0.36482635,0.23011295
0.33408284,0.07513971,0.41381538,0.17355207,0.17057462,0.1513147,0.34814507,0.1604394,0.10535621,0.23159538,0.08576615,0.3279111,0.5788245,0.25203794,0.116659135,0.17507614,0.08097143,0.122308776,0.11950672,0.08327816,0.3147745,0.65595853,0.18024667,0.25889456,0.104679905,0.093547545,0.09207391,0.11245129,0.10068508,0.12225692,0.10332419,0.06311753,0.05827446,0.26897645,0.09276373,0.16349757,0.23378451,0.24907121,0.46837515,0.539849,0.31737742,0.17555836
0.2779024,0.048169546,0.33044642,0.14840136,0.14046302,0.12082036,0.29626325,0.12674244,0.07541202,0.20335695,0.05243462,0.26621634,0.49385434,0.21644399,0.079853304,0.14583676,0.050600655,0.087752156,0.08283518,0.050240654,0.24593979,0.6207981,0.1251848,0.2098636,0.067828625,0.06771503,0.05754004,0.0737504,0.065636426,0.091366686,0.068554215,0.03561451,0.032871664,0.23763807,0.06054617,0.11574058,0.18391873,0.22788851,0.42108494,0.51953816,0.27266395,0.14275606
0.23411754,0.0298769,0.2684704,0.1307222,0.11976317,0.09535828,0.2647627,0.10100983,0.05347155,0.18002994,0.030776892,0.22490327,0.44648805,0.19659778,0.05463216,0.12285365,0.030350324,0.062243152,0.055404987,0.028654315,0.19129084,0.59869987,0.08404374,0.16847412,0.04251834,0.048130106,0.034847494,0.04708525,0.0439204,0.07065875,0.045291882,0.019544054,0.017999282,0.198631,0.038829055,0.08674128,0.14525898,0.21456127,0.38887614,0.50592256,0.24276684,0.113153726
0.19264983,0.0180849,0.21682686,0.1154257,0.10359902,0.07988249,0.23567922,0.082205966,0.037651613,0.16437128,0.017059527,0.18664838,0.3942304,0.17916447,0.036834102,0.10591989,0.018199056,0.045754783,0.03697873,0.015695032,0.14396626,0.5686109,0.058454607,0.13312419,0.027394544,0.038245946,0.019910464,0.02916394,0.029359179,0.060553472,0.030076068,0.009937401,0.009122926,0.17624648,0.025105225,0.06423178,0.11776666,0.20473677,0.3715151,0.49520683,0.21139082,0.09149035
