wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.74987906,0.76588756,0.818104,0.70245636,0.68053716,0.8955093,0.6857048,0.7364358,0.7162706,0.7056889,0.7246268,0.6922545,0.85084444,0.8202558,0.86506593,0.70050704,0.7500339,0.73762345,0.74740344,0.7290751,0.6495759,0.75104874,0.711899,0.70386124,0.775968,0.6799235,0.7234031,0.69192153,0.71738493,0.7169802,0.72162455,0.7184457,0.7256692,0.74170315,0.7449574,0.69173527,0.67278314,0.8509784,0.6887184,0.6700778,0.6838754,1.1073852,0.6948031
0.6057659,0.6385984,0.729591,0.55237955,0.4733946,0.7902936,0.48711333,0.58078164,0.58639365,0.5090585,0.5369694,0.5259133,0.6796043,0.66723883,0.8447904,0.47569734,0.5783404,0.49942568,0.6970942,0.6533102,0.47851145,0.5566559,0.63891137,0.5502061,0.6051323,0.49285963,0.5432013,0.48411757,0.57545537,0.5643975,0.5126033,0.5279017,0.52721757,0.56946045,0.60712284,0.4952259,0.48936224,0.81431156,0.48440045,0.48047394,0.5634884,0.9993909,0.53571224
0.49473134,0.5897361,0.6816044,0.46854222,0.32881242,0.7119033,0.34212312,0.44310188,0.5055943,0.36719862,0.38332024,0.4416217,0.53895515,0.5610546,0.8455908,0.32013837,0.44760868,0.3320754,0.6843766,0.6600492,0.35711795,0.38938925,0.6413384,0.42942867,0.47890067,0.349777,0.39819378,0.35264105,0.48883033,0.4463481,0.38013408,0.40089887,0.3882992,0.42910475,0.45930332,0.3376096,0.35698196,0.717408,0.32821995,0.34350783,0.46722275,0.87648475,0.4142411
0.41135827,0.5436464,0.65768737,0.40557224,0.23352674,0.6880042,0.23967908,0.3232945,0.44060385,0.25766468,0.27589613,0.35200638,0.42122856,0.4577062,0.82997316,0.20777075,0.35378215,0.2213776,0.6513645,0.66682523,0.26308644,0.26525995,0.6446699,0.3295314,0.37140948,0.23593928,0.27684975,0.27660364,0.42045778,0.35129324,0.28801465,0.30417705,0.28302523,0.30858135,0.36120692,0.23149937,0.26527554,0.62236947,0.23407671,0.25718272,0.39135602,0.79408884,0.30684814
0.34611702,0.49946442,0.63195264,0.35782614,0.16172934,0.65990347,0.17059831,0.23379233,0.40503085,0.17957851,0.19232197,0.27732027,0.33087504,0.3710823,0.8013871,0.13326026,0.27667055,0.14820187,0.61725867,0.6761431,0.18667871,0.18347448,0.64948577,0.25074777,0.28622517,0.16406731,0.1857848,0.21237685,0.36468345,0.27890328,0.22183146,0.23219256,0.20011435,0.22644496,0.27053797,0.15594347,0.20035206,0.53492373,0.1586393,0.20032744,0.32596162,0.72151864,0.23144522
0.30529433,0.4667415,0.6100211,0.31862155,0.11087347,0.63200533,0.123145334,0.17242871,0.3708818,0.12133683,0.1329998,0.2227961,0.26125765,0.30363712,0.7736548,0.08265745,0.21689096,0.09557989,0.5689232,0.6684709,0.1342289,0.12709197,0.64044845,0.19472821,0.21607053,0.11646488,0.123394735,0.16387226,0.30775103,0.22320859,0.1668984,0.1752656,0.13852349,0.16081707,0.22111812,0.10472885,0.15417399,0.46914962,0.11481774,0.16533372,0.268147,0.64829606,0.17269148
0.26513514,0.4393873,0.5910729,0.29088438,0.07482048,0.6039423,0.09422226,0.12462393,0.34511214,0.079540454,0.09135854,0.17552826,0.20524934,0.25016746,0.7466341,0.048926022,0.17046349,0.05898748,0.52907664,0.6657987,0.09575273,0.08617691,0.6320456,0.14662637,0.16359022,0.07800311,0.08100392,0.12601815,0.26092026,0.1803207,0.12554231,0.13243274,0.09918502,0.11701801,0.17727397,0.0703349,0.12340229,0.40383995,0.08204682,0.1284998,0.2267088,0.5820382,0.13370956
0.24182445,0.41959348,0.57412153,0.26631886,0.04942687,0.58262455,0.07656312,0.08859113,0.3258474,0.050944746,0.06292834,0.13699928,0.16406688,0.20547172,0.72382927,0.02883564,0.1317808,0.035970666,0.49328974,0.654777,0.06710939,0.057783745,0.6156516,0.11869851,0.120043,0.051429305,0.050719287,0.093269706,0.2238063,0.1503079,0.09383665,0.10014049,0.068958245,0.0867447,0.14316441,0.045871753,0.10316464,0.34652516,0.059456896,0.103186615,0.19172072,0.52641743,0.104544595
0.22236344,0.40625566,0.55658704,0.24785869,0.031704616,0.5546511,0.06593185,0.060167342,0.30782375,0.031328853,0.04192624,0.10775897,0.1322159,0.16923127,0.7031697,0.016586944,0.10166145,0.020649772,0.46429127,0.64538515,0.046134684,0.03651433,0.6020033,0.09639068,0.08754709,0.03288992,0.03044964,0.069182985,0.18928896,0.12287784,0.0695064,0.07500351,0.04766516,0.06436661,0.11600987,0.029148186,0.08573033,0.29493204,0.042685997,0.08187473,0.16202123,0.47122696,0.08541602
0.20372714,0.3902108,0.5432883,0.23195648,0.019693317,0.53701264,0.05927387,0.039420377,0.29029325,0.018320104,0.026910013,0.08151978,0.10560541,0.13604684,0.6811167,0.009061063,0.07738648,0.011256454,0.4345632,0.63431525,0.030293198,0.022530455,0.58598727,0.0773866,0.06472529,0.019896595,0.017477503,0.050784376,0.15583171,0.10212359,0.05049781,0.05510211,0.03275261,0.046391927,0.095540255,0.017637808,0.08172406,0.25638315,0.031563267,0.06749125,0.1310031,0.4231123,0.06899396
0.19248381,0.37823057,0.5252723,0.21908337,0.011736604,0.5187538,0.054696463,0.024835002,0.2758744,0.010283333,0.016803715,0.060601313,0.08519404,0.11116484,0.6624539,0.004696033,0.05734237,0.0057962947,0.4100449,0.625672,0.019487184,0.013000334,0.5733498,0.064916484,0.046238083,0.0118159,0.009482096,0.035920806,0.12926905,0.081518285,0.035993036,0.0386662,0.021407532,0.032953873,0.08051048,0.010291863,0.07642482,0.21752474,0.021554995,0.053072844,0.10990319,0.3792706,0.059136182
