方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9075551540400444,system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_mw|gross_sched_interchange_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_gas_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_gas_pct|system_energy_price_rt|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|gen_fuel_storage_mw,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9068472591655122,wind_generation_mw|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|marginal_loss_price_rt|gen_fuel_other_renewables_pct|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|gen_fuel_nuclear_mw|rmpcp,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8733375708996802,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_coal_pct|wind_generation_mw|gen_fuel_storage_mw|marginal_loss_price_rt|gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_other_renewables_pct|da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
XGBoost,树模型特征重要性（2016）,0.9016797302172621,da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|total_pjm_assigned_reg|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_mw|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
Lasso,线性稀疏（1996）,0.8856908489956316,gross_sched_interchange_mw|gen_fuel_gas_mw|system_energy_price_da|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|total_pjm_assigned_reg|gen_fuel_oil_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|gen_fuel_storage_mw|da_as_as_mw_synchronized_reserve|total_pjm_reg_purchases|da_as_as_mw_thirty_minutes_reserve|marginal_loss_price_rt|wind_generation_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
Pearson,相关系数排序（只看两两关系）,0.885455073966146,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_wind_pct|gen_fuel_multiple_fuels_mw|gen_fuel_coal_mw,net_actual_interchange_mw,净实际交换功率,18,0.9019507440038257,33
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9919672306598128,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_coal_mw|gross_inadv_interchange_mw|gen_fuel_gas_mw,metered_load_mw,计量负荷,6,0.9955002817982678,28
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9813385386479032,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_solar_mw,metered_load_mw,计量负荷,6,0.9955002817982678,28
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9915738230010407,gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|system_energy_price_da,metered_load_mw,计量负荷,6,0.9955002817982678,28
XGBoost,树模型特征重要性（2016）,0.9893956463369552,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|marginal_loss_price_rt,metered_load_mw,计量负荷,6,0.9955002817982678,28
