label,center,exclude_columns,best_test_r2,selected_count,top_gates,run_dir,exclude_count
net_sched_excl_net_actual_total_gen,net_sched_interchange_mw,net_actual_interchange_mw|total_gen,0.9772738218307496,10,gen_fuel_gas_mw:0.7084; prelim_load_avg_hourly:0.5791; metered_load_mw:0.5606; total_pjm_rt_load_mwh:0.556; gen_fuel_coal_mw:0.5532; gen_fuel_nuclear_mw:0.4075; gen_fuel_nuclear_pct:0.3688; gen_fuel_solar_mw:0.2619,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_net_sched_interchange_mw/net_sched_excl_net_actual_total_gen,
total_gen_excl_prelim,total_gen,prelim_load_avg_hourly,0.9999968409538268,0,metered_load_mw:0.03829; net_actual_interchange_mw:0.006338; da_as_ss_mw_synchronized_reserve:0.0006238; gen_fuel_wind_pct:0.0005151; gen_fuel_other_renewables_mw:0.0003965; gen_fuel_oil_mw:-0.0003198; gen_fuel_other_renewables_pct:-0.0002512; gen_fuel_storage_mw:0.0002318,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_gen/total_gen_excl_prelim,
total_lmp_da_excl_formula,total_lmp_da,system_energy_price_da|congestion_price_da|marginal_loss_price_da,0.9633005261421204,3,da_as_mcp_synchronized_reserve:0.312; forecast_load_mw_day_ahead:0.2128; da_as_as_mw_thirty_minutes_reserve:0.157; total_losses:0.1378; gen_fuel_gas_mw:0.1215; gen_fuel_oil_pct:0.1002; gross_inadv_interchange_mw:0.06489; gen_fuel_multiple_fuels_pct:0.06351,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_lmp_da/total_lmp_da_excl_formula,
as_primary_excl_as_mw,da_as_total_mw_primary_reserve,da_as_as_mw_primary_reserve,0.9998335838317872,0,da_as_nsr_mw_primary_reserve:0.03885; da_as_as_mw_synchronized_reserve:0.02413; total_pjm_assigned_reg:0.00103; gross_actual_interchange_mw:-0.0008955; rmpcp:0.0008436; solar_generation_mw:-0.0007006; gen_fuel_wind_mw:-0.0006377; net_inadv_interchange_mw:0.0005516,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_da_as_total_mw_primary_reserve/as_primary_excl_as_mw,
as_30min_excl_as_mw,da_as_total_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,0.9103455543518066,1,gen_fuel_nuclear_mw:0.1615; system_energy_price_da:0.1453; gen_fuel_coal_pct:0.1361; total_losses:0.1327; gen_fuel_gas_pct:0.1158; net_actual_interchange_mw:0.111; total_lmp_da:0.1062; gen_fuel_other_renewables_mw:0.09932,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_da_as_total_mw_thirty_minutes_reserve/as_30min_excl_as_mw,
total_gen_excl_prelim_metered,total_gen,prelim_load_avg_hourly|metered_load_mw,0.9999729990959167,0,total_pjm_rt_load_mwh:0.04526; net_actual_interchange_mw:0.007134; total_losses:0.001905; congestion_price_da:-0.001515; wind_generation_mw:0.001433; congestion_price_rt:0.0009402; system_energy_price_rt:0.0005899; marginal_loss_price_rt:0.0004851,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_gen/total_gen_excl_prelim_metered,
total_gen_excl_prelim_metered_totalpjm,total_gen,prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh,0.9990677833557128,0,gen_fuel_nuclear_pct:0.07875; gen_fuel_nuclear_mw:0.03278; forecast_load_mw_latest_available:0.02039; solar_generation_mw:0.01051; gen_fuel_hydro_mw:0.008112; net_actual_interchange_mw:0.007766; gen_fuel_coal_mw:0.006953; da_as_total_mw_primary_reserve:0.006339,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_gen/total_gen_excl_prelim_metered_totalpjm,
as_primary_excl_as_nsr,da_as_total_mw_primary_reserve,da_as_as_mw_primary_reserve|da_as_nsr_mw_primary_reserve,0.8706152439117432,15,da_as_mcp_primary_reserve:0.5783; da_as_total_mw_synchronized_reserve:0.4548; da_as_total_mw_thirty_minutes_reserve:0.4328; gen_fuel_nuclear_pct:0.3116; da_as_as_req_mw_thirty_minutes_reserve:0.3093; gen_fuel_nuclear_mw:0.2968; da_as_as_req_mw_synchronized_reserve:0.2683; gen_fuel_coal_pct:0.2398,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_da_as_total_mw_primary_reserve/as_primary_excl_as_nsr,
as_primary_excl_as_nsr_sync,da_as_total_mw_primary_reserve,da_as_as_mw_primary_reserve|da_as_nsr_mw_primary_reserve|da_as_as_mw_synchronized_reserve,0.8658723831176758,13,da_as_mcp_primary_reserve:0.6209; da_as_total_mw_synchronized_reserve:0.5702; da_as_total_mw_thirty_minutes_reserve:0.375; da_as_as_mw_thirty_minutes_reserve:0.2604; gen_fuel_nuclear_mw:0.2599; gen_fuel_nuclear_pct:0.2415; da_as_as_req_mw_primary_reserve:0.2415; da_as_as_req_mw_thirty_minutes_reserve:0.2361,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_da_as_total_mw_primary_reserve/as_primary_excl_as_nsr_sync,
total_gen_excl_load_proxies,total_gen,prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead,0.9988349080085754,0,gen_fuel_nuclear_pct:0.09149; gen_fuel_nuclear_mw:0.03537; gen_fuel_hydro_mw:0.01402; solar_generation_mw:0.01269; total_lmp_da:0.008305; da_as_nsr_mw_primary_reserve:0.007573; total_pjm_reg_purchases:0.006225; congestion_price_rt:0.005877,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_gen/total_gen_excl_load_proxies,5.0
