center,exclude_columns,exclude_columns_pipe,n_features,validation_full_r2,validation_topn_r2,delta_topn_minus_full,l1_source_best_test_r2,l1_run_dir,note
net_actual_interchange_mw,"['net_sched_interchange_mw', 'total_gen']",net_sched_interchange_mw|total_gen,13,0.9668832421302797,0.9597212672233582,-0.007161974906921498,0.9771212339401245,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_net_actual_interchange_mw/L1GateDNN/run_20260517_215336_combo5_L1GateDNN,top13 is within 0.01 of full; old handoff used n=16
gross_actual_interchange_mw,[],,12,0.8648873567581177,0.8658009171485901,0.0009135603904724121,0.8739383816719055,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_gross_actual_interchange_mw/L1GateDNN/run_20260516_222755,top12 matches full; no over-accurate shortcut
net_sched_interchange_mw,"['net_actual_interchange_mw', 'total_gen']",net_actual_interchange_mw|total_gen,12,0.964837908744812,0.9560950994491576,-0.008742809295654408,0.9772738218307495,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_net_sched_interchange_mw/net_sched_excl_net_actual_total_gen,excluding net_actual and total_gen breaks 0.999 shortcut; top12 within 0.01
total_gen,"['prelim_load_avg_hourly', 'metered_load_mw', 'total_pjm_rt_load_mwh', 'forecast_load_mw_latest_available', 'forecast_load_mw_day_ahead', 'wind_generation_mw', 'solar_generation_mw', 'gen_fuel_coal_mw', 'gen_fuel_gas_mw', 'gen_fuel_hydro_mw', 'gen_fuel_multiple_fuels_mw', 'gen_fuel_nuclear_mw', 'gen_fuel_oil_mw', 'gen_fuel_other_renewables_mw', 'gen_fuel_solar_mw', 'gen_fuel_storage_mw', 'gen_fuel_wind_mw', 'gen_fuel_coal_pct', 'gen_fuel_gas_pct', 'gen_fuel_hydro_pct', 'gen_fuel_multiple_fuels_pct', 'gen_fuel_nuclear_pct', 'gen_fuel_oil_pct', 'gen_fuel_other_renewables_pct', 'gen_fuel_solar_pct', 'gen_fuel_storage_pct', 'gen_fuel_wind_pct']",prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct,15,0.9206814765930176,0.9149152636528016,-0.005766212940215953,0.927115261554718,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_gen/total_gen_excl_load_and_gen_components,single load excludes stayed near 0.999; broad proxy/component exclude gives full near 0.921 and top15 within 0.01
metered_load_mw,"['total_gen', 'prelim_load_avg_hourly', 'total_pjm_rt_load_mwh', 'forecast_load_mw_latest_available', 'forecast_load_mw_day_ahead', 'wind_generation_mw', 'solar_generation_mw', 'gen_fuel_coal_mw', 'gen_fuel_gas_mw', 'gen_fuel_hydro_mw', 'gen_fuel_multiple_fuels_mw', 'gen_fuel_nuclear_mw', 'gen_fuel_oil_mw', 'gen_fuel_other_renewables_mw', 'gen_fuel_solar_mw', 'gen_fuel_storage_mw', 'gen_fuel_wind_mw', 'gen_fuel_coal_pct', 'gen_fuel_gas_pct', 'gen_fuel_hydro_pct', 'gen_fuel_multiple_fuels_pct', 'gen_fuel_nuclear_pct', 'gen_fuel_oil_pct', 'gen_fuel_other_renewables_pct', 'gen_fuel_solar_pct', 'gen_fuel_storage_pct', 'gen_fuel_wind_pct']",total_gen|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct,15,0.9167828559875488,0.9101711511611938,-0.0066117048263549805,0.9196560978889465,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_metered_load_mw/metered_load_excl_direct_and_gen_components,direct-only excludes still stayed near 0.999; broad exclude gives full near 0.917 and top15 within 0.01
total_losses,[],,16,0.943239152431488,0.9364113211631776,-0.006827831268310436,0.9522563815116882,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_total_losses/L1GateDNN/run_20260516_224108,"no shortcut; top14 was just below full-0.01, top16 passes"
congestion_price_da,[],,2,0.9368119239807128,0.9950087070465088,0.05819678306579601,0.9999696612358093,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_congestion_price_da/L1GateDNN/baseline_l1_20260517_165108,top2 captures formula pair; excluding one caused large drop in earlier test
congestion_price_rt,[],,10,0.6721503734588623,0.6767336130142212,0.004583239555358887,0.7048822641372681,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_congestion_price_rt/L1GateDNN/run_20260516_232938,full itself is low/moderate; top10 first reaches full level
marginal_loss_price_da,[],,12,0.8978972434997559,0.8983180522918701,0.0004208087921142578,0.9028909206390381,NEW_PROJECT/outputs/data2025_Processed_V2/CenterOn_marginal_loss_price_da/L1GateDNN/baseline_l1_20260517_165828,top12 reaches full level
total_lmp_da,"['system_energy_price_da', 'congestion_price_da', 'marginal_loss_price_da']",system_energy_price_da|congestion_price_da|marginal_loss_price_da,12,0.9576176404953004,0.9548017382621764,-0.0028159022331240013,0.9633005261421204,NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/manual_exclude_n_v2/L1_sources/CenterOn_total_lmp_da/total_lmp_da_excl_formula,formula components excluded; top12 within 0.01
