wind_generation_mw,solar_generation_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.43073875,0.5464471,0.5430555,0.55777663,0.58185416,0.5645186,0.5373063,0.5275969,0.42300743,0.45868945,0.5724123,0.49933058,0.40089428,0.45808482,0.60629475,0.47766915,0.5099171,0.4722957,0.41125262,0.4721822,0.46176013,0.42762995,0.43324876,0.42459208,0.40785316,0.49016607,0.46887094,0.5066913,0.5014322,0.5174674,0.43192607,0.49329734,0.4198309,0.5244466,0.49776736,0.5149162,0.4660492,0.46446407,0.52277
0.3901359,0.5707295,0.5841202,0.57173264,0.6425164,0.5884367,0.622919,0.55659336,0.35283294,0.45140114,0.6349952,0.48542327,0.32616827,0.44775933,0.6740714,0.48628256,0.505831,0.4291968,0.33244616,0.43626797,0.4250334,0.36753693,0.38384223,0.3830591,0.3158873,0.46923327,0.44628787,0.48114514,0.50390863,0.51893723,0.39920917,0.5292456,0.33602786,0.54709566,0.48708323,0.507332,0.4153567,0.42150334,0.5348124
0.36173624,0.5955296,0.62055355,0.59024996,0.69485646,0.62443244,0.67497045,0.5916259,0.2926093,0.43470326,0.688465,0.47635666,0.26176652,0.44327542,0.7365357,0.5052812,0.49719355,0.39932457,0.24215364,0.38177058,0.39333546,0.28949553,0.3333175,0.36115232,0.21522485,0.4461483,0.41863534,0.4797498,0.4946693,0.49847913,0.3419072,0.53486574,0.25415745,0.5727835,0.48353297,0.5040904,0.36862853,0.36082354,0.5347513
0.30136532,0.6250768,0.6558786,0.61059856,0.755432,0.6385531,0.7233313,0.62782687,0.22571436,0.40276784,0.72100216,0.473066,0.19255939,0.43248957,0.81280833,0.50445837,0.48171562,0.35807577,0.14654484,0.344416,0.34222925,0.20550723,0.27469665,0.33529618,0.11410809,0.4219654,0.37078485,0.47129312,0.4879291,0.49623352,0.2873229,0.5666202,0.16323677,0.59636104,0.4782891,0.49558547,0.31444776,0.28524306,0.54183733
0.24433611,0.6488329,0.6834178,0.6180358,0.7990951,0.6619325,0.78003365,0.6578989,0.1434285,0.36584315,0.775171,0.45015228,0.11369228,0.4246598,0.86461645,0.4918993,0.45612103,0.3157515,0.04639821,0.28608355,0.28731683,0.11786222,0.1923214,0.30383468,0.0052863583,0.3885593,0.3227377,0.45002124,0.47944817,0.4842118,0.22032994,0.5748235,0.066045746,0.62073344,0.4794833,0.49403676,0.24732709,0.19867171,0.5472475
0.18241683,0.6815958,0.7178927,0.63154143,0.83257127,0.67510736,0.82667464,0.6955328,0.064575635,0.33336562,0.8149593,0.44224417,0.015688183,0.41191703,0.9098678,0.47124696,0.43543652,0.25997615,0.0,0.2440779,0.22629462,0.018237513,0.11931732,0.2731546,0.0,0.34437123,0.26199058,0.42669344,0.46339595,0.4739353,0.14348906,0.5889117,0.0,0.6477836,0.47805968,0.48123357,0.17326209,0.10467626,0.5405125
0.121391065,0.71184695,0.7609173,0.6453781,0.87804794,0.7076501,0.87396127,0.72626597,0.0,0.2979083,0.86547905,0.4345882,0.0,0.4029109,0.9815554,0.44998682,0.41622964,0.20119137,0.0,0.1930327,0.15512332,0.0,0.029523384,0.23069622,0.0,0.30214393,0.18898505,0.40556523,0.45929745,0.46139193,0.06955132,0.6072877,0.0,0.6722845,0.47763583,0.4766424,0.10471711,0.0,0.5359154
0.051204447,0.71890503,0.8000477,0.6493096,0.91716117,0.7277055,0.9192825,0.75840867,0.0,0.24647751,0.9075937,0.40955448,0.0,0.38817266,1.0,0.41629153,0.37663898,0.13275081,0.0,0.13562705,0.0669473,0.0,0.0,0.17861325,0.0,0.2597582,0.10744301,0.3784662,0.446192,0.4435457,0.0,0.62226266,0.0,0.69801575,0.4762663,0.46500078,0.021264507,0.0,0.52482855
0.0,0.7354795,0.8351834,0.6645809,0.9480363,0.7538145,0.96476144,0.7708522,0.0,0.19141716,0.9340458,0.36927283,0.0,0.3694216,1.0,0.38189,0.34237346,0.058887895,0.0,0.061465476,0.0,0.0,0.0,0.13188353,0.0,0.21031159,0.022004263,0.33925596,0.43565995,0.42979398,0.0,0.63322794,0.0,0.72168076,0.4714064,0.452984,0.0,0.0,0.5159757
