area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.73518854,0.6980821,0.65552264,0.7674211,0.70887077,0.82968765,0.6533441,0.7847066,0.71755207,0.82332474,0.8034103,0.66795665,0.67141795,0.78236324,0.66964847,0.6896361,0.68258953,0.8463529,0.9240763,0.83737683,0.67173886,0.6611565,0.65261626,0.75387955,0.89834034,0.7260017,0.7346605,0.7514786,0.7155413,0.65562654,0.6846606,0.69352823,0.743212,0.65635705,0.652221,0.6332275
0.51688737,0.51998025,0.44759768,0.5827851,0.56484777,0.6189641,0.4414954,0.5419705,0.55275184,0.65322644,0.70347744,0.51558703,0.50829667,0.7743042,0.49327552,0.4523484,0.5550445,0.8091867,0.7700523,0.994358,0.5820051,0.40332073,0.47734526,0.49971923,0.82473534,0.48264652,0.6595388,0.594908,0.49182934,0.47200605,0.4672444,0.5737115,0.6385103,0.4354772,0.41457275,0.3994112
0.3705771,0.40751424,0.30624655,0.4514726,0.46435872,0.48391125,0.3006506,0.37121722,0.4628861,0.5191,0.6158505,0.4447745,0.41006988,0.7135481,0.3574254,0.29213324,0.46712238,0.711169,0.6478069,1.029565,0.58280766,0.24841219,0.3354585,0.3458411,0.7433421,0.33610347,0.6835956,0.51300967,0.33919215,0.36715624,0.32935256,0.46191078,0.56934077,0.2842901,0.27842575,0.24822272
0.25757065,0.30753794,0.2065379,0.34288663,0.38256136,0.37875798,0.20156996,0.24476568,0.39573354,0.43950924,0.5339756,0.3889609,0.33646697,0.64889455,0.25934044,0.17902516,0.41184893,0.62934977,0.58897877,1.0168769,0.5713118,0.14677617,0.2391168,0.25663817,0.6589282,0.24684732,0.7099449,0.45709953,0.22197755,0.2914185,0.22944549,0.36749923,0.53611094,0.18669295,0.18801416,0.15135208
0.18347791,0.23437682,0.13964525,0.26797846,0.3195167,0.30589402,0.13735095,0.16764542,0.34775868,0.37906638,0.4733417,0.3433048,0.2874127,0.5981144,0.19294666,0.103674866,0.36793914,0.56787616,0.55630153,1.0078961,0.55206734,0.08237114,0.16832009,0.2010663,0.5930107,0.19003902,0.74068105,0.41706833,0.14262417,0.23731449,0.15695867,0.2952218,0.50408626,0.12300605,0.12864228,0.08908014
0.12662561,0.17118107,0.09381531,0.20557162,0.26222926,0.23475926,0.09014521,0.1114441,0.30500272,0.327794,0.41747862,0.29670197,0.24670345,0.5530431,0.14512189,0.057076667,0.33063072,0.5032464,0.51475185,1.0008621,0.53326637,0.044193856,0.11723981,0.15966347,0.53676814,0.15804365,0.7157838,0.38875574,0.088577256,0.18769689,0.10604574,0.24013413,0.47320682,0.0817026,0.086837895,0.05015351
0.08551486,0.12525526,0.061495278,0.15861681,0.21485326,0.18214752,0.05686875,0.07369573,0.26710853,0.29080376,0.3630956,0.25349918,0.2103078,0.5021146,0.109799065,0.029602546,0.29302865,0.45402196,0.48108616,0.9856144,0.51010424,0.022430304,0.08061856,0.12550673,0.48188642,0.1324853,0.706154,0.36412743,0.051086787,0.14948672,0.069702975,0.20116843,0.44638768,0.05268173,0.056672297,0.026759123
0.05666352,0.090347975,0.03933208,0.11952943,0.17518154,0.13915147,0.034461297,0.046759117,0.23445521,0.26186165,0.3172884,0.21804358,0.18573014,0.45765683,0.08133559,0.014584545,0.261993,0.40938777,0.450964,0.9736453,0.48035032,0.010798634,0.054807894,0.09834789,0.4327138,0.10935987,0.69091654,0.34632716,0.02794431,0.11876204,0.044973463,0.16426845,0.42296028,0.03241945,0.03448851,0.013394484
0.036126938,0.06326255,0.023827592,0.090041734,0.14087129,0.10371664,0.020125398,0.029148534,0.20410994,0.23790704,0.2743682,0.18356174,0.1624335,0.41314012,0.059479155,0.006708452,0.23210207,0.36933836,0.4212349,0.954537,0.46475416,0.004858581,0.036595862,0.07481446,0.38756576,0.094434805,0.6563238,0.33088517,0.014464181,0.09229656,0.028071363,0.13554284,0.4026084,0.019117642,0.020155251,0.006240862
0.022119988,0.04321118,0.013885311,0.066158034,0.11049218,0.07582329,0.011086651,0.01708153,0.17760961,0.21766143,0.23397866,0.15549536,0.1451629,0.37471282,0.042032894,0.0028583056,0.20621505,0.33786368,0.39624536,0.94128495,0.4394688,0.0020241013,0.023947073,0.056611914,0.34570044,0.07974606,0.6386119,0.32002357,0.006931422,0.07076162,0.017369054,0.10806593,0.38281065,0.010615778,0.010585504,0.0026763428
0.013012505,0.028730558,0.007654314,0.047797896,0.08600709,0.054002717,0.0057801395,0.009648594,0.15577117,0.20158896,0.19937015,0.12948321,0.13418715,0.34238395,0.029177774,0.0011219868,0.18198219,0.31285152,0.36565256,0.9326044,0.41865912,0.00077435595,0.0153453,0.041588232,0.3112989,0.06918875,0.6108686,0.30527115,0.003102688,0.05321903,0.010379055,0.08785578,0.36060235,0.005570917,0.0051670987,0.0010565569
0.007291321,0.018462807,0.0039102766,0.033703867,0.06614254,0.037568253,0.0028342109,0.0051672887,0.13473257,0.18560061,0.1671965,0.10791528,0.12329996,0.31007886,0.019180793,0.00040185495,0.16040592,0.2870116,0.34257126,0.9152301,0.4055474,0.0002702009,0.009215088,0.029329369,0.27848023,0.061171502,0.59055656,0.29871407,0.0012844272,0.03949063,0.005700839,0.06811724,0.34422335,0.0026885,0.0023020224,0.00038041125
0.0039175763,0.011537278,0.0018701506,0.023005908,0.050027933,0.025413644,0.0012994944,0.0025969641,0.116288304,0.17255057,0.14072064,0.08883968,0.11420117,0.28242564,0.01206713,0.00013075322,0.13919067,0.2666792,0.32243183,0.9045318,0.3907168,8.5459884e-05,0.0052344394,0.019930817,0.2525956,0.052969813,0.5825664,0.2906699,0.0004913294,0.028449032,0.002949798,0.053477447,0.33061746,0.0012032388,0.00094362046,0.00012508401
0.001986662,0.0069266,0.0008317756,0.015267997,0.03729927,0.016643042,0.00055469107,0.001230736,0.09912514,0.16194068,0.116412364,0.07250902,0.10613688,0.25500488,0.0071870144,3.8449474e-05,0.12131864,0.24837574,0.30683106,0.8864648,0.37790027,2.4367044e-05,0.0027587304,0.013064627,0.22702667,0.047285885,0.5668935,0.28653285,0.00017225383,0.020066552,0.0013898831,0.040486317,0.31960404,0.00049497635,0.00035351014,3.719773e-05
0.000956905,0.004005771,0.0003440346,0.009769786,0.02710409,0.010454958,0.00021988661,0.0005442414,0.08346124,0.15339392,0.09693507,0.058030166,0.10048307,0.23046538,0.0040202052,1.0152796e-05,0.103934765,0.23099215,0.29384398,0.8748659,0.3619444,6.2219324e-06,0.0013516033,0.008169499,0.20515913,0.041788265,0.5494944,0.27668908,5.5130025e-05,0.013693149,0.00059380283,0.029930053,0.31042346,0.00018687507,0.0001216178,9.947295e-06
0.00043149345,0.0022014547,0.00013151231,0.0060390322,0.019217346,0.006281497,8.060883e-05,0.00022543418,0.06921225,0.14331241,0.07861586,0.045509193,0.09881646,0.20802993,0.002128507,2.3899358e-06,0.088406794,0.21820273,0.27662337,0.85915077,0.34691575,1.4119508e-06,0.00061560044,0.004934296,0.18266653,0.03754836,0.5285377,0.27042517,1.599405e-05,0.009063017,0.00023221728,0.021638162,0.29754692,6.4615924e-05,3.809142e-05,2.3742625e-06
0.0001822577,0.0011575344,4.626955e-05,0.0036142922,0.013215453,0.0036393388,2.7161952e-05,8.657049e-05,0.057576597,0.13901496,0.063049905,0.035335276,0.09777892,0.18664874,0.0010619576,4.975467e-07,0.07469525,0.20856804,0.26037186,0.847633,0.33539885,2.8243153e-07,0.00025988754,0.00283262,0.16355142,0.033750672,0.514296,0.26345417,4.180496e-06,0.005828554,8.275961e-05,0.015321773,0.28551263,2.0320247e-05,1.0805753e-05,5.017815e-07
7.18189e-05,0.00057858566,1.4908086e-05,0.0020660744,0.008910569,0.002021398,8.371758e-06,3.073697e-05,0.047244694,0.13193575,0.050062925,0.027104018,0.09692586,0.16659412,0.00049165613,9.079906e-08,0.06247639,0.19766583,0.24556391,0.8315784,0.32299387,4.9348007e-08,0.00010144382,0.0015456716,0.14503634,0.03023543,0.504518,0.2570393,9.772474e-07,0.003627599,2.684206e-05,0.010128408,0.27581882,5.7872435e-06,2.7592841e-06,9.308264e-08
2.6195634e-05,0.0002735908,4.3735804e-06,0.0011316099,0.0058254697,0.0010658086,2.3444286e-06,1.0018166e-05,0.0373578,0.12549028,0.039172184,0.02027624,0.0939156,0.14811671,0.0002131952,1.4385285e-08,0.0512072,0.18807735,0.23240535,0.8182924,0.30925354,7.456967e-09,3.656636e-05,0.0008014515,0.12892447,0.0277861,0.48941696,0.25039953,2.0264434e-07,0.0021683294,7.909576e-06,0.0064647407,0.26784232,1.4828552e-06,6.295131e-07,1.5011652e-08
8.8094675e-06,0.00012188939,1.16171e-06,0.0005924559,0.003678067,0.0005353986,5.9214324e-07,2.9846185e-06,0.02967516,0.12252442,0.030108914,0.014873036,0.0937059,0.13144653,8.621408e-05,1.9577047e-09,0.042010967,0.17987388,0.21847789,0.8044328,0.30081198,9.639615e-10,1.2113362e-05,0.00039455981,0.1142855,0.025242776,0.47723672,0.24504775,3.6940282e-08,0.0012493497,2.1056474e-06,0.0039167334,0.25761068,3.3986393e-07,1.2729973e-07,2.0828208e-09
