epoch,train_loss,train_total_loss,train_r2,test_loss,test_r2
1,0.00200897757765719,0.24454028837465985,0.9979910254478455,0.0018893607398261184,0.9980159997940063
2,0.0004368143644336935,0.0007688616147647507,0.9995631575584412,0.00045425496161803733,0.9995229840278625
3,0.0002473524286953147,0.0003613169644608596,0.9997526407241821,0.0002652424966869796,0.9997214674949646
4,0.00016685652102539392,0.00020996052321669133,0.9998331665992737,0.00018033154941239442,0.9998106360435486
5,0.00013603425180332273,0.00013600036443876142,0.9998639822006226,0.00014721693155084914,0.9998453855514526
6,7.594124798437755e-05,0.00010322608543592485,0.9999240636825562,8.549845219454151e-05,0.9999102354049683
7,5.883003236610657e-05,6.754724324712627e-05,0.9999411702156067,6.470024775446964e-05,0.999932050704956
8,4.6445291663476967e-05,5.6405722438602714e-05,0.99995356798172,5.521266468108624e-05,0.9999420046806335
9,3.24588621301451e-05,4.072375547465543e-05,0.9999675154685974,4.1276108208045805e-05,0.9999566674232483
10,4.166782145258371e-05,3.511654705023406e-05,0.999958336353302,4.8657168726962786e-05,0.9999489188194275
11,2.8099717860485512e-05,2.791409311460787e-05,0.9999719262123108,3.458652291726334e-05,0.9999637007713318
12,2.4419287373442677e-05,2.6172646462857474e-05,0.9999755620956421,3.2861556142612644e-05,0.999965488910675
13,2.507173425345413e-05,2.3626603618890115e-05,0.9999749064445496,3.287742843234785e-05,0.999965488910675
14,2.1220541583099402e-05,1.963462018704883e-05,0.99997878074646,2.768022066969078e-05,0.9999709129333496
15,1.3215488298957288e-05,2.222488379074598e-05,0.9999867677688599,1.8984273310966625e-05,0.999980092048645
16,1.5076720358755869e-05,1.6258869462006294e-05,0.9999849200248718,2.0928847939061905e-05,0.9999780058860779
17,1.7510956507930834e-05,1.5167240525176742e-05,0.999982476234436,2.1089259984806904e-05,0.9999778270721436
18,1.5568830584267065e-05,1.8763521026374534e-05,0.9999844431877136,1.9311737922026667e-05,0.9999797344207764
19,1.0250067474188671e-05,1.2558436447994343e-05,0.9999897480010986,1.431026520965827e-05,0.9999849796295166
20,1.1568953967296435e-05,1.6998659788928142e-05,0.9999884366989136,1.7463571980489514e-05,0.9999816417694092
21,2.9908818141516078e-05,1.4004882364874705e-05,0.9999700784683228,3.265835096927112e-05,0.9999657273292542
22,1.007035838761185e-05,1.2476992290258817e-05,0.999989926815033,1.34098184895207e-05,0.999985933303833
23,8.789906159987143e-06,1.1547163163241296e-05,0.999991238117218,1.4510861490958782e-05,0.9999847412109375
24,7.50640496525625e-06,1.26260662238682e-05,0.9999924898147583,1.3044767050628854e-05,0.9999862909317017
25,2.7898389681492877e-05,1.289439684126708e-05,0.9999721050262451,3.219949171289377e-05,0.9999662041664124
26,3.681561150740259e-05,1.6436841549581858e-05,0.9999631643295288,3.904127362193529e-05,0.9999589920043945
27,4.47097750116616e-05,1.110682449475628e-05,0.9999552965164185,5.0470472771151325e-05,0.9999470114707947
28,2.1431274364023347e-05,1.2304432994440422e-05,0.9999785423278809,2.8324919233010784e-05,0.9999702572822571
29,1.2442637973428653e-05,1.9179182840051385e-05,0.9999875426292419,1.833997037187204e-05,0.9999807476997375
30,4.428773818072181e-05,1.1353277310091019e-05,0.9999557137489319,4.718724125534425e-05,0.9999504685401917
31,8.528625699778936e-06,1.460705181631361e-05,0.9999914765357971,1.5495070598474627e-05,0.9999837279319763
32,2.495303157451475e-05,1.2020716893664122e-05,0.9999750256538391,2.752278127558255e-05,0.9999710917472839
33,9.427999438740247e-06,1.7484236690980242e-05,0.9999905824661255,1.6100202055770764e-05,0.9999830722808838
34,8.38830807887582e-05,9.567930283725523e-06,0.999916136264801,8.981590822030611e-05,0.9999057054519653
35,5.123071626675395e-05,2.7228532094320296e-05,0.9999487400054932,5.1147948100620836e-05,0.9999462962150574
36,4.0855560653266545e-06,8.75724317012587e-06,0.9999958872795105,9.559411598254646e-06,0.9999899864196777
37,2.541320012171094e-05,8.807522991832308e-06,0.9999746084213257,3.0310350375989672e-05,0.9999681711196899
38,4.02875645640255e-05,6.580627864184355e-05,0.9999597072601318,4.493412784146321e-05,0.9999527931213379
39,3.9310594882753316e-05,1.1796935929323633e-05,0.9999606609344482,4.429577680726552e-05,0.9999535083770752
40,6.360846220422277e-06,2.0760470238084577e-05,0.999993622303009,1.1902141141471886e-05,0.9999874830245972
41,6.693182118847684e-06,7.804544499009191e-06,0.9999933242797852,1.4722079990980345e-05,0.9999845623970032
42,3.795772541036565e-05,1.7396583843718743e-05,0.9999620318412781,4.3411421447506066e-05,0.9999544024467468
43,2.065029099003576e-05,7.338657773184283e-06,0.9999793767929077,2.7380158056046674e-05,0.9999712705612183
44,1.8866565208608664e-05,1.885440186565076e-05,0.9999811053276062,2.5728237204054066e-05,0.9999729990959167
45,2.988273443918258e-06,3.385824006783294e-05,0.9999970197677612,1.0307230250797234e-05,0.9999891519546509
46,7.956908389475495e-06,9.240688506297292e-06,0.9999920725822449,1.499947418023066e-05,0.9999842643737793
47,4.571358601100506e-05,2.112527516955312e-05,0.9999542832374573,5.3564012928893224e-05,0.999943733215332
48,3.717823323924498e-06,1.0117974596758953e-05,0.9999963045120239,1.0278391726550784e-05,0.9999892115592957
49,1.5279362299860286e-05,6.1561132910079116e-06,0.9999847412109375,2.2327408592261057e-05,0.9999765753746033
50,3.899066356277402e-06,1.134179983382279e-05,0.9999961256980896,9.173437169864557e-06,0.9999903440475464
