area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
0.7587495,0.14561331,-0.14549781,0.7727215,-0.027555956,0.20009986,0.15994701,0.99158186,1.019936,0.5099032,0.47973981,0.15759914,0.701699,0.3518803,0.6520917,0.4330258,0.18052348,0.6635256,0.9266507,0.6685693,0.7845899,0.15372613,1.0123879,0.8680553,0.6335128,0.77575105,0.3363973,0.5646484,0.07609086,0.68717265,0.47851303,0.83398,0.3266034,0.057620972
0.7838231,0.08801489,-0.21534367,0.81604046,-0.10460126,0.16020618,0.10918638,1.0356319,1.0588796,0.49515048,0.47688416,0.11729732,0.7135838,0.3326054,0.6715476,0.42507488,0.12846847,0.67052287,0.9563978,0.7064383,0.8336454,0.11317662,1.0549287,0.8972729,0.650645,0.8189489,0.30653042,0.5571095,0.0114721,0.6956034,0.4611349,0.8625174,0.31813577,0.002181821
0.811046,0.03285907,-0.28504658,0.83678496,-0.16866428,0.10966495,0.06328711,1.0616554,1.098979,0.47451258,0.47876248,0.08439638,0.7257008,0.29611766,0.69105285,0.4119767,0.06527916,0.6746724,0.988479,0.7123587,0.8700796,0.068162344,1.0774298,0.92000407,0.6835237,0.86066985,0.27051374,0.5399526,-0.05056043,0.7095768,0.43948272,0.87960917,0.29031345,-0.040261056
0.83457845,-0.022571806,-0.33708882,0.85927695,-0.2297807,0.05688125,0.0034862084,1.1109117,1.1368234,0.45256805,0.4761081,0.046098698,0.73836404,0.25499973,0.7029877,0.40073228,0.0070625623,0.67453676,1.001552,0.7248882,0.88893604,0.014689403,1.109463,0.9403502,0.69132316,0.8974524,0.23323683,0.52040464,-0.12691543,0.7194832,0.4174374,0.89676416,0.25610635,-0.10752703
0.8615543,-0.09157257,-0.38801798,0.8804735,-0.29055303,0.006964473,-0.05313261,1.1482784,1.163551,0.42412204,0.4786518,-0.0026730679,0.75598294,0.21117415,0.7141798,0.38518554,-0.06254286,0.6722452,1.0233529,0.74881023,0.91207147,-0.058757484,1.1400703,0.96625614,0.69980526,0.9408681,0.19119814,0.5059755,-0.18637975,0.7314147,0.3901246,0.9161718,0.21229486,-0.162941
0.8816391,-0.16552001,-0.45032865,0.91421074,-0.34502107,-0.046236638,-0.11132209,1.1837919,1.195679,0.39715144,0.49051228,-0.05727121,0.7670799,0.16053718,0.7318565,0.36275494,-0.1375803,0.6737908,1.0497462,0.7771176,0.9424893,-0.1178739,1.1690356,0.9905783,0.71804917,0.969693,0.1478875,0.4858522,-0.24644269,0.7416784,0.3715879,0.9291068,0.1678427,-0.22078304
0.90777385,-0.23248407,-0.51290095,0.938476,-0.40924668,-0.10798995,-0.17806016,1.2206718,1.2292308,0.36688906,0.4996638,-0.12379999,0.7799639,0.11074277,0.7457135,0.33993587,-0.21179783,0.6768678,1.0785645,0.8012461,0.9767326,-0.17972177,1.1925459,1.0093236,0.74720144,1.0178741,0.10173371,0.46518654,-0.3092003,0.7637248,0.34530258,0.9400841,0.1321702,-0.27945676
0.9378566,-0.28925857,-0.55269915,0.9585821,-0.46454364,-0.1625749,-0.23742594,1.2613199,1.2551361,0.3323335,0.49226958,-0.18918848,0.80118173,0.06034234,0.76277065,0.3086811,-0.28652626,0.6734688,1.1048706,0.8130846,1.0159183,-0.24766958,1.2207962,1.0307823,0.76215166,1.052311,0.050128452,0.43569735,-0.3759487,0.7725623,0.31116754,0.953751,0.08680057,-0.3354903
0.96478665,-0.3504234,-0.6053151,0.97766316,-0.5134818,-0.21768555,-0.29923865,1.2901529,1.2919667,0.29219532,0.50565344,-0.2471257,0.81842554,0.022086576,0.78272766,0.27292457,-0.36049634,0.6692182,1.1337552,0.8528059,1.0494112,-0.3046525,1.2529603,1.0624187,0.7772627,1.0918243,-0.005706036,0.40802053,-0.42943138,0.7988384,0.2788567,0.9614548,0.019480355,-0.38174015
0.97872037,-0.40377554,-0.65604866,1.0019296,-0.564464,-0.27559397,-0.36136958,1.3376875,1.3237342,0.2401973,0.51252794,-0.3122622,0.8358449,-0.036449704,0.79916596,0.24190663,-0.42748982,0.66832614,1.1611503,0.8784883,1.0852886,-0.36373788,1.2784095,1.081147,0.78999364,1.1352276,-0.07059671,0.3697318,-0.47771484,0.8119952,0.23003094,0.9908427,-0.051346082,-0.43524572
0.9916974,-0.45642874,-0.68857956,1.0368607,-0.6080978,-0.33230373,-0.41824278,1.3728294,1.3482013,0.1870784,0.51687235,-0.3608159,0.8501261,-0.09933159,0.81592244,0.21024787,-0.49266425,0.67238927,1.1850557,0.9036157,1.1050862,-0.42235985,1.3075006,1.097191,0.8123577,1.1749359,-0.13555169,0.33267972,-0.5282549,0.8313196,0.18161392,1.0158054,-0.1093939,-0.49653113
