方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9301733860186274,area_2_load_day_ahead_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8238057164631599,gen_fuel_solar_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.7888370229332635,gen_fuel_coal_mw|system_losses_mw|gen_fuel_solar_mw
XGBoost,树模型特征重要性（2016）,0.6365469847520653,reserve_spin_r2_mw|area_2_load_day_ahead_mw|gen_fuel_coal_mw
Lasso,线性稀疏（1996）,0.846838838694859,gen_fuel_coal_mw|system_losses_mw|gen_fuel_hydro_mw
Pearson,相关系数排序（只看两两关系）,0.6387611461756204,gen_fuel_coal_mw|reserve_spin_r2_mw|area_2_load_actual_mw
