field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
area_1_net_export_mw,0.16489456593990326,0.17532388865947723,0.1757330596446991,0.17198383808135986,0.00501565495505929,3,1
gen_fuel_wind_mw,0.17453506588935852,0.18849141895771027,0.14803647994995117,0.17035432159900665,0.01677815057337284,3,1
area_3_net_export_mw,0.1513536125421524,0.1516067087650299,0.15700353682041168,0.1533212810754776,0.0026057937648147345,3,1
area_2_net_export_mw,0.13050003349781036,0.12467872351408005,0.12436443567276001,0.12651439011096954,0.0028211893513798714,3,1
gen_fuel_solar_mw,0.05214272066950798,0.0663689598441124,0.06303980946540833,0.06051716208457947,0.006075594574213028,3,1
system_losses_mw,0.04874050244688988,0.04896759241819382,0.051271334290504456,0.04965980723500252,0.0011432850733399391,3,1
gen_fuel_hydro_mw,0.048388153314590454,0.04370467737317085,0.04490606486797333,0.045666296035051346,0.0019861524924635887,3,1
reserve_spin_r3_mw,0.03802615404129028,0.035865265876054764,0.0,0.02463047206401825,0.017438702285289764,2,1
gen_fuel_coal_mw,0.038641557097435,0.0,0.0,0.012880519032478333,0.018215805292129517,1,0
area_3_load_day_ahead_mw,0.0,0.0,0.03552288934588432,0.011840962804853916,0.01674565114080906,1,0
area_2_load_actual_mw,0.0,0.0,0.03339469060301781,0.01113156322389841,0.015742408111691475,1,0
area_2_load_day_ahead_mw,0.0,0.030859431251883507,0.0,0.010286477394402027,0.014547274447977543,1,0
reserve_reg_down_mw,0.007561834994703531,0.008792589418590069,0.006360664498060942,0.007571696769446135,0.0009928536601364613,0,0
area_1_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
gen_fuel_nuclear_mw,0.0,0.0,0.0,0.0,0.0,0,0
gen_fuel_natural_gas_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_spin_r2_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_spin_r1_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_generation_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_1_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_3_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
