选中字段,替身对象,残差比
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561549e-14
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561549e-14
