方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9865770603811771,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_solar_pct|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_other_renewables_mw|total_losses|gen_fuel_nuclear_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.977462369328384,total_losses|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9740187681246203,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|gen_fuel_solar_mw
XGBoost,树模型特征重要性（2016）,0.9743296601789133,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_nuclear_mw|total_losses|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct
Lasso,线性稀疏（1996）,0.9839089589088443,gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_solar_pct|gen_fuel_other_renewables_pct|gen_fuel_hydro_pct|gen_fuel_other_renewables_mw|total_losses|gen_fuel_coal_pct|gen_fuel_multiple_fuels_mw
Pearson,相关系数排序（只看两两关系）,0.9682244261395673,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|system_energy_price_da|gen_fuel_oil_pct|gen_fuel_coal_pct|marginal_loss_price_da|gen_fuel_nuclear_mw|gen_fuel_hydro_mw
