total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.41740963,0.4904523,0.3990706,0.4087779,0.45233184,0.40705758,0.38288736,0.5365117,0.42675227,0.50460285,0.42902014,0.40532348,0.44950908,0.4066308,0.39228293,0.3962494,0.4092421,0.5048219,0.46415153,0.4397615,0.47815457,0.42380384,0.45611525,0.46024725,0.40204623,0.41701743,0.52489936,0.3998357,0.450978,0.4605528,0.42335483,0.40113628,0.39254764,0.47685838,0.408282,0.4656647,0.45335975,0.43077567,0.38767657,0.41648334,0.4119866,0.39437512,0.512933,0.38803145,0.39311835,0.49032232,0.5198954,0.51310676,0.4819852,0.5969596,0.5339625,0.46916705,0.46316817,0.41800103,0.3969692,0.41788873,0.38516557
0.3698404,0.5141034,0.33020067,0.3750529,0.40025836,0.34195763,0.3179703,0.5291272,0.40714338,0.49896276,0.39634994,0.37618396,0.42360708,0.36570033,0.34970447,0.32888365,0.34190047,0.5040573,0.4295237,0.38590974,0.4777684,0.40866277,0.43343294,0.43494797,0.32029352,0.36881536,0.5177567,0.33447492,0.40165678,0.42648488,0.3459459,0.33037212,0.2922704,0.46729562,0.39916492,0.44390395,0.45856208,0.3820792,0.30309632,0.33648905,0.38518804,0.31943676,0.50241154,0.29405203,0.3164776,0.4593005,0.50433606,0.54269755,0.4535635,0.62784356,0.5879328,0.46303886,0.44731298,0.35078755,0.36496833,0.39700043,0.34466234
0.31403938,0.52818084,0.29793626,0.34403822,0.35062078,0.30955473,0.24389179,0.53638345,0.40210178,0.49453026,0.34735247,0.34172463,0.40795258,0.34338558,0.332742,0.3038418,0.2847232,0.5075624,0.40534848,0.36441305,0.46291295,0.42555335,0.42824844,0.38386446,0.24221645,0.32720068,0.51224977,0.2707616,0.33366635,0.4058955,0.2871671,0.2685624,0.22552004,0.47202215,0.38340542,0.4110482,0.4502951,0.3645776,0.21202034,0.27743393,0.36896136,0.23662567,0.50430316,0.24491593,0.22083893,0.44863978,0.5051813,0.5970524,0.4263084,0.6441371,0.609579,0.45660886,0.45062327,0.31433347,0.32237092,0.3775962,0.3178762
0.26145524,0.53088003,0.25296167,0.3384772,0.3064435,0.2955069,0.19194263,0.51998985,0.39407086,0.4790051,0.3195513,0.32731986,0.39759833,0.32483673,0.33248183,0.26079595,0.2390898,0.51355153,0.35725868,0.31624994,0.45203787,0.44520944,0.42226905,0.3521163,0.18801275,0.28146002,0.49996698,0.2008688,0.2880038,0.3774077,0.23832358,0.18830834,0.185063,0.46906826,0.3766746,0.38622472,0.45127258,0.32679006,0.12655103,0.20913866,0.34541848,0.16480036,0.5030663,0.19070727,0.15199599,0.42658663,0.5014295,0.64112085,0.41901356,0.6721057,0.638631,0.4347946,0.449311,0.27692062,0.28601858,0.34143308,0.295461
0.22703248,0.5444201,0.23041777,0.33949333,0.26611957,0.25893083,0.14334479,0.5211773,0.42715096,0.4667595,0.3035183,0.32698947,0.4104175,0.30989087,0.32020476,0.24012709,0.19876726,0.527051,0.34897476,0.3029562,0.4395277,0.46060163,0.41402024,0.3073787,0.1319262,0.23622881,0.4987919,0.12759109,0.2276884,0.34653088,0.21476747,0.12215844,0.1503958,0.464056,0.3812461,0.35675037,0.47232935,0.28650472,0.054905407,0.1492659,0.31338626,0.0967242,0.50511694,0.1482488,0.09619959,0.4189499,0.5034301,0.67548275,0.4043054,0.7063271,0.66130614,0.45457992,0.4621315,0.2548175,0.24786285,0.32801986,0.27881578
0.1887282,0.5351864,0.18201521,0.32687572,0.2299016,0.24497862,0.09459561,0.51509964,0.43415305,0.44535553,0.2741922,0.33662382,0.39817652,0.29609582,0.3196021,0.2541499,0.17350473,0.531957,0.3116168,0.27456185,0.42441732,0.461095,0.4099533,0.29494694,0.09724117,0.20098174,0.4987049,0.08467874,0.16971193,0.3198011,0.17723177,0.037569962,0.09844381,0.4545912,0.35801548,0.34004506,0.48812136,0.27517036,0.0,0.084948465,0.28778273,0.0484823,0.49181694,0.0979203,0.04486108,0.39958906,0.49288628,0.701962,0.37786222,0.7380262,0.6929114,0.44648892,0.4699409,0.23987022,0.22614174,0.33374614,0.26844558
0.16859454,0.5326033,0.15062548,0.33305338,0.20234911,0.24376549,0.04723488,0.5024051,0.43495467,0.44096383,0.254536,0.33513755,0.41503665,0.264683,0.32088766,0.23926684,0.1441412,0.52901506,0.28324357,0.25838816,0.42287764,0.4758929,0.40066987,0.27452725,0.06895862,0.17871965,0.49271575,0.03603155,0.1267466,0.32028094,0.14101915,0.0,0.06056508,0.44324884,0.35767624,0.30648968,0.48344716,0.26553166,0.0,0.033312954,0.27225992,0.0,0.4923993,0.06941419,0.0,0.3910224,0.49377915,0.7269058,0.37404254,0.76256406,0.7138324,0.4520386,0.4774994,0.22379243,0.19577187,0.34296513,0.25817904
0.12693831,0.5375804,0.13111593,0.3541371,0.17036054,0.22162053,0.0070113204,0.50389093,0.4431069,0.42658144,0.24461755,0.34549123,0.40807408,0.2553663,0.32322258,0.25520524,0.11768038,0.5385267,0.24961631,0.22772856,0.4033317,0.4793269,0.40588292,0.25532177,0.032106202,0.13918224,0.4839101,0.00023619368,0.08263153,0.33755952,0.1072216,0.0,0.032475863,0.45539072,0.35861185,0.27743727,0.5075388,0.25377184,0.0,0.0,0.23850197,0.0,0.47958463,0.024485976,0.0,0.3869057,0.49490747,0.75974786,0.34738833,0.7756301,0.7217275,0.45936412,0.48688668,0.21079278,0.15757234,0.3469919,0.24419561
0.08993407,0.54621845,0.08761286,0.34225574,0.14948928,0.18797144,0.0,0.50312215,0.45188013,0.40992182,0.22875546,0.3501507,0.40921682,0.24152113,0.3228093,0.23778962,0.09315773,0.5600865,0.21823506,0.21553749,0.3839611,0.48459488,0.39737153,0.24145845,0.0,0.10315042,0.4894301,0.0,0.040197063,0.3466775,0.06314484,0.0,0.0,0.45197392,0.36536026,0.23217517,0.5347553,0.24921311,0.0,0.0,0.22721392,0.0,0.47692966,0.0,0.0,0.38232043,0.49401897,0.77440274,0.32586873,0.8072952,0.7574663,0.46695647,0.49467754,0.18835726,0.13235158,0.36558142,0.24072878
