total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5593257,0.44340977,0.5445788,0.55487555,0.5421551,0.57852405,0.54972064,0.53940284,0.47647306,0.3992748,0.4191163,0.5899934,0.5302452,0.4576575,0.51351,0.59027404,0.4971367,0.48496348,0.410308,0.3877189,0.43146038,0.48390332,0.4041435,0.4342367,0.43686408,0.39986855,0.4371278,0.43389347,0.4232007,0.51814216,0.47475496,0.41088364,0.4730787,0.39895648,0.529352,0.48361367,0.48768887,0.479985,0.476656,0.4845444,0.48591188,0.44045275,0.41847086,0.48725638,0.41756836,0.52607155
0.60657495,0.39290616,0.60429347,0.5944056,0.5721945,0.6271318,0.581576,0.58267784,0.5006967,0.29932,0.3499368,0.64348483,0.5345603,0.42735773,0.5086775,0.6641747,0.50951296,0.46681497,0.34762505,0.26130235,0.36153167,0.44283703,0.32940373,0.35468176,0.3721364,0.29097235,0.39442447,0.38518238,0.37177992,0.5108601,0.46116337,0.38028672,0.482561,0.32006764,0.55885994,0.47433245,0.49271274,0.46663138,0.44214797,0.44973236,0.45515895,0.38837716,0.3629404,0.47380832,0.33467257,0.5196951
0.6474298,0.3296323,0.6440872,0.64795095,0.60037744,0.6586182,0.62548554,0.6378111,0.5369945,0.20855124,0.2666017,0.6838784,0.532107,0.37987366,0.51409376,0.7309621,0.5183046,0.45639452,0.30498925,0.12975807,0.27937317,0.39294857,0.24126655,0.26288074,0.2997025,0.17751542,0.3449203,0.32892677,0.3027545,0.49907038,0.4283579,0.31675622,0.49520686,0.22559561,0.6007724,0.44855264,0.49093574,0.44689316,0.394486,0.42924803,0.4246849,0.34026882,0.2934869,0.45793447,0.24219474,0.5100512
0.6866417,0.2582966,0.6809042,0.6889063,0.622281,0.6975548,0.66197896,0.70001435,0.56490195,0.11034736,0.18192296,0.73089457,0.527028,0.3291447,0.511423,0.78801423,0.5204229,0.4449344,0.24275696,0.0,0.18374777,0.3413368,0.1452102,0.15913486,0.21372114,0.043280177,0.28600436,0.25684747,0.22881301,0.48817578,0.3958011,0.25835258,0.51052916,0.120207936,0.6348898,0.42333573,0.48084274,0.4329526,0.34061146,0.41240987,0.36931238,0.2907447,0.21755786,0.44786608,0.14578156,0.49279475
0.72428966,0.1583177,0.71451527,0.7367451,0.652868,0.74719304,0.70001155,0.7455101,0.5822554,0.00071473105,0.095967494,0.7724326,0.51726705,0.25946808,0.50363344,0.84383744,0.5137349,0.44133672,0.17872153,0.0,0.074985944,0.26470438,0.045876347,0.04387719,0.113621,0.0,0.22037332,0.17741069,0.15891041,0.47723246,0.3765455,0.20764233,0.5048494,0.0012652113,0.6822233,0.39952794,0.47748518,0.42230207,0.28022033,0.39742362,0.33386034,0.22837202,0.13846575,0.4146531,0.034007173,0.47330406
0.7546064,0.06560903,0.745302,0.7827891,0.67453957,0.79082227,0.72086924,0.7774169,0.6045088,0.0,0.0059602633,0.8085052,0.5072262,0.17566453,0.50265414,0.9019396,0.49060494,0.41153777,0.10704414,0.0,0.0,0.19357255,0.0,0.0,0.0,0.0,0.13852064,0.08907867,0.07537808,0.4570788,0.35534436,0.13198397,0.5230142,0.0,0.7212237,0.365418,0.47176024,0.40908274,0.20918794,0.37354413,0.28844425,0.16959868,0.04399184,0.3831407,0.0,0.445984
0.7877236,0.0,0.76783484,0.81447065,0.6947478,0.8213486,0.74789023,0.8133464,0.6119373,0.0,0.0,0.82378334,0.49863306,0.08469889,0.4897739,0.9431977,0.46075898,0.3893038,0.02969548,0.0,0.0,0.11290893,0.0,0.0,0.0,0.0,0.048267324,0.0048791277,0.0,0.4346225,0.3057507,0.048737083,0.5083834,0.0,0.74846256,0.32596356,0.4527049,0.39215785,0.12747423,0.34106347,0.2251626,0.08776723,0.0,0.32919115,0.0,0.41017848
0.81458044,0.0,0.796554,0.8404267,0.7197656,0.85751766,0.764188,0.852398,0.62601167,0.0,0.0,0.8480147,0.4772261,0.0,0.47862166,0.9957588,0.43735778,0.36517334,0.0,0.0,0.0,0.031725068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41077116,0.26422706,0.0,0.5040791,0.0,0.7846396,0.2760034,0.4353495,0.3718405,0.036846317,0.29959255,0.15503553,0.012644217,0.0,0.2861269,0.0,0.36136273
0.8585997,0.0,0.8225656,0.8630414,0.7393329,0.88513744,0.78877366,0.8953877,0.63670075,0.0,0.0,0.8710719,0.46023324,0.0,0.45708296,1.0,0.41861668,0.33570626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38153887,0.208155,0.0,0.49685684,0.0,0.8222128,0.23409283,0.42853132,0.36954784,0.0,0.2874509,0.074944764,0.0,0.0,0.22715731,0.0,0.30621767
0.8875885,0.0,0.84562737,0.8903364,0.74922454,0.91806775,0.8170243,0.9430264,0.64215785,0.0,0.0,0.9020317,0.42176852,0.0,0.4348942,1.0,0.38756967,0.3030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35708135,0.14436613,0.0,0.49210772,0.0,0.84747213,0.17199413,0.41365886,0.33328044,0.0,0.23877858,0.0004231913,0.0,0.0,0.17249998,0.0,0.23305163
