area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5631047,0.5275438,0.48159936,0.47966415,0.5673343,0.5173629,0.46402457,0.52583593,0.5061947,0.5800447,0.43453494,0.5401109,0.51053554,0.48493278,0.4951805,0.5373515,0.4729509,0.48925623,0.45909694,0.5577525,0.5779309
0.60410655,0.5228547,0.44633788,0.46970683,0.59768546,0.5050212,0.40582526,0.52598304,0.4913806,0.63002646,0.48175114,0.60196173,0.54863256,0.46921927,0.45685688,0.6081164,0.52292675,0.50185287,0.47481513,0.6290827,0.6797707
0.64094573,0.50815034,0.42662463,0.4725743,0.6257438,0.48599082,0.36241686,0.5245576,0.4701003,0.67165625,0.5207511,0.6450886,0.568126,0.45237738,0.4317477,0.6732883,0.5769365,0.48579648,0.5196952,0.69952816,0.7667146
0.6803793,0.49436903,0.37857395,0.45550507,0.6583695,0.4692326,0.31976786,0.5292047,0.4796111,0.7121851,0.5239357,0.66997683,0.58558226,0.44961214,0.40557998,0.74310905,0.6146226,0.46939301,0.5408509,0.7459665,0.8326699
0.71826184,0.4763001,0.36105698,0.44250125,0.6744403,0.44883743,0.28765035,0.52898496,0.4695017,0.7505747,0.5267261,0.69707733,0.6019919,0.43119562,0.3926034,0.816899,0.65753454,0.44322094,0.56147707,0.79159653,0.88161695
0.749729,0.47082138,0.33003938,0.41912147,0.6876953,0.44032252,0.23402916,0.52321124,0.44850594,0.787862,0.5479034,0.7134056,0.62450314,0.41167232,0.36196685,0.8867778,0.69654405,0.41830805,0.5675874,0.8397874,0.93063664
0.77633774,0.48142022,0.30125502,0.40824947,0.71787167,0.43089998,0.20582822,0.5190098,0.42941242,0.8131139,0.5468794,0.7409137,0.6441698,0.41052604,0.32519704,0.95389575,0.74228716,0.38416326,0.5841549,0.88389724,0.9868855
0.8091081,0.4949154,0.2693983,0.38311616,0.73838687,0.4188343,0.17333665,0.5169713,0.4112147,0.8456695,0.558588,0.75866544,0.66331166,0.4146553,0.29316503,1.009175,0.79887164,0.35065103,0.5792917,0.92684597,1.0430001
0.8525778,0.49359128,0.24236454,0.35811007,0.75512046,0.4219181,0.15060246,0.5161923,0.38326934,0.8743406,0.56549186,0.78178316,0.6911252,0.42113817,0.26880628,1.0507802,0.84942997,0.31033438,0.5975101,0.96987104,1.0765651
0.8876357,0.50164074,0.20592915,0.3303982,0.78081936,0.42411864,0.13506383,0.5011616,0.36722693,0.89993155,0.58818394,0.7987626,0.7058567,0.41565514,0.24671473,1.0985031,0.88955396,0.2794363,0.5986401,1.0237935,1.1166463
0.91363287,0.51550436,0.17331144,0.3118517,0.8051286,0.41656193,0.11968638,0.4866116,0.349849,0.9129641,0.5983742,0.8155032,0.723441,0.42012525,0.23078005,1.151566,0.9447486,0.24940538,0.6108318,1.0445638,1.1501309
0.9448453,0.5250228,0.12486828,0.3031573,0.8231243,0.4033774,0.090742834,0.46949303,0.33661532,0.94023323,0.61108357,0.8349139,0.7419759,0.44484982,0.19300936,1.2065816,0.98733705,0.21031126,0.6243491,1.0734202,1.1785305
0.9765662,0.5680072,0.07715927,0.2741391,0.84190774,0.42114127,0.079195045,0.46386972,0.32114664,0.96580625,0.61444014,0.8461294,0.76613706,0.4736064,0.16112459,1.2395207,1.0320624,0.15504012,0.6382813,1.1019896,1.2073516
0.99427605,0.5937979,0.042409208,0.25089255,0.8527501,0.44705072,0.06295588,0.45267165,0.29432994,0.9849169,0.60973835,0.8548402,0.77630234,0.5071749,0.1351739,1.28696,1.0881006,0.106735885,0.6552121,1.1320893,1.2505164
1.0183712,0.6230319,0.0032527274,0.23664388,0.8661093,0.46711433,0.03893898,0.44067207,0.27649808,0.9965475,0.61661595,0.86899775,0.7831735,0.52728933,0.097938895,1.335033,1.1204758,0.06259371,0.68054235,1.1577445,1.275157
1.0409393,0.67061377,-0.039464574,0.21192084,0.8781984,0.47656044,0.008836625,0.43620795,0.24570449,1.0127437,0.6131676,0.88058376,0.80456245,0.5519403,0.054315984,1.3796725,1.1643696,0.0014731397,0.6930482,1.1726236,1.2944528
