字段,中文名,层,快速得分(超阈比),标准_门控值,标准_是否选中,标准_选中数,标准_R2,去掉后_选中数,去掉后_全量R2,增量_门控值,增量_是否选中,增量_选中数,增量_R2,增量_与标准重合度,对照_门控值,对照_是否选中,对照_选中数,对照_R2,对照_与标准重合度,判定一致
prelim_load_avg_hourly,预估小时负荷,强,1.0452618260665012,0.8088539242744446,1,48,0.9325248834848879,47,0.9387575232107922,0.6412917375564575,1,32,0.9380492406856562,0.6666666666666666,0.7898750901222229,1,48,0.9297143784204758,1.0,1
total_pjm_self_sched_reg,调频自调度量,中,0.9395259640962819,0.025605322793126106,1,48,0.9325248834848879,47,0.9442198153739574,0.5719372630119324,1,31,0.934402927896009,0.6458333333333334,0.30722737312316895,1,48,0.9297143784204758,1.0,1
