方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8682136694597057,gen_fuel_gas_mw|forecast_load_mw_latest_available|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw|da_as_mcp_synchronized_reserve|gen_fuel_oil_pct|gen_fuel_coal_pct|gen_fuel_solar_mw|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|marginal_loss_price_rt|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_mw|da_as_mcp_primary_reserve
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8280644879833153,gen_fuel_nuclear_mw|gen_fuel_gas_mw|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|gen_fuel_coal_pct|forecast_load_mw_latest_available|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|prelim_load_avg_hourly|gen_fuel_oil_pct|total_pjm_assigned_reg|marginal_loss_price_rt|gen_fuel_oil_mw|da_as_mcp_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8250412411137089,gen_fuel_oil_mw|marginal_loss_price_rt|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_nuclear_mw|da_as_nsr_mw_primary_reserve|gen_fuel_gas_mw|gross_inadv_interchange_mw|gen_fuel_solar_mw|gen_fuel_oil_pct|prelim_load_avg_hourly|gen_fuel_coal_mw|total_pjm_rt_load_mwh|solar_generation_mw
XGBoost,树模型特征重要性（2016）,0.8366721138082971,gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|prelim_load_avg_hourly|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_oil_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gen_fuel_hydro_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_solar_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.7348935640579348,gen_fuel_oil_mw|marginal_loss_price_rt|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|solar_generation_mw|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_mcp_primary_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.8095190039765578,gen_fuel_oil_mw|gen_fuel_oil_pct|marginal_loss_price_rt|total_lmp_rt|system_energy_price_rt|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|da_as_mcp_primary_reserve|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_pct
