rank,related,gate,abs_gate
1,total_lmp_da,1.1843272,1.1843272
2,system_energy_price_da,1.1695541,1.1695541
3,marginal_loss_price_da,0.062211096,0.062211096
4,total_lmp_rt,0.05652132,0.05652132
5,system_energy_price_rt,0.040784772,0.040784772
6,total_pjm_loc_credit,-0.00046169892,0.00046169892
7,rmccp,0.0003811763,0.0003811763
8,da_as_ss_mw_thirty_minutes_reserve,-0.00036614056,0.00036614056
9,da_as_as_req_mw_primary_reserve,-0.0003418784,0.0003418784
10,gen_fuel_coal_mw,-0.00031880563,0.00031880563
11,da_as_mcp_primary_reserve,-0.00027318904,0.00027318904
12,total_gen,-0.0002713892,0.0002713892
13,gen_fuel_nuclear_pct,0.00022698591,0.00022698591
14,da_as_as_req_mw_thirty_minutes_reserve,-0.00021852939,0.00021852939
15,da_as_total_mw_synchronized_reserve,0.00021703166,0.00021703166
16,gen_fuel_oil_mw,-0.00019161565,0.00019161565
17,gross_inadv_interchange_mw,-0.00017236682,0.00017236682
18,da_as_mcp_synchronized_reserve,0.00016845479,0.00016845479
19,da_as_ss_mw_synchronized_reserve,0.00015942522,0.00015942522
20,prelim_load_avg_hourly,-0.00015241944,0.00015241944
21,gen_fuel_multiple_fuels_mw,0.0001477522,0.0001477522
22,da_as_as_mw_primary_reserve,0.00014689725,0.00014689725
23,gross_actual_interchange_mw,-0.00014374466,0.00014374466
24,gen_fuel_hydro_pct,0.00014279681,0.00014279681
25,net_sched_interchange_mw,-0.00013531877,0.00013531877
26,da_as_total_mw_thirty_minutes_reserve,-0.00012439564,0.00012439564
27,da_as_nsr_mw_primary_reserve,-0.0001229599,0.0001229599
28,forecast_load_mw_day_ahead,-0.00012213786,0.00012213786
29,gen_fuel_coal_pct,0.00011827388,0.00011827388
30,gen_fuel_other_renewables_pct,-7.182173e-05,7.182173e-05
31,gen_fuel_storage_mw,6.766319e-05,6.766319e-05
32,total_pjm_rt_load_mwh,-5.6406723e-05,5.6406723e-05
33,congestion_price_rt,5.442217e-05,5.442217e-05
34,gross_sched_interchange_mw,-5.355539e-05,5.355539e-05
35,gen_fuel_nuclear_mw,4.9273774e-05,4.9273774e-05
36,da_as_as_mw_thirty_minutes_reserve,-4.8893402e-05,4.8893402e-05
37,total_pjm_assigned_reg,-4.649729e-05,4.649729e-05
38,forecast_load_mw_latest_available,4.5453933e-05,4.5453933e-05
39,da_as_as_mw_synchronized_reserve,4.242241e-05,4.242241e-05
40,gen_fuel_oil_pct,-3.6800528e-05,3.6800528e-05
41,total_pjm_rmccp_cr,-3.5321413e-05,3.5321413e-05
42,marginal_loss_price_rt,-3.3272925e-05,3.3272925e-05
43,metered_load_mw,2.5852816e-05,2.5852816e-05
44,gen_fuel_gas_mw,2.1733336e-05,2.1733336e-05
45,gen_fuel_hydro_mw,1.5338817e-05,1.5338817e-05
46,gen_fuel_multiple_fuels_pct,-1.3860154e-05,1.3860154e-05
47,total_losses,-1.1861208e-05,1.1861208e-05
48,da_as_ss_mw_primary_reserve,-9.530913e-06,9.530913e-06
49,total_pjm_reg_purchases,-4.3915934e-06,4.3915934e-06
50,da_as_as_req_mw_synchronized_reserve,-1.5044498e-06,1.5044498e-06
51,da_as_total_mw_primary_reserve,-8.0730933e-07,8.0730933e-07
