solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5291989,0.58491564,0.57905656,0.541657,0.5417232,0.58312404,0.5323582,0.5375793,0.47679847,0.43806612,0.5533602,0.46087417,0.5258208,0.60688955,0.5229085,0.5577199,0.5070198,0.5026725,0.45423317,0.4395025,0.43028617,0.40826523,0.4307032,0.4909958,0.50186294,0.52109605,0.46326068,0.50510556,0.509136,0.5046542,0.529399
0.56138116,0.6169497,0.6377947,0.5602966,0.5380938,0.63486326,0.5421126,0.5583661,0.48180202,0.3685612,0.56412804,0.40386134,0.5154041,0.676823,0.50943804,0.59739184,0.50168025,0.4779483,0.3983926,0.38404632,0.3746321,0.32225415,0.3597136,0.45068985,0.487019,0.5084324,0.44136336,0.5233134,0.48906466,0.49666196,0.49991035
0.5915741,0.66794753,0.68627936,0.58451,0.5515082,0.68411803,0.5418888,0.56691813,0.5075088,0.2796752,0.57240736,0.33485603,0.5106816,0.7354798,0.48735157,0.62594706,0.5123258,0.4512298,0.33400127,0.32082036,0.29738417,0.22823398,0.27541414,0.40973938,0.47381094,0.50163025,0.41065618,0.5366639,0.47070652,0.49380007,0.47751883
0.6118076,0.705482,0.7339271,0.59620476,0.5518442,0.74447024,0.5500408,0.5819179,0.5372491,0.18723911,0.58050776,0.27288112,0.48615214,0.78917485,0.47563934,0.6451611,0.5089894,0.43316782,0.27328512,0.23619094,0.21918689,0.13949499,0.17843233,0.35689837,0.44623616,0.4910642,0.3778445,0.5552431,0.4516483,0.48979235,0.45174724
0.6412441,0.7338568,0.78252214,0.62313694,0.55552536,0.797894,0.5664678,0.5778229,0.5436763,0.07945709,0.57781285,0.19569968,0.46126017,0.8256968,0.46446097,0.6651148,0.48892778,0.42730504,0.23160651,0.13745993,0.123265736,0.039486393,0.07193699,0.28739816,0.40966204,0.48529056,0.3385754,0.5706596,0.42554256,0.48109502,0.42090753
0.65277165,0.76375663,0.82491374,0.6416446,0.5469874,0.8539725,0.5666061,0.5843726,0.5529288,-0.029834112,0.5718656,0.12407256,0.43143883,0.8687799,0.44531655,0.67848486,0.47118166,0.403514,0.15500425,0.037987664,0.021440504,-0.06047946,-0.03270305,0.21872242,0.36698517,0.46466923,0.28203154,0.5866954,0.3887547,0.47766837,0.38224748
0.67026156,0.77259296,0.8367212,0.6529273,0.5368897,0.90747505,0.56528854,0.5778121,0.5618294,-0.12721552,0.55231243,0.02919766,0.403832,0.895938,0.42112648,0.684748,0.45816064,0.38000676,0.077962466,-0.06841012,-0.09698661,-0.17270556,-0.14208847,0.13288215,0.32975662,0.42900676,0.23032443,0.5939276,0.35611433,0.45689225,0.331809
0.6756757,0.78872263,0.86858267,0.65796024,0.52947944,0.9557594,0.5583325,0.5794594,0.5570227,-0.23664851,0.53791386,-0.07100059,0.36143023,0.94023085,0.3974143,0.70254767,0.42722267,0.34985647,-0.020500518,-0.1747046,-0.2086061,-0.26795432,-0.24490952,0.05043986,0.27476674,0.3980953,0.15927958,0.60518676,0.3200549,0.44309035,0.27865258
0.68759274,0.8170283,0.8937128,0.6607559,0.52807564,1.0042189,0.5580357,0.57448286,0.5519067,-0.33422405,0.5215027,-0.15836358,0.32498512,0.9961337,0.3646057,0.7147279,0.39002636,0.32275927,-0.109709375,-0.27820963,-0.31277856,-0.36528414,-0.34641117,-0.04467557,0.22071455,0.3619533,0.082586676,0.6283574,0.26742312,0.4393719,0.21265325
0.7145543,0.84884995,0.9264274,0.6843977,0.5090846,1.0547603,0.55898553,0.5758884,0.55192983,-0.42600748,0.50511855,-0.24563031,0.27270985,1.0431591,0.33153096,0.7198988,0.35507312,0.29424396,-0.20491274,-0.37331232,-0.41249472,-0.45421034,-0.43898746,-0.14081104,0.15056312,0.31750855,-0.000784645,0.64891446,0.22085936,0.43247956,0.14420803
0.7394425,0.87133825,0.94974416,0.70897657,0.49353102,1.1006382,0.57129407,0.5634794,0.53173006,-0.50980973,0.48328358,-0.33790237,0.23250152,1.0854905,0.28882605,0.72038376,0.30454177,0.2533354,-0.29098502,-0.4596887,-0.49591404,-0.5292249,-0.5220836,-0.23562434,0.064421184,0.27926746,-0.07974992,0.66859,0.17940055,0.425606,0.06863275
0.7583261,0.8892385,0.9717246,0.72921145,0.47530922,1.1442785,0.5687308,0.5537852,0.5229157,-0.5856737,0.4639541,-0.42456105,0.17302142,1.1285037,0.24066713,0.7227611,0.25266427,0.21491835,-0.37623093,-0.5414934,-0.5710926,-0.59599495,-0.59392184,-0.33020043,-0.024640186,0.2320444,-0.16816047,0.6915127,0.114135705,0.4169819,-0.014031643
0.7726641,0.9079224,1.0000045,0.74673706,0.44820812,1.1869788,0.5598111,0.5415349,0.5158257,-0.65248865,0.4372163,-0.50284344,0.10794667,1.1719171,0.1903758,0.7301514,0.19824728,0.1654863,-0.4625583,-0.6131531,-0.642177,-0.6595821,-0.65690345,-0.41712046,-0.11692883,0.19071868,-0.2484894,0.7240171,0.051770475,0.39939827,-0.10115378
0.7968066,0.91668946,1.0200428,0.7731201,0.42262533,1.22501,0.5427702,0.5114656,0.4943746,-0.7122903,0.40179718,-0.5689362,0.04254055,1.2145022,0.14143908,0.7316339,0.12410879,0.11537653,-0.5313873,-0.6868283,-0.70441145,-0.7202122,-0.716484,-0.5013133,-0.20604333,0.12878059,-0.33195537,0.7501046,-0.0140247205,0.3866351,-0.18752785
0.83386695,0.9364089,1.0353065,0.79273635,0.38495415,1.2759154,0.5351392,0.47854346,0.47914493,-0.77018374,0.3675996,-0.6393986,-0.025292251,1.2654206,0.0822836,0.7364761,0.048228562,0.0552451,-0.5950541,-0.7395827,-0.7594568,-0.7735719,-0.7723353,-0.57557464,-0.29299375,0.058512483,-0.4161048,0.7936336,-0.0891815,0.36834577,-0.27533442
