tau,平均选中数,最少,最多,与目标字段数之差
0.02,16.416666666666668,8,30,1.1666666666666679
0.05,9.833333333333334,5,18,5.416666666666666
0.08,6.166666666666667,1,11,9.083333333333332
0.12,4.75,1,9,10.5
0.2,3.3333333333333335,1,7,11.916666666666666
0.3,2.5833333333333335,1,6,12.666666666666666
