tau,平均选中数,最少,最多,与目标字段数之差
0.3,22.083333333333332,9,31,6.833333333333332
0.2,26.166666666666668,10,36,10.916666666666668
0.12,28.0,10,37,12.75
0.08,29.416666666666668,12,38,14.166666666666668
0.05,30.666666666666668,12,39,15.416666666666668
0.02,31.416666666666668,12,42,16.166666666666668
