name,feature_count,best_test_mse,best_test_r2,best_epoch
all_55,55,0.02927605013317633,0.9690972566604614,103
B_K2_5,5,0.5367410080734549,0.4334356188774109,120
without_B_K2_50,50,0.07207841511316053,0.9239166378974915,66
B_K3_7,7,0.3343443266774823,0.6470782160758972,120
without_B_K3_48,48,0.09229291439987719,0.9025789499282837,92
L1_selected_18,18,0.03011058774072586,0.9682163596153259,113
without_L1_selected_37,37,0.2063303866605388,0.7822051048278809,35
