方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6653093439278059,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_oil_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|forecast_load_mw_latest_available|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|solar_generation_mw|da_as_ss_mw_primary_reserve|gen_fuel_coal_mw|total_pjm_reg_purchases|total_pjm_self_sched_reg|da_as_mcp_primary_reserve|total_pjm_loc_credit|total_pjm_rmpcp_cr|net_inadv_interchange_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.6610697749337946,gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_gas_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|gen_fuel_other_renewables_mw|da_as_ss_mw_primary_reserve|prelim_load_avg_hourly|total_pjm_reg_purchases|gen_fuel_solar_pct|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|solar_generation_mw|gen_fuel_hydro_pct|total_pjm_loc_credit|gen_fuel_solar_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.6057715773677105,gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|solar_generation_mw|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|gen_fuel_solar_mw|system_energy_price_da|gen_fuel_multiple_fuels_pct|total_pjm_loc_credit|gen_fuel_other_renewables_pct|gen_fuel_nuclear_pct|gen_fuel_storage_mw|total_pjm_rmpcp_cr|gen_fuel_hydro_pct|da_as_mcp_primary_reserve|gen_fuel_wind_mw|prelim_load_avg_hourly|forecast_load_mw_latest_available|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw
XGBoost,树模型特征重要性（2016）,0.696493036197984,total_lmp_rt|gen_fuel_solar_pct|total_pjm_reg_purchases|gen_fuel_nuclear_mw|da_as_as_req_mw_thirty_minutes_reserve|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_solar_mw|gen_fuel_multiple_fuels_mw|system_energy_price_da|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|solar_generation_mw|gen_fuel_hydro_pct|gen_fuel_wind_mw|prelim_load_avg_hourly|da_as_as_mw_thirty_minutes_reserve|gen_fuel_oil_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_pct
Lasso,线性稀疏（1996）,0.5863735820971523,gen_fuel_nuclear_mw|total_pjm_reg_purchases|solar_generation_mw|gen_fuel_nuclear_pct|system_energy_price_da|da_as_mcp_primary_reserve|gen_fuel_hydro_mw|total_pjm_loc_credit|gen_fuel_storage_mw|da_as_ss_mw_primary_reserve|gen_fuel_hydro_pct|total_pjm_rmpcp_cr|gen_fuel_other_renewables_pct|gen_fuel_solar_mw|total_pjm_self_sched_reg|gen_fuel_multiple_fuels_pct|gen_fuel_oil_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|total_lmp_rt|system_energy_price_rt
Pearson,相关系数排序（只看两两关系）,0.6433125650098244,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_gas_mw|total_pjm_assigned_reg|gen_fuel_solar_pct|system_energy_price_da|gen_fuel_nuclear_pct|solar_generation_mw|gen_fuel_solar_mw|gen_fuel_other_renewables_pct|gen_fuel_gas_pct|gen_fuel_oil_mw|da_as_ss_mw_primary_reserve|gen_fuel_oil_pct|gen_fuel_multiple_fuels_mw|gen_fuel_storage_mw
