方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8917555532047274,system_energy_price_da|gen_fuel_gas_mw|gen_fuel_nuclear_mw|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_solar_mw|gen_fuel_oil_mw|gen_fuel_coal_pct|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|gen_fuel_hydro_pct|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|total_pjm_loc_credit
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8632220325250971,gross_inadv_interchange_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|da_as_mcp_primary_reserve|gen_fuel_oil_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_rmccp_cr|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_synchronized_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8994246535313264,system_energy_price_da|marginal_loss_price_rt|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|forecast_load_mw_latest_available|gen_fuel_oil_mw|system_energy_price_rt|gen_fuel_multiple_fuels_mw|gen_fuel_gas_mw|gen_fuel_oil_pct|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_hydro_pct|da_as_as_req_mw_primary_reserve|gross_inadv_interchange_mw
XGBoost,树模型特征重要性（2016）,0.8904445861234039,system_energy_price_da|forecast_load_mw_latest_available|prelim_load_avg_hourly|gen_fuel_nuclear_mw|total_pjm_rt_load_mwh|gen_fuel_oil_pct|da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_mw|gen_fuel_multiple_fuels_mw|gen_fuel_solar_mw|marginal_loss_price_rt|gen_fuel_coal_pct|gen_fuel_hydro_pct
Lasso,线性稀疏（1996）,0.8460583904366192,system_energy_price_da|forecast_load_mw_latest_available|gen_fuel_solar_mw|gen_fuel_gas_mw|gen_fuel_oil_mw|gen_fuel_solar_pct|marginal_loss_price_rt|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|gen_fuel_coal_pct|da_as_as_req_mw_primary_reserve|system_energy_price_rt|total_pjm_reg_purchases
Pearson,相关系数排序（只看两两关系）,0.8613760250956883,system_energy_price_da|gen_fuel_oil_mw|gen_fuel_oil_pct|marginal_loss_price_rt|total_lmp_rt|system_energy_price_rt|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|da_as_mcp_primary_reserve|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_pct
