rank,related,gate,abs_gate
1,da_as_mcp_primary_reserve,0.7279892,0.7279892
2,da_as_as_mw_synchronized_reserve,0.6388447,0.6388447
3,da_as_total_mw_thirty_minutes_reserve,0.61716753,0.61716753
4,da_as_as_req_mw_thirty_minutes_reserve,0.5731841,0.5731841
5,da_as_total_mw_synchronized_reserve,0.55138654,0.55138654
6,da_as_as_mw_thirty_minutes_reserve,0.53474426,0.53474426
7,metered_load_mw,0.5345833,0.5345833
8,da_as_as_req_mw_primary_reserve,0.5187345,0.5187345
9,gen_fuel_nuclear_mw,0.44878584,0.44878584
10,da_as_as_req_mw_synchronized_reserve,0.4269867,0.4269867
11,gen_fuel_gas_mw,0.39816698,0.39816698
12,gen_fuel_nuclear_pct,0.3033775,0.3033775
13,gen_fuel_coal_pct,0.28658298,0.28658298
14,gen_fuel_hydro_mw,0.2573447,0.2573447
15,gen_fuel_oil_pct,0.24886525,0.24886525
16,gen_fuel_solar_mw,0.22748397,0.22748397
17,system_energy_price_da,0.20896886,0.20896886
18,total_pjm_reg_purchases,0.19989602,0.19989602
19,congestion_price_da,0.1957966,0.1957966
20,total_losses,0.19119006,0.19119006
21,gen_fuel_gas_pct,0.18628746,0.18628746
22,gen_fuel_hydro_pct,0.17874724,0.17874724
23,gross_sched_interchange_mw,0.17638873,0.17638873
24,gen_fuel_multiple_fuels_pct,0.17405339,0.17405339
25,gen_fuel_other_renewables_pct,0.17180541,0.17180541
26,net_actual_interchange_mw,0.1665055,0.1665055
27,forecast_load_mw_day_ahead,0.16299793,0.16299793
28,da_as_mcp_synchronized_reserve,0.1622334,0.1622334
29,gen_fuel_other_renewables_mw,0.14968498,0.14968498
30,rmccp,0.14966002,0.14966002
31,net_sched_interchange_mw,0.14500672,0.14500672
32,gross_actual_interchange_mw,0.14130259,0.14130259
33,system_energy_price_rt,0.11794493,0.11794493
34,gen_fuel_storage_mw,0.114343405,0.114343405
35,gen_fuel_multiple_fuels_mw,0.112878226,0.112878226
36,gen_fuel_coal_mw,0.09812417,0.09812417
37,total_pjm_rt_load_mwh,0.09697361,0.09697361
38,da_as_ss_mw_primary_reserve,0.09390297,0.09390297
39,da_as_ss_mw_thirty_minutes_reserve,0.091826715,0.091826715
40,rmpcp,0.091123976,0.091123976
41,total_pjm_rmpcp_cr,0.08806017,0.08806017
42,total_pjm_loc_credit,0.07634265,0.07634265
43,marginal_loss_price_rt,0.050185435,0.050185435
44,total_gen,0.039574992,0.039574992
45,total_lmp_da,0.033458866,0.033458866
46,prelim_load_avg_hourly,0.016334655,0.016334655
47,da_as_ss_mw_synchronized_reserve,0.0040932093,0.0040932093
48,gen_fuel_oil_mw,-0.0030637826,0.0030637826
49,forecast_load_mw_latest_available,-0.0022427933,0.0022427933
50,total_pjm_rmccp_cr,-0.0002555344,0.0002555344
