case_id,target_feature,case_type,feature_count,features,best_test_r2,best_test_mse,best_epoch,final_train_r2,final_train_mse,final_test_r2,final_test_mse
da_as_nsr_mw_primary_reserve__C_only,da_as_nsr_mw_primary_reserve,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.9646458625793457,0.03349310578210506,156,0.9780691862106323,0.021930782234155545,0.9646458625793457,0.03349310578210506
gen_fuel_coal_mw__C_only,gen_fuel_coal_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.87142014503479,0.12181149837674528,158,0.9389853477478027,0.061014653803691164,0.87142014503479,0.12181149837674528
gen_fuel_gas_mw__C_only,gen_fuel_gas_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.8170267939567566,0.17334167156141342,148,0.9181768894195557,0.08182310424659836,0.8170267939567566,0.17334167156141342
gen_fuel_hydro_mw__C_only,gen_fuel_hydro_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.9140466451644897,0.08142883831453396,139,0.9538071155548096,0.04619285507194419,0.9140466451644897,0.08142883831453396
gen_fuel_multiple_fuels_mw__C_only,gen_fuel_multiple_fuels_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw,0.9579027891159058,0.03988124499460909,121,0.9718308448791504,0.0281691673761596,0.9579027891159058,0.03988124499460909
gen_fuel_nuclear_mw__C_only,gen_fuel_nuclear_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.9205331802368164,0.07528378977440298,160,0.9563932418823242,0.04360674016538533,0.9205331802368164,0.07528378977440298
gen_fuel_oil_mw__C_only,gen_fuel_oil_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_multiple_fuels_mw,0.9570645689964294,0.040675375471459475,149,0.9746227264404297,0.025377241731568044,0.9570645689964294,0.040675375471459475
gen_fuel_solar_mw__C_only,gen_fuel_solar_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.8518602848052979,0.14034180273869779,159,0.930370032787323,0.06962997672197066,0.8518602848052979,0.14034180273869779
gen_fuel_wind_mw__C_only,gen_fuel_wind_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.8657419681549072,0.1271908230761566,158,0.9288218021392822,0.0711782102627235,0.8657419681549072,0.1271908230761566
gross_sched_interchange_mw__C_only,gross_sched_interchange_mw,C_only,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.954909086227417,0.04271737583231453,154,0.973960280418396,0.026039723383971723,0.954909086227417,0.04271737583231453
