epoch,temperature,train_mse,train_r2,test_mse,test_r2,candidate_active_0p5,candidate_gate_sum,budget_max_features
1,2.0,1.0003375692234795,-0.0003376007080078125,0.9483751622823681,-0.0010704994201660156,0,16.73781967163086,12
2,1.9826742967867415,1.0000030960998492,-3.0994415283203125e-06,0.9474978434239946,-0.00014448165893554688,0,14.755010604858398,12
3,1.9654986835694,0.8266714256765458,0.1733284592628479,0.7721741822798077,0.18492084741592407,1,13.484085083007812,12
4,1.9484718601406132,0.8033722021214204,0.19662773609161377,0.7527183211612992,0.20545780658721924,2,12.766044616699219,12
5,1.9315925375565222,0.7865271164341613,0.21347284317016602,0.736236541282113,0.2228553295135498,2,12.342344284057617,12
6,1.9148594380391977,0.6820502534997455,0.31794971227645874,0.6575344698730765,0.30593037605285645,3,12.131086349487305,12
7,1.8982712948799105,0.6386694343239183,0.3613305687904358,0.6073361508457399,0.35891789197921753,5,12.051178932189941,12
8,1.881826852343242,0.5803757766950776,0.4196241497993469,0.5558380987495184,0.41327744722366333,4,11.911741256713867,12
9,1.8655248655720222,0.5232712418568398,0.4767286777496338,0.5147542105306212,0.45664405822753906,7,11.701449394226074,12
10,1.849364100493095,0.5458121108335907,0.4541877508163452,0.5380375064546015,0.43206703662872314,6,11.4490966796875,12
11,1.8333433337238958,0.47253111171913365,0.5274688601493835,0.47243256280880147,0.5013172626495361,7,11.251357078552246,12
12,1.8174613524798429,0.46742459699727484,0.5325753688812256,0.4639290445824949,0.5102932453155518,7,11.036880493164062,12
13,1.8017169544825262,0.4652502055412754,0.5347498059272766,0.46799734557365497,0.505998969078064,7,10.85912036895752,12
14,1.7861089478686962,0.4687370342052592,0.5312629342079163,0.47091831480402774,0.502915620803833,6,10.662416458129883,12
15,1.770636151100037,0.45350826921511206,0.5464917421340942,0.4628978318012342,0.5113817453384399,6,10.519593238830566,12
16,1.7552973928737243,0.44548958222275925,0.5545104146003723,0.45091982204012754,0.5240253210067749,8,10.377172470092773,12
17,1.740091512033756,0.4227399011089273,0.5772600769996643,0.43488695340730793,0.5409490466117859,8,10.237196922302246,12
18,1.7250173574830525,0.4190103588817594,0.5809895992279053,0.43343798529992744,0.5424785614013672,8,10.053674697875977,12
19,1.710073788096317,0.42283401817856264,0.577165961265564,0.4311335101360228,0.5449110269546509,7,9.91930866241455,12
20,1.6952596726336524,0.40491386231895987,0.5950860977172852,0.418390760379957,0.5583618879318237,9,9.787827491760254,12
21,1.6805738896549243,0.4168461801599311,0.5831537246704102,0.4276102788564635,0.5486301183700562,8,9.648253440856934,12
22,1.666015327434868,0.40904298157045443,0.5909570455551147,0.42955330836518507,0.546579122543335,8,9.526908874511719,12
23,1.6515828838789297,0.40254250238134515,0.5974575281143188,0.4233899490408054,0.5530848503112793,8,9.41537094116211,12
24,1.637275466439838,0.38721411976420544,0.612785816192627,0.40655147547765474,0.5708589553833008,9,9.323233604431152,12
25,1.6230919920348947,0.39412349652893935,0.6058764457702637,0.41740198306194165,0.5594055652618408,8,9.234822273254395,12
26,1.6090313869639883,0.3883006088577728,0.6116993427276611,0.41340857753302995,0.5636208057403564,8,9.152938842773438,12
27,1.5950925868283103,0.37716968945198437,0.6228302717208862,0.40594051751058274,0.5715038776397705,9,9.08418083190918,12
28,1.5812745364497824,0.3786609828256179,0.621338963508606,0.40815984221493323,0.5691611766815186,9,9.025086402893066,12
29,1.5675761897911766,0.370519402075323,0.6294806003570557,0.40098870327559916,0.5767308473587036,9,8.951142311096191,12
30,1.5539965098769304,0.36922323916883165,0.6307767629623413,0.4019903311187901,0.5756735801696777,9,8.886778831481934,12
31,1.5405344687146467,0.36110088903198345,0.6388990879058838,0.3954428523642624,0.582584798336029,9,8.8158597946167,12
32,1.5271890472172742,0.3703156459045083,0.629684329032898,0.4050352836436615,0.5724594593048096,9,8.75989055633545,12
33,1.5139592351259616,0.36350009837603403,0.6364998817443848,0.404915347127471,0.572585940361023,10,8.733366012573242,12
34,1.5008440309335795,0.46595138860376256,0.5340485572814941,0.49240100338328174,0.48023927211761475,8,8.683419227600098,12
35,1.4878424418089065,0.3507357469207908,0.6492642164230347,0.39039489990327414,0.5879132747650146,9,8.64712905883789,12
36,1.4749534835214713,0.35509278168326386,0.6449072360992432,0.40002078049611756,0.5777525305747986,10,8.624580383300781,12
37,1.4621761803670437,0.33815281852386453,0.6618471741676331,0.3856624885939243,0.5929086208343506,10,8.578719139099121,12
38,1.4495095650937762,0.33733457807681655,0.6626653671264648,0.385659954124471,0.5929113030433655,10,8.528898239135742,12
39,1.436952678828979,0.3291061547287178,0.6708937883377075,0.38036902993917465,0.5984961986541748,10,8.458637237548828,12
40,1.4245045710065352,0.3301347327723383,0.6698652505874634,0.37975969176921176,0.5991394519805908,10,8.40694808959961,12
41,1.4121642992949406,0.344090648620616,0.6559092998504639,0.39178581381352934,0.5864450931549072,9,8.342823028564453,12
42,1.399930929525969,0.3239673192177357,0.6760326623916626,0.37284204041267316,0.6064413785934448,10,8.288619995117188,12
43,1.387803535623955,0.3196402277931014,0.6803597211837769,0.37269198758209626,0.6065998077392578,10,8.236919403076172,12
44,1.3757811995356892,0.3133017446570138,0.6866982579231262,0.36686430648877855,0.612751305103302,10,8.189212799072266,12
45,1.3638630111609211,0.31384959665193163,0.686150312423706,0.367454331254632,0.612128496170044,10,8.131185531616211,12
46,1.3520480682834637,0.310880243477023,0.6891196966171265,0.3631209717245727,0.6167026162147522,10,8.087640762329102,12
47,1.3403354765028943,0.31366331857706553,0.6863366365432739,0.36704184080860236,0.6125639081001282,10,8.056099891662598,12
48,1.328724349166849,0.3055499233845351,0.6944500803947449,0.3603967974053287,0.6195781826972961,10,8.01241683959961,12
49,1.3172138073039015,0.30816779269756567,0.6918321847915649,0.36339719191466163,0.6164110898971558,10,7.973654270172119,12
50,1.3058029795570247,0.30820474223518624,0.6917952299118042,0.361439774789643,0.6184772253036499,10,7.934117317199707,12
51,1.294491002117628,0.3074513760165892,0.6925486326217651,0.36629592902140645,0.6133512258529663,10,7.927515983581543,12
52,1.283277018660166,0.2946813602503432,0.7053186297416687,0.3580688199073803,0.6220355033874512,10,7.880368232727051,12
