solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.52982163,0.4943124,0.51049197,0.4466223,0.4435879,0.5746434,0.46912622,0.44301346,0.551482,0.483833,0.5167818,0.45852408,0.4969763,0.46482,0.5047582,0.4447031,0.4577648,0.5181613,0.47817555,0.4464858,0.4061073,0.5027184,0.5631239,0.51722765,0.45501852,0.4477262,0.38947982,0.4224212,0.4475005,0.44974083,0.4472269,0.4794124,0.40246174,0.48488474,0.43509334,0.44538245,0.43540716
0.5650348,0.49891895,0.5302657,0.43735757,0.42525434,0.63787067,0.42744347,0.43189913,0.5945409,0.4873051,0.5390883,0.48316893,0.5352295,0.5038724,0.48572508,0.4070888,0.42960718,0.5532016,0.47960338,0.4332803,0.3426544,0.51953024,0.58349794,0.5405508,0.43423784,0.42127207,0.31853628,0.3736941,0.40182513,0.43556437,0.41876456,0.5108576,0.34793597,0.48916993,0.3809396,0.4035598,0.42105138
0.6021535,0.5038667,0.5526852,0.42484736,0.430414,0.67747265,0.37213525,0.42071265,0.6192416,0.4888647,0.5526157,0.5206036,0.5496196,0.5153049,0.47035122,0.366921,0.41247886,0.5930889,0.48038724,0.4389001,0.3052787,0.52013767,0.6292416,0.54522467,0.41402546,0.38190496,0.22822498,0.3308653,0.3920375,0.4149231,0.38853145,0.55361265,0.31767964,0.50441223,0.34889942,0.37009302,0.39206615
0.62302047,0.5012741,0.56808,0.42829385,0.44077983,0.7310157,0.3376273,0.4093517,0.63070667,0.48701987,0.55804753,0.56284225,0.57272774,0.53117794,0.46096084,0.35609743,0.40233377,0.6171288,0.48705328,0.42889646,0.24690089,0.52240634,0.6544616,0.54142386,0.3909937,0.35646275,0.17325938,0.30953625,0.37696767,0.38770524,0.38669658,0.57953596,0.28760824,0.51521933,0.32076105,0.3250216,0.380574
0.64431393,0.49317354,0.58136004,0.41590104,0.46143723,0.76464576,0.30769932,0.3994381,0.64245397,0.49209872,0.56600225,0.6058471,0.5843141,0.54819155,0.42886028,0.34173742,0.38992748,0.6426062,0.49033296,0.42995802,0.18750533,0.5178965,0.68899727,0.55204654,0.36308298,0.32742018,0.11743552,0.2803241,0.35741097,0.36777374,0.35348028,0.6015257,0.26012343,0.5323257,0.283784,0.2791487,0.3458559
0.6586372,0.5009975,0.59447485,0.42244864,0.49225092,0.80535823,0.27395988,0.38755584,0.67421323,0.47276652,0.5738769,0.6400271,0.60744846,0.57979906,0.41952172,0.30604902,0.388814,0.6859961,0.49279386,0.41902882,0.1504304,0.52711684,0.71537584,0.57089263,0.3326997,0.3003639,0.061858438,0.24644135,0.33460632,0.35116604,0.3337026,0.63140553,0.22961399,0.5567129,0.25450876,0.21403605,0.33395252
0.6736296,0.50546616,0.59572095,0.42790237,0.5091857,0.8497702,0.24533936,0.38644972,0.6694771,0.47080845,0.59465057,0.6628521,0.636669,0.5998642,0.4028129,0.28875968,0.37093872,0.70826465,0.491671,0.4174862,0.11800059,0.54062766,0.73639584,0.57220125,0.30847055,0.28146422,0.006427781,0.21358418,0.3092519,0.3209927,0.31021073,0.6535514,0.1761238,0.57962203,0.19804671,0.1525062,0.3028847
0.68964416,0.49800396,0.6172391,0.42952767,0.5213299,0.8826069,0.2174008,0.39028537,0.6826098,0.46906632,0.6019919,0.67575294,0.67282605,0.61778134,0.3783214,0.28264788,0.35613424,0.7184481,0.49848247,0.4134056,0.07237255,0.53600323,0.7777662,0.58047754,0.29641104,0.25892255,-0.03777039,0.18094896,0.2758945,0.30356997,0.27912122,0.6725194,0.15286966,0.59198016,0.19415069,0.094478026,0.29250646
0.71135163,0.4875253,0.64018035,0.44002414,0.56044674,0.9340272,0.17911,0.3858626,0.69265956,0.44420958,0.60081124,0.70885295,0.7021269,0.6435436,0.36066973,0.26237273,0.3252838,0.7452589,0.4991948,0.41490534,0.02073466,0.53702956,0.80826473,0.5848872,0.26634425,0.2402487,-0.085744776,0.1067722,0.2710893,0.27261326,0.2656883,0.69982576,0.1371269,0.62204057,0.16609986,0.047936328,0.2649967
