wind_generation_mw,solar_generation_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.41820416,0.5395117,0.53619295,0.54231817,0.46065745,0.4755275,0.6118069,0.55592316,0.51183474,0.4427559,0.48833627,0.6112499,0.43659762,0.42382318,0.4523225,0.48315617,0.4559615,0.40487164,0.4061584,0.42514187,0.45431346,0.48325464,0.459048,0.5145801,0.487537,0.41489792,0.5408063,0.44859284,0.52168286,0.49988845,0.4763767,0.4110959,0.4959106,0.5472522
0.3631739,0.59459805,0.5739756,0.5624588,0.45718992,0.44166374,0.67055935,0.5565331,0.5374517,0.41344583,0.46246117,0.7031264,0.42931297,0.3457219,0.44205227,0.44859344,0.41340262,0.31655166,0.34012005,0.34187204,0.4068517,0.4318998,0.4161116,0.50426644,0.48576644,0.3446927,0.6086074,0.40911266,0.52595246,0.484269,0.4568451,0.34280586,0.5057438,0.54260737
0.298078,0.612977,0.5935269,0.5610811,0.4425836,0.39944977,0.70847106,0.54350555,0.5248494,0.38688472,0.42427835,0.77492017,0.4194076,0.25466868,0.4167832,0.41052592,0.3567041,0.22868541,0.27676097,0.2501702,0.3382127,0.40656003,0.374944,0.48092434,0.46925226,0.26601133,0.6637823,0.34328586,0.5179386,0.46214467,0.4382108,0.25422564,0.5052455,0.53623176
0.22003873,0.62156177,0.60986835,0.548753,0.42160305,0.34782064,0.7509153,0.543334,0.51157904,0.34015816,0.38122112,0.83755004,0.40205732,0.15460087,0.38352588,0.3612556,0.29939264,0.117030635,0.19311166,0.14893065,0.27276808,0.37651077,0.33526865,0.44845015,0.44006395,0.17380422,0.7019359,0.26815385,0.5126323,0.42632344,0.4191977,0.15753318,0.50599015,0.5248395
0.12821786,0.63715214,0.62824667,0.54245,0.40058616,0.2957823,0.80130875,0.54798925,0.5184538,0.30168182,0.33821225,0.90466475,0.38794142,0.059442867,0.34036753,0.30597225,0.21815726,-0.007960545,0.11127027,0.03956848,0.19833855,0.3377743,0.31017643,0.43467486,0.41581863,0.07637625,0.75180656,0.20475505,0.52311724,0.40919307,0.38952845,0.05793563,0.51185924,0.5121086
0.026959702,0.65065396,0.6400364,0.5241301,0.37617794,0.23546042,0.8343902,0.5353402,0.53643584,0.24935466,0.2817892,0.97287965,0.36731872,-0.043012664,0.30455667,0.25501183,0.1341304,-0.121372096,0.02801411,-0.073284596,0.11229004,0.3069272,0.26470125,0.40125328,0.3814622,-0.02773017,0.79717946,0.12499308,0.52095187,0.37282673,0.35045734,-0.06280844,0.50225973,0.49748477
-0.08406395,0.66272104,0.6565828,0.5029534,0.34157294,0.17859149,0.88061756,0.5227463,0.5498581,0.19015898,0.20978881,1.0194703,0.34785408,-0.14577024,0.2615575,0.17752485,0.0400585,-0.23679008,-0.050710186,-0.18708028,0.027127732,0.26484922,0.2002412,0.3607879,0.34270418,-0.13704996,0.8348268,0.024028992,0.51290506,0.33251363,0.31260824,-0.16972497,0.48373637,0.4786418
-0.18934931,0.6722702,0.67020434,0.47871155,0.30888185,0.120847404,0.90834427,0.5135548,0.54231787,0.110317715,0.13026693,1.072107,0.3222479,-0.25131834,0.2048873,0.09139059,-0.056981128,-0.33794516,-0.12744433,-0.29404268,-0.06720657,0.22451001,0.12676086,0.3198343,0.2967078,-0.247849,0.8844254,-0.0839032,0.5009051,0.29076603,0.26009455,-0.26738495,0.49271023,0.45958504
-0.29213905,0.67698723,0.6840154,0.45383772,0.25816515,0.037745617,0.9362195,0.50229627,0.5339862,0.020654319,0.048924524,1.1173064,0.29456186,-0.35150248,0.14926152,-0.0006654194,-0.1607166,-0.4324555,-0.21025418,-0.39212275,-0.16601756,0.15771995,0.05344373,0.2734726,0.23646912,-0.351604,0.91769886,-0.19170801,0.48507124,0.2364316,0.20408282,-0.3570687,0.48078713,0.43428057
