field,中文名,gate,active
gen_fuel_gas_pct,燃气占比,0.34480354,1
gross_inadv_interchange_mw,总非计划交换,0.3229847,1
system_energy_price_da,日前能量价格,0.30107173,1
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.2969617,1
gen_fuel_nuclear_mw,核电出力,0.2917674,1
gross_sched_interchange_mw,总计划交换,0.26170242,1
gen_fuel_solar_mw,光伏出力,0.26068288,1
forecast_load_mw_latest_available,最新负荷预测,0.25791305,1
gen_fuel_multiple_fuels_pct,多燃料占比,0.24626344,1
gen_fuel_coal_pct,燃煤占比,0.21996476,1
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.20247069,1
gen_fuel_oil_mw,燃油出力,0.18734176,1
marginal_loss_price_rt,实时边际损耗价,0.17146179,1
gen_fuel_hydro_pct,水电占比,0.15879382,1
total_pjm_loc_credit,机会成本信用,0.15194403,1
da_as_mcp_primary_reserve,日前主用备用出清价,0.13661575,1
total_pjm_assigned_reg,调频分配量,0.13595979,1
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.114672065,1
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.10746852,1
total_pjm_rmpcp_cr,调频性能信用额,0.072728634,1
system_energy_price_rt,实时能量价格,0.05263447,1
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,9.1080976e-05,0
rmccp,调频容量出清价,1.8080758e-07,0
da_as_nsr_mw_primary_reserve,非同步备用,0.0,0
da_as_as_mw_primary_reserve,日前主用备用实际量,0.0,0
total_lmp_rt,实时总电价,0.0,0
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0,0
gen_fuel_coal_mw,燃煤出力,0.0,0
total_pjm_reg_purchases,调频购买量,0.0,0
prelim_load_avg_hourly,预估小时负荷,0.0,0
gen_fuel_solar_pct,光伏占比,0.0,0
gen_fuel_other_renewables_pct,其他可再生占比,0.0,0
gen_fuel_oil_pct,燃油占比,0.0,0
gen_fuel_nuclear_pct,核电占比,0.0,0
gen_fuel_storage_mw,储能出力,0.0,0
gen_fuel_multiple_fuels_mw,多燃料出力,0.0,0
gen_fuel_hydro_mw,水电出力,0.0,0
gen_fuel_gas_mw,燃气出力,0.0,0
total_pjm_rmccp_cr,调频容量信用额,0.0,0
total_pjm_rt_load_mwh,实时负荷电量,0.0,0
